Centex Invite,College - Men ,15,3,2014
Austin,TX,2014-03-15,2014-03-16
https://play.usaultimate.org/events/Centex-Invite/schedule/Men/CollegeMen/
Colorado,1
teamInfo,Mamabird,"Boulder, Colorado",,,
coaches,James (Jim) Schoettler
7,Hidde Snieder
8,Pawel Janas
9,Peter Gleason
10,Max Trotter
11,Mark Rauls
11,Joshua Crane
11,ZACHARY KRIEGER
12,Tim Morrissy
15,Jesse Fisher
15,Joseph Carrara
15,Dennison Bechis
16,J Wesley Chow
17,Tristan Voss
18,Philip Sun
20,Jack Barrow
23,Jimmy Mickle
26,Stanley Peterson
27,Andrew Commander
28,Andrew Nelson
29,Matt Gleason
35,Todd Wolma
42,Matt Bubernak
80,Jeremy Harker
b,r,e,a,k
Texas A&M,10
teamInfo,Dozen,"College Station, Texas",modules/common/ultimatefrisbee.tamu.edu,modules/common/none,https://twitter.com/DozenUltimate?
0,Robert Lewis
0,BENSON WELLS
0,John David Newman
0,John Abuhamad
0,JOSEPH OWENS
0,IAN SMITH
0,KYLE ZAWIEJA
0,DAVID SMITH
0,AUSTIN DELK
0,Charles Coleman
0,Jonathan Nance
0,Jared Schueler
0,RYAN  JONES
0,DAVID NA
0,DANIEL EHRIG
0,Nick Ochoa
0,DRAKE FORNEY
2,Matthew Bennett
7,Ben Lewis
8,Garrett Krebs
13,Dalton Smith
14,LUKE YANKER
18,Kevin Land
23,Thomas Slack
80,Connor Cole
b,r,e,a,k
Northern Iowa,20
teamInfo,AmmUNItion,"Cedar Falls, Iowa",https://sites.google.com/site/ammunitionultimate/home,https://www.facebook.com/UNI.ultimate,https://twitter.com/UNIUltimate
0,Nicholas Wood
1,Trent Cooper
3,Robert Dennis
4,BROCK MUHLBAUER
7,DEREK BYRNES
8,Jordan Queckboerner
10,JOEL HEILMAN
11,Daniel Tarasi
12,Peter Rethwisch
13,Payton Burken
14,JOSH PURMAN
15,Jonathan Beavers
16,Cody Rohlf
17,LUKE BORMANN
18,Tanner Smith
19,Blade Schilling
20,RYNE STAJCAR
21,William Dehogues
22,Josh Stanley
23,KEVIN CASEY
24,NICK ROUDABUSH
27,PARKER WOLFE
33,ETHAN KUMBERA
42,BEN HOWARD
64,Austen Bruns
b,r,e,a,k
British Columbia,11
teamInfo,Thunderbirds,"Vancouver, British Columbia CA",http://ubcultimate.wordpress.com/,https://www.facebook.com/UBC.Ultimate,https://twitter.com/ubcmensultimate
0,ANTHONY PHAN
2,Alex Hackney
5,Allen Greer
7,Patrick Mavety
01,Kevin Wang
10,TYLER NG
11,KEVIN GREER
13,Kevin Chu
16,Nicholas Yun
17,Bryce Jay
19,LIAM STOBART
21,NICHOLAS LIN
22,KEANE KNAPP
23,Fred Lam
24,Peter Yu
25,Eddison Ng
28,Bryan Young
29,ALEX JEW
