South Central Club Regionals,Club - Mixed ,27,9,2014
Tulsa,OK,2014-09-27,2014-09-28
https://play.usaultimate.org/events/South-Central-Club-Regionals/schedule/Mixed/Club-Mixed
Cosa Nostra,1
0,Jacob Lohman
0,Stephanie Redfern
0,Christopher McBride
6,William Owens
7,Victoria Salimov
9,Rebecca Smith
10,David Reinhardt
11,PAUL HANNA
12,Charlie Stavlo
13,Varun Pattani
14,Alexandra Cunningham
15,Emily Scholten
17,Brady Cowiestoll
18,Sawyer Thompson
20,KIMBERLY HYDE
21,John Grzywinski
23,Ryan Pickens
25,David Street
26,Joe Iannacone
27,Aaron Saylor
32,Paul Starkel
33,Erin Schran
46,Jacob Thomas
64,BENJAMIN GARRETT
88,JEANNE YU
99,Rachel Yeager
b,r,e,a,k
Risky Business,12
0,Austin Henke
00,Laura  Gerencser
00,Hani Pajela
00,Colin Bilodeau
00,PAXTON SMITH
00,Angga Widodo
00,JULIA COLLINS
00,Andrew Morton
00,Brandon Harvill
00,Davis Pierce
00,JOSHUA PIROG
00,Traci DuBose
00,HUGH BOND
00,Alexis Kerman
00,Kendra Reams
05,Bryan Rowes
10,Andrew Maloney
13,LJ Lansdowne
22,MARISSA JAQUEZ
25,Ryan Morrison
39,Mattina Maloney
45,James Moore
78,Samuel Floren
b,r,e,a,k
Beta Iota Delta,13
0,Amy Kendziorski
0,Eric (Egon) Hersh
0,Erin Phillips
0,Amy Gardner
0,JOURDIN STEWART
0,Jonathan Gardner
0,LUKE TAPSAK
0,Christine Lynch
0,Robin Hartman
0,Tom Ferguson
0,Maggie Douglass
0,WALTER LENOIR
0,Casey LeMay
1,Tori Manlove
6,Nathan Baker
6,Christopher Schultz-Davis
7,Megan Reid
8,Mikayla Slimmer
9,Marshall Payne
14,Spencer Nelson
17,Kathryn Herbers
47,Johnathan Roniger
60,Louis Fausak
73,Christopher Reilly
99,John Higgs
b,r,e,a,k
Red or Green?,8
00,KAHLIL SIMPSON
00,Alexandra Daniels
00,Luke Randall
00,Jacob Stewart
00,Marilyn Reich
00,Rebecca Salwin
00,SAM Back
00,Jason Denning
00,Jamal Yusof
00,Aaron Dunn
00,Spencer Tibbs
00,Veronica Vazquez
00,Jordan Bradish
00,Kasey Anderson
00,William (Bill) Walker
00,Jade McLaughlin
00,Travis McIntyre
00,Scott Brown
00,Mario Nuno-Whelan
00,Juliana  Clark
00,DANIEL KALB
00,RYAN LAROSA-LOPRESTI
00,LINDSY GLICK
10,Jason Tarbert
b,r,e,a,k
RUA,7
00,Tom Etchison
