Mid-Atlantic Mixed Regionals,Club - Mixed ,27,9,2014
Poolesville,MD,2014-09-27,2014-09-28
https://play.usaultimate.org/events/Mid-Atlantic-Mixed-Regionals/schedule/Mixed/Club-Mixed
AMP,1
teamInfo,,"Philadelphia, Pennsylvania",http://www.phillyamp.com,https://www.facebook.com/PhillyAMP,https://www.twitter.com/phillyamp
coaches,Patrick Sherlock
00,Melissa Devlin
01,Alex Peters
02,Matt Zumbrum
03,Nicholas Purifico
04,Raha Mozaffari
07,Nick Hirannet
08,Daniel Furfari
09,Andrea Desabato
10,Kelly Nye
11,Diana Cornell
12,Melanie Berlin
14,Matthew Glazer
15,Sara Taggart
16,Anna Truskin
17,Gabriel Colton
20,Ben Pelleg
21,Kevin McCormick
22,Michael Panna
25,Trey (George) Katzenbach
26,KATIE ERIKSON
27,Alexandra Stambaugh
28,Bill Schrecker
40,Jessica Glazer
44,Owen Murphy
52,Charlie Patten
55,Matt Paparone
81,Alex Grintsvayg
b,r,e,a,k
Jughandle,8
teamInfo,,"Princeton, New Jersey",,,https://twitter.com/TeamJughandle
00,JOHN HOSMER IV
00,Michaela Dube
02,Tom Sum
04,Ryan Belline
05,Andrew Misthos
06,Rachel Chen
07,Thomas Johnson
08,Jessica Waugaman
11,Mason Compton
12,Nicole Himmelwright
14,Emily Czar
16,Christopher Fairfield
17,ANDREW LOPRESTI
20,Rebecca Halleran
21,Elizabeth Melillo
27,STEVEN MALPIEDI
28,Melissa Villars
29,JAMES BRENNAN
31,Jonathan (Johnny) Sisto
33,Jesse Hynes
35,Christopher Gibbs
39,Amy Zhou
41,Tim Naumovitz
42,Bridget Compton
46,SARAH SCHWARTZ
66,Christopher Barbieri
95,Colin Kochenash
b,r,e,a,k
Death By Jubilee,12
teamInfo,,"Washington, District of Columbia",,,
0,David Zarkowsky
0,Sarah Schumacher
0,Jonathan Ginsberg
0,Dustin Lieske
0,Jessica Renninger
0,Andrew Gravunder
0,STEPHANIE DREYER
0,Ilan Rubin
0,Evan Feeney
0,Reagan Grabowski
2,Lillian Ponitz
00,THOMAS DUFOUR
00,MEETA PRAKASH
00,Dan Grabowski
00,Allyce Estremera
00,Christopher Kramer
00,Meredith Whitty
00,Sean Shannon
00,Brian Whitty
00,Rebecca Velez
00,RYAN ABRAHAM
00,JOHN WALSH
00,Sara Pritt
19,Carlos Orr
20,Myco Paulo
22,DANIEL RUCK
99,Cara Groden
b,r,e,a,k
Throws of Passion,13
teamInfo,,"Washington, District of Columbia",,,
00,SOPHIE MULLINAX
00,Amelie Bailey
00,Mark Krempley
00,THOMAS RUDWICK
00,Kevin Hoercher
00,JAZMIN GONZALEZ
00,Adams Nager
00,FRANK IX
00,MEGHAN Rivera
00,Bethany DaRin
00,Katherine Garner
00,Elizabeth McCoy
00,PHOEBE ARON
00,MAYRA NAVA
00,Daniel Stein
00,Jacob Rathjens
00,Charles Andrews
00,Ryan Anderson
00,ROBERT LONG
00,ANDREW ROUSE
00,Robert Shoemaker
00,CHRISTINE SZARKO
00,ANDREW MOY
00,GEOFFREY MITCHELL
00,Robert Hollahan
00,ANDREW MCCOY
00,HEATHER MARSHALL
b,r,e,a,k
Ambiguous Grey,2
teamInfo,,"Washington, District of Columbia",modules/common/www.agultimate.com,https://www.facebook.com/AmbiguouslyGrey,twitter.com/ambiguouslygrey
0,Paul Grabowski
0,ALICE HWANG
0,Kevin Chiang
0,Christie Lawry
0,Golsa Yazdy
0,Justin Solis
0,Adilina Malave
0,Victor Wu
0,KELLY WEEKS
0,JASON FORTNER
0,Sara Peczkowski
0,Jacob Merlin
0,Jackson Schreiber
3,ALANNA McKee
7,Jessica Grabowski
7,Peter MacArthur
8,KRISTEN LAMM
9,Jarnail Bajwa
9,Charles Furse
10,Rachel Thaw
12,Andrew Allen
18,Riki Cullingford
29,Zack Thompson
40,Jon Stone
42,Ellen Greytak
70,Brian O'Hara
80,Antoine Davis
b,r,e,a,k
Blowin Heat,14
teamInfo,,"Wilmington, Delaware",,,
00,Laura Newhard
00,Matthew Hale
00,Jeffrey White
00,ANTHONY BUSHEK
00,SARAH FLYNN
00,David Boyer
00,ELIZABETH PAPPA
00,MARY MARTIN
00,MARK LARSEN
00,JULIE LAUGHNER
00,Christopher Schulze
00,Daniel Hoppes
00,KYLE HEY
00,Jonathan Cohen
