Bring the Huckus V,College - Men ,1,3,2014
Mercer,NJ,2014-03-01,2014-03-02
https://play.usaultimate.org/events/Bring-the-Huckus-V/schedule/Men/CollegeMen/
NYU,1
0,BRIAN MASON
0,Gerald Tigol
0,Chris Granger
0,Rajat  Pillai
0,Anton Boutkov
0,Jayson Lian
0,Samuel Pollack
0,Max Cohen
0,Christopher Tian
0,Christopher Harvey
0,Nelson Ng
0,Ian Guerin
0,MATAN YAH BEN ZION
0,Rohith Rao
0,Ross Perkel
0,STIJN TALLOEN
0,KEANAR YEE
2,Antonio Vayas
4,Jaime Perez
19,Jesse Rice
27,Jason Angell
30,Richard Kim
b,r,e,a,k
Central Connecticut State,9
0,DANIEL FAVALE
0,MATTHEW BOLLARO
0,Steven Lee
2,Andrew Thai
3,Christopher Monroe
4,Eric Renkewith
6,Christopher Cox
7,Ricky Lewandowski
16,Eric Dollinger
17,James Vitali
24,Jordan Revis
29,DAVID JUSTICE
30,DANIEL STEVENS
32,ETHAN GIRARD
66,Garrett Santi
77,Matthew Fasano
97,Jack Kusinski
b,r,e,a,k
Shippensburg,8
1,Eric Scanlan
3,KEITH ROSENBERGER
9,AARON MYERS
10,Ryan Dealy
14,Spenser Strickler
20,Bryan Walter
33,CHRIS HILL
39,TIM LYNOTT
44,REECE LAUFFER
48,Ryan Weaver
50,MICHAEL VENDETTI
78,ALEC RABEDEAU
86,COLLIN CRAWFORD
b,r,e,a,k
Haverford,17
0,Joe DeNoon
0,Sam Jiang
0,Lucas Athanassiadis
01,Max Charles
04,ELIAS BORNE
05,BENJAMIN GUTIERREZ
07,Stuart Hean
09,JEREMY STEINBERG
12,DYLAN COHN
13,James Novak
14,Harrison Schell
15,Jan Vanous
16,JACOB LOWY
17,CHARLES BIRKEL
18,ANDREW FULTON
20,ADAM VAN AKEN
21,SOLOMON GIFFEN-HUNTER
23,Dan Hopkins
24,JORDAN DWORKIN
28,STEPHEN PROFETA
31,AARON LOWE
33,Calvin Trisolini
37,BEN BERGMAN
38,GABRIEL RYBECK
41,MICHAEL DE WOLF
53,MARTIN RICHARD
69,DAVID GALAZ
77,Victor Medina Del Toro
85,Ian McGroarty
96,Andrew Kafker
98,Chris Hoogstraten
b,r,e,a,k
Stockton,16
b,r,e,a,k
Kean,24
b,r,e,a,k
Princeton,2
0,Alex Fogg
5,DANIEL TEEHAN
01,Kiffa Conroy
02,JONATHAN CHEN
04,ROSS SMITH
10,STEPHEN WANG
11,Julian Helguero-Kelley
12,Sean Treacy
14,Peter Luo
15,ADAM SMYLES
16,Jae Lee
17,DEAN MAKINO
18,DAVID BECK
19,Zach Weed
21,Anthony Markowitz
27,Matthew Rogers
28,THOMAS KELLY
63,Jarred Mihalik
82,Malcolm Deck
88,MATTHEW MATL
99,Matine Yuksel
b,r,e,a,k
SUNY-Buffalo,7
0,Christopher Kizis
0,Paul Sperr
0,Seth Wittlinger
0,Sean Bowers
0,Sian Ho Ng
0,ETHAN GUTHMAN
1,Robert Smith
2,Jeffrey Harvey
6,Miles Eckardt
7,Peter Barth
05,Jack Rossetti
10,Sean Amundsen
13,CJ Colicchio
43,HARBIR SINGH
45,Mark Falinski
92,Ian Dipace
95,Benson Chen
99,Jackson Donnelly
b,r,e,a,k
Columbia,10
0,Nathan Abrams
0,JAMES PAGE
0,Benjamin Zhu
0,Sean Wong
0,Paul Michael Custodio
0,DEREK YAN
0,Devon Harvey
0,Winston Lin
0,MICHAEL YAN
0,MATTHEW SUOZZO
0,Savvas Petridis
0,Adam Richardson
0,Daniel Barg
0,REUBEN AKABAS
0,Sidney Perkins
0,Samuel Heavenrich
0,MAKSIM GRINCHENKO
0,Bryce Harlan
0,Mark Greenan
