Southwest D-I College Men's Regionals,College - Men ,3,5,2014
Long Beach,CA,2014-05-03,2014-05-04
https://play.usaultimate.org/events/Southwest-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/
California-San Diego,1
teamInfo,Air Squids,"San Diego, California",,,
0,Brendan Winnacott
0,Steven Chung
0,Ben Kumler
0,Kedar Pujara
0,Migal Manickaraj
0,Alistair McIntyre
0,Glenn Allen
1,JAMES LAI
2,Nikhar ABBAS
4,Tyler Gates
5,Christopher Liu
6,Brent Lo
8,PAUL MORIMOTO
12,Aaron Lee
13,SEAN WILKINSON
21,CODY HEINER
22,Cody Kirkland
23,ZACHARY WU
28,JUSTIN LIN
38,NICHOLAS TIEE
40,JAMES LINSCHEID
44,Nicholas Smith
47,MARK BUNNELL
55,Trevor Purdy
84,Jesse Cohen
87,Christopher Bonner
94,Zachary Spidell
97,Zachary Murez
99,Gavriel Gelbart
b,r,e,a,k
Arizona,8
teamInfo,Sunburn,"Tucson, Arizona",sunburnultimate.com,https://www.facebook.com/SunburnUltimate,https://twitter.com/SunburnUltimate
0,JACK MCLAIN
02,Zack Erlick
03,Brice Dixon
04,DANIEL GUYLL
05,SAM OUIMET
06,Nolan Schmalenberger
07,Trevor Smith
09,AJ GARNELLO
11,Mark Fleckenstein
13,Jacob Lien
14,John Patinella
16,Kyle Weigand
18,Trey Leonard
20,Sawyer Thein
24,Benjamin Lacy
31,Kyle Taylor
33,REILLY CLEAL
45,RYAN FULLEMAN
56,Christopher Metz
81,Kyle Hansen
87,JAMES SCHOONMAKER
92,Sam Locke
b,r,e,a,k
Northern Arizona,13
teamInfo,El Ponderoso,"Flagstaff, Arizona",www.elponderoso.com,,https://twitter.com/ElPonderosoNAU
0,Mason Biggi
0,Alec Mayes
0,MAX ROCK
0,Enrique Angulo
0,ROBERT SCOTT
4,STEPHEN KULURIS
6,Kevin Coulter
9,Brent Acomb
17,Jeff Morrison
19,Scott Campbell
25,Garrett Wright
32,Bradley Cislo
32,Kevin Farrell
33,Tate Larrick
44,JAMES GAYNOR
51,chris carter
78,Rick John
91,John Donahue
99,Alex Gough
b,r,e,a,k
Chico State,12
teamInfo,Chico State Wildcats,"Chico, California",,https://www.facebook.com/pages/Chico-State-Ultimate-Frisbee/194149750609051,
0,Tyler Grenier
0,VANCE VELARDEZ
0,ALEX FEARN
0,Steven Wyman
0,John Olivas
0,SAMUEL BRANSKY
0,David Gross
0,Raul Panchito
0,Christopher Elder
0,Grant Barr
0,Michael  Pope
0,Cody Schultz
0,CARSON CLARK
0,BRENDAN GREEN
0,Arie Finkelstein
0,Elliot Lopez
0,BRENDAN  CROFTS
6,Jacob Macfarlane
7,Derek Miller
11,Austin Barden
12,Payton Laurie
15,Jessep Macfarlane
18,GRANT MANLEY
42,BRANDON EIGES
b,r,e,a,k
Arizona State,2
teamInfo,Prime,"Tempe, Arizona",http://www.arizonastateultimate.com/,https://www.facebook.com/ASUPRIME,https://twitter.com/ASU_Ultimate
0,RYAN SULLIVAN
0,Aaron Flegenheimer
0,Daniel Bellissimo
0,Travis Dunn
0,GREG SCALIA
0,Josh Walker
0,Nathan Bridges
0,JARED AHERN
0,Chad James
0,Andrew Kohl
0,MARK KARLSRUD
0,Zachary Semerad
3,Jonathan Bridges
4,Cody Vander Weyst
9,Dylan George-Sills
13,JACOB KUNA
14,MICHAEL GRAZZINI
18,Daniel Howe
20,Alexander Tomlinson
30,CONNOR ROTH
b,r,e,a,k
California-Santa Barbara,7
teamInfo,Black Tide,"Goleta, California",,https://www.facebook.com/black.tide.50?fref=ts,https://twitter.com/UCSB_Ultimate
0,David Jacobs
2,Jack Hamner
3,MIKE SALE
5,Ian Ladner
7,Reed McMullen
10,Sean Smith
11,SEAN O'MALLEY
12,Alexandre Kupelian
13,Grant Novins
14,William Turner
15,Alex Heinzen
16,Nathan Ransom
17,Hunter Corbett
20,HAAKON ELLINGBOE
22,Adam Fischer
25,Brett Ploussard
26,BLAKE MCSUNAS
28,Kyle Rubin
31,Joseph Perry
42,Michael Airola
50,JAVIER VENEGAS
77,Daniel Charette
80,ADAM BOLENBAUGH
85,JOSHUA EUSTERBROCK
87,TAYLOR ROBERTS
b,r,e,a,k
San Diego State,11
teamInfo,Federalis,"San Diego, California",,,
0,IAN GARDNER
0,Max Monroe
0,William Valle
0,Kyle Schmid
0,STEVEN GREENE
0,Hayden Shenefield
0,Erik McCoy
0,NICHOLAS CROOKSTON
0,Beeman Rabut
0,ALEX KALE
0,THOMAS BRADFORD
0,Austin Clark
0,EMERSON REVOLORIO
0,Maxwell Hume
0,ZEKE IVERS
0,BENJAMIN LINDLEY
0,JEFF DIXON
0,Josiah Reeve
3,LUCAS DILLOW
3,Michael Tran
5,ALEC ARATOW
7,KYLE GOOSSENS
32,Alec Benton
35,ELIJAH AUER
38,ALAN GUARDADO
42,MARK SLADER
45,Douglas Brantley
b,r,e,a,k
California-Irvine,14
teamInfo,Nightlife,"Irvine, California",http://uciultimate.com/,https://www.facebook.com/groups/nightlifeultimate/,
0,CHRISTIAN JAUREGUY
0,KEEGAN CARROLL
0,KERRICK RYAN
0,Wayne Lu
0,JOHN LOUIE
0,TIMOTHY RYAN
3,MARK ARCHER
6,TIMOTHY JOHNSON
12,ERIC SALAZAR
22,CALLUM LAMB
24,Zachary Gyugyi
25,DEAN BAGGS
36,Thomas Lord
55,MITCHEL MIKASA
b,r,e,a,k
California-Davis,3
teamInfo,Davis Dogs,"Davis, California",http://www.ucdavisultimate.com/,https://www.facebook.com/davis.dogz?fref=ts&ref=br_tf,
0,Bryan LoCoco
0,Kramer Straube
0,Gabriel Edwards
0,DAVID HWANG
0,Nicholas Helms
0,Daniel Ellison
0,Nathan Hatch
0,Bradley Santi
0,Sam Asin
0,MICHAEL NORCIA
0,Nathan White
0,Benjamin Souvey
0,Sean Frawley
0,Anthony Sorbera
0,Douglas Fox
0,KEEAN JOYE
0,Jeremy Weidner
0,Elijah Kerns
11,KEVIN LIANTONO
14,Fredric Murolo
23,Steve Purugganan
55,Joshua Cohen
b,r,e,a,k
Las Positas,6
teamInfo,Hawks,"Livermore, California",www.lpcultimate.com,,
