Southerns,College - Men ,21,3,2014
Statesboro,GA,2014-03-21,2014-03-23
https://play.usaultimate.org/events/Southerns/schedule/Men/CollegeMen/
LSU,1
teamInfo,LSU Ultimate,"Baton Rouge, Louisiana",,,
0,JUSTIN GUITREAU
0,Brian Mart
0,Thomas Echols
0,ZACHARY FRUGE
0,Nicholas Ferguson
0,ROBERT ANDY FARMER
0,MICHAeL BEAL
0,GARRETT YETMAN
0,SEAN DRENNAN
0,Garrett Baringer
0,Collin Gillen
0,Travis Vermaelen
1,Cullen Landry
19,TIMOTHY LALA
60,Daniel Nan
69,Mitchell Lutz
77,Kenny Berthelot
b,r,e,a,k
Chicago,6
teamInfo,Chicago Ultimate,"Chicago, Illinois",,,
00,Alejandro Younger
02,MAX BLUESTONE
03,Milo Korman
05,DANIEL SHEAR
07,MICHAEL LIU
08,Joshua Stevens-Stein
09,Eli Cohen
10,Dean Acheson
11,Eugene Chong
20,TERRANCE LIU
24,Michael Pardo
26,Jason Aerni
28,Tommy Robb
30,Nicholas McDonnell
31,MATTHEW CARTIER
33,Peter Alexieff
34,ABHISAAR YADAV
35,RYAN MCNAMARA
36,ZIV DREYFUSS
36,Percy Stogdon
37,Willem Longendyke
39,Maayan Olshan
40,BENJAMIN SIEGEL
57,Noah Christians
b,r,e,a,k
Princeton,12
teamInfo,Clockwork,"Princeton, New Jersey",http://www.princeton.edu/~clockwrk/,,
0,Alex Fogg
2,JONATHAN CHEN
4,ROSS SMITH
5,DANIEL TEEHAN
01,Kiffa Conroy
10,STEPHEN WANG
11,Julian Helguero-Kelley
12,Sean Treacy
14,Peter Luo
15,ADAM SMYLES
16,Jae Lee
17,DEAN MAKINO
18,DAVID BECK
19,Zach Weed
21,Anthony Markowitz
27,Matthew Rogers
28,THOMAS KELLY
63,Jarred Mihalik
82,Malcolm Deck
88,MATTHEW MATL
99,Matine Yuksel
b,r,e,a,k
South Carolina,7
teamInfo,South Carolina,"Columbia, South Carolina",,,
b,r,e,a,k
MIT,13
