Southeast Mixed Regionals,Club - Mixed ,27,9,2014
Atlanta,GA,2014-09-27,2014-09-28
https://play.usaultimate.org/events/Southeast-Mixed-Regionals/schedule/Mixed/Club-Mixed
Bucket,1
18,Mati Chessin
19,Charles Loudermilk
21,Daniel Wang
39,MICHAEL PREUS
41,ZACHARY FOSTER
55,Stephanie Shane
82,Sam Batson
91,Alex Hodgson
96,Joseph Shea
98,Lindsay Turner
99,Nathan Piechal
b,r,e,a,k
The Hucking Dead,4
teamInfo,,"Jacksonville, Florida",www.jaxul.com,https://www.facebook.com/JaxUltimate,
0,Jeremy Brenner
0,Deanna Zastrow
0,JORDAN WARNER
0,Charles (Tyler) Luchka
0,Miriah Stieglitz
0,Ginger Price
0,Brett Egger
0,Alicia Vogt
0,Corey McCall
0,Nick Hunter
0,Bryce Carleton
0,Josh Shepard
0,Erich Hess
0,Jen Buyske
0,Alicia Bender
0,Eric Anderson
0,Anthony Vogt
0,Katie Hofland
0,Bill Kilgannon
0,ANGELA SHEPARD
0,Phillip Leung
4,Justin Dean
13,Daniel West
30,UZZIEL TAYAG
72,Hunter Whaley
87,Daniel Sears
99,Andrew Carleton
b,r,e,a,k
s,t,a,g,e,s
pools,Table 16.1.2
pool,Pool A
Bucket,Nooga by Nature,14,10,"09/27/2014, 09:00",Pool A,Final
Carolina Reign,NOPPSAPC,15,9,"09/27/2014, 09:00",Pool A,Final
Bucket,NOPPSAPC,15,1,"09/27/2014, 11:00",Pool A,Final
Carolina Reign,Nooga by Nature,15,10,"09/27/2014, 11:00",Pool A,Final
Bucket,Carolina Reign,15,3,"09/27/2014, 13:00",Pool A,Final
Nooga by Nature,NOPPSAPC,15,10,"09/27/2014, 13:00",Pool A,Final
pool,Pool B
KoD,Turmoil,12,14,"09/27/2014, 09:00",Pool B,Final
Cahoots,Hairy Otter,13,7,"09/27/2014, 09:00",Pool B,Final
Hairy Otter,KoD,15,9,"09/27/2014, 11:00",Pool B,Final
Cahoots,Turmoil,15,4,"09/27/2014, 11:00",Pool B,Final
Hairy Otter,Turmoil,15,7,"09/27/2014, 13:00",Pool B,Final
Cahoots,KoD,15,4,"09/27/2014, 13:00",Pool B,Final
pool,Pool C
Swing State,Jolly Roger,14,8,"09/27/2014, 09:00",Pool C,Final
Pluff Mud Panic,Charlotte Storm,15,10,"09/27/2014, 09:00",Pool C,Final
Charlotte Storm,Swing State,14,12,"09/27/2014, 11:00",Pool C,Final
Pluff Mud Panic,Jolly Roger,15,5,"09/27/2014, 11:00",Pool C,Final
Charlotte Storm,Jolly Roger,11,14,"09/27/2014, 13:00",Pool C,Final
Pluff Mud Panic,Swing State,11,8,"09/27/2014, 13:00",Pool C,Final
pool,Pool D
Swamp Rabbit,Southern Revival,14,13,"09/27/2014, 09:00",Pool D,Final
The Hucking Dead,Raleighwood,5,15,"09/27/2014, 09:00",Pool D,Final
Raleighwood,Swamp Rabbit,15,5,"09/27/2014, 11:00",Pool D,Final
The Hucking Dead,Southern Revival,9,14,"09/27/2014, 11:00",Pool D,Final
Raleighwood,Southern Revival,15,6,"09/27/2014, 13:00",Pool D,Final
The Hucking Dead,Swamp Rabbit,10,13,"09/27/2014, 13:00",Pool D,Final
b,r,e,a,k
brackets,Bracket 16.1
bracket,Championship
Bucket,Cahoots,15,9,"09/28/2014, 13:00",1st Finals,Final
Bucket,Raleighwood,13,11,"09/28/2014, 11:00",1st Semis,Final
Pluff Mud Panic,Cahoots,8,15,"09/28/2014, 11:00",1st Semis,Final
Bucket,Charlotte Storm,15,4,"09/28/2014, 09:00",1st Quarters,Final
Raleighwood,Swing State,15,8,"09/28/2014, 09:00",1st Quarters,Final
Pluff Mud Panic,Nooga by Nature,15,8,"09/28/2014, 09:00",1st Quarters,Final
Cahoots,Carolina Reign,14,6,"09/28/2014, 09:00",1st Quarters,Final
Hairy Otter,Charlotte Storm,10,14,"09/27/2014, 15:00",1st PQ,Final
Swing State,Turmoil,15,5,"09/27/2014, 15:00",1st PQ,Final
Nooga by Nature,Swamp Rabbit,14,11,"09/27/2014, 15:00",1st PQ,Final
Southern Revival,Carolina Reign,13,14,"09/27/2014, 15:00",1st PQ,Final
bracket,3rd place
Raleighwood,Pluff Mud Panic,0,0,"09/28/2014, 13:00",3rd Place,Final
bracket,5th Place
Swing State,Nooga by Nature,9,11,"09/28/2014, 01:00",5th place,Final
Charlotte Storm,Swing State,9,12,"09/27/2014, 23:00",Round Name,Final
Nooga by Nature,Carolina Reign,12,7,"09/27/2014, 23:00",Round Name,Final
b,r,e,a,k
clusters,13th Place Games
cluster,4th place
NOPPSAPC,KoD,15,13,"09/27/2014, 15:00",,Final
Jolly Roger,The Hucking Dead,12,13,"09/27/2014, 15:00",,Final
b,r,e,a,k
