Southwest Mixed Regionals,Club - Mixed ,20,9,2014
Morgan Hills,CA,2014-09-20,2014-09-21
https://play.usaultimate.org/events/Southwest-Mixed-Regionals/schedule/Mixed/Club-Mixed
Polar Bears,1
0,FEDERICO CHIALVO
01,SCOTT ROEDER
02,Kevin Cocks
03,Cecil Qiu
05,"ROBERT GORMLEY, JR."
06,Meeri Chang
08,Thomas Watson
09,Gregory Marliave
10,Sonny Zaccaro
11,CLAY MILLER
12,Nicholas Alexander
14,Kate Schlag
16,Ajeet Shankar
17,Natasha Won
18,Marisa Mead
20,Samuel Adamson
21,Dulcy Docken
23,ELLEN ZWICKL
25,Daniel Naruo
27,Morgan Greenwood
28,Eric Greenwood
36,MEGAN NORR
42,Bob Madden
74,Ben Hubbard
76,Adam Raty
82,An-Chi Tsou
88,Linh Hoang
b,r,e,a,k
BW Ultimate,7
00,Halsey Hoster
01,Matthew Natali
02,Amy Chang
03,Elizabeth Dressler
04,Aubrey Davis
05,Radhika Bhargav
06,Laura Schott
07,Justin Hinman
07,Anna Liu
10,Jake Chang
11,Steven Guagliardo
12,KAREN NG
13,Chris Farina
15,Michael Lipman
17,Nicholas Raisch
18,Sayako Uchida
19,Beth Quisenberry
23,Nate Bosscher
25,Hugh King
27,Sunny Saini
28,Allan Jong
29,SOPHIE LEHMAN
30,Jeremy Kharrazi
34,Christine Gould
43,Bettina Chen
49,Robert Srinivasiah
99,Kyle Terriere
b,r,e,a,k
Del Sol,10
01,JUSTIN DHEIN
02,DANIEL GUYLL
03,Ashley Stahl
05,Jake Hadziev
07,Cynthia Thomas
08,ROBIN GREENE
09,Ryan Blackman
10,Maggie Rock
11,Melissa Dunn
14,Robert Ozdoba
15,Shawn Fehrenbach
18,Amanda Loh
19,NICHOLAS RODECK
20,Alexander Tomlinson
24,JACOB KUNA
25,Aaron Flegenheimer
27,Laura Tan
30,Michael Simeone
33,Jonathan Bridges
37,John Barber
40,Breanna Bryant
44,Ximenna Hofsetz
45,RYAN FULLEMAN
55,Brianna Kuna
80,Paul Otto
81,BRYAN PARIS
99,Dylan George-Sills
b,r,e,a,k
Shenanigans,16
00,R. Miguel Gonzales
00,Justine Habibian
01,KATRINA AQUINO
05,Colby Wallace
07,CHRISTOPHER MERKLEY
08,Ben Nicklay
08,Kelsey Rose
09,MEGAN LOVELACE
09,Peter Pichiotino
10,Justin Rose
11,Kenzie Jones
14,Lydia  Morrison
15,SKYLER CHRISTENSEN
19,Christine Brooks
19,Stephan Kim
21,JOHN LYNN
23,Rachel Zimmerman
27,Erin Doyon
27,JENNIFER SHOSTRAND
32,Alexis Fallon
32,Todd Brooks
42,Steven Kuhlmeier
43,Nathan Freeman
58,Sze Jin Ooi
65,Juan Garcia
82,David Anderson
88,Andrew Cassidy
b,r,e,a,k
American Barbecue,8
00,NICK AUGER
00,Marlena Hartman-Filson
00,Kevin Manss
00,LYUDA GRIGORIEVA
00,Dan Parker
00,Brandon Kwock
00,RYAN HUNT
00,Mike Weil
00,Sarah Carnahan
00,ANGELA HUNT
00,Jake Coleman
00,Molica Anderson
00,Kyle McBard
00,Andrew Hooker
00,Caroline Loh
00,SAM KELLER
00,Alex Grande
00,ALLISON FINK
00,YVETTE FISHER
00,Jason Seidler
00,James Sheridan
00,COLIN MORGAN-OUTHISACK
00,NICOLE WIRES
00,Damian Park
00,MEGAN MCCLAIN
00,JACK MOXON
00,Noel Arsenault
b,r,e,a,k
7 Figures,2
0,Peter Zhou
0,Jacob Bartholomew
0,Alisha Stoun
0,Emma Frankel
0,Sophie Hines
0,Connie Wang
0,Christopher Feeney
0,Stephanie Pritchard
0,Caitlin Rugg
0,Orin Moore
0,Erika Swanson
0,Lisa Welsh
2,Daniel Oettinger
3,Annie Lee
4,Kristen Pojunis
5,Joseph Forbes
7,Eric Brach
8,Gary Molano
9,Nils Clauson
11,Aaron Jacobs
12,Daniel Smeltzer
16,Ryan Plant
19,Ann Lee
30,Russell Gaskamp
32,Daniel Walton
80,Brandon Severson
84,Matthew Welsh
b,r,e,a,k
Capitol Punishment,15
00,Alison Griffith
00,Trung Pham
00,Connor Levesque
00,DAVID SCHUSTER
00,Michael Colton
00,JANELLE RILEY
00,Nicole McDaniel
00,Kristina Geddert
00,ABIGAIL BATES
00,Veronica Chan
00,LINDSEY STRATTON
00,Chad Encinas
00,Joshua Bates
00,JENNIFER HSUEH
00,ARMAND DEBOSE
00,Warren Kinson
00,Neil Pallaver
00,Trevor Colton
00,LAUREN HUFTILL-Balzer
00,LANEY OLSON
00,JASON LUDDEN
00,Logan Greenwood
00,MAX KINKEAD
00,ANA PETERSON
00,Robert Mertz
00,Nina Vollmer
00,ZACHARY DILLOW
b,r,e,a,k
Classy,9
00,Dan Morris
00,"Dana ""Zuul"" Nelson"
00,MATT SCOTT
00,Andrew Koerner
00,Eda Altiok
00,Joseph Bryan
00,KATIE ROUSE
00,Douglas Hannah
00,Dhwani Shah
00,Nicolas Sayavedra
00,CRAIG RUBENS
00,Peter Bonanno
00,Matthew Rubashkin
00,HENRY RIEKENA
00,Tien-Tien Chan
00,Simone Stolzoff
00,KATRINA SCHWARTZ
00,Josh Mitts
00,Whitney Hannah
00,SAMUEL HAYNOR
00,Ian Cutler
00,Lauren Sweeney
00,Angela Xiong
00,ALLISON YOCHIM
00,DANNY BROBERG
00,ELISABETH KORB
00,Jeffro Valeros
b,r,e,a,k
Mischief,3
0,Matt West
1,Seam Ham
2,Adam Brown
5,Matthew Crawford
8,Jessica Madding
03,Preeti Nalavade
06,Lori Eich
10,Brett Petersen
11,Jonathan Greenberg
12,Candice Tse
13,Tyler Grant
14,KIRK WILLMARTH
15,Annee Rempel
18,Sharon Lin
20,Jenny Wang
21,NOELLE  NEASON
23,Kate Pearson
24,Nicholas Weiss
27,Remy Schor
33,Kyle Smith
36,Matthew Heffernan
38,Katrina Velayo
42,Matt Jaffe
80,Kevin Smith
81,PAUL YOUN
99,LUCAS DILLOW
99,Andrew Berry
b,r,e,a,k
Groove,5
02,Jason Edelman
03,Meggan Cooperrider
04,Nate Paymer
08,Adam Koren
10,Kyle Ord
13,HEATHER ARMSTRONG
15,Jeffrey Voss
17,Brooke Ray Smith
20,NICOLE COPTI
22,Eric Rivera
23,NICOLE JOHNSON
25,Samantha Applegate
27,Nicholas Thompson
28,Jordan Gatti
30,Grant Farrington
31,JENNIE YANG
32,Meghan Berry
40,Brett Mitchell
43,Georgia Valentine
55,Eric Richardson
69,Reena Badyal
73,Kimmey Hardesty
77,Alec Surmani
80,Ally Mitchell
