Founders Mixed Sectionals,Club - Mixed ,13,9,2014
Wilmington,DE,2014-09-13,2014-09-14
https://play.usaultimate.org/events/Founders-Mixed-Sectionals/schedule/Mixed/Club-Mixed
Jughandle,1
teamInfo,,"Princeton, New Jersey",,,https://twitter.com/TeamJughandle
0,Michaela Dube
00,JOHN HOSMER IV
01,Tom Sum
04,Ryan Belline
05,Andrew Misthos
06,Rachel Chen
07,Thomas Johnson
08,Jessica Waugaman
11,Mason Compton
12,Nicole Himmelwright
14,Emily Czar
16,Christopher Fairfield
17,ANDREW LOPRESTI
20,Rebecca Halleran
21,Elizabeth Melillo
27,STEVEN MALPIEDI
28,Melissa Villars
29,JAMES BRENNAN
31,Jonathan (Johnny) Sisto
33,Jesse Hynes
35,Christopher Gibbs
39,Amy Zhou
41,Tim Naumovitz
42,Bridget Compton
46,SARAH SCHWARTZ
66,Christopher Barbieri
95,Colin Kochenash
b,r,e,a,k
BITMAP,8
teamInfo,,"Philadelphia, Pennsylvania",http://bitmapultimate.wordpress.com/,https://m.facebook.com/PhillyBMP?refsrc=http%3A%2F%2Fwww.google.com%2F&_rdr,https://mobile.twitter.com/BitmapPhilly
0,Mindy Laybourne
02,Thomas Ferguson
03,Mary Carlton
04,Lacie Johnson
07,John Gardner
08,Andrew Wisor
09,Tracy Custis
11,Robyn Konnick
12,John Mikitsh
13,Jereme Mason
15,David Kiefer
16,ALEX GOLDSTEIN
17,JONATHAN PALUMBO
18,Jennifer Pelleg
19,Christine Reynolds
20,Gregory Fallon
22,Jeffrey Hsieh
25,Edward Brakoniecki
27,Brianna Groh
29,Stephen Ng
31,Stayc Piecyk
32,Anthony McLean
42,Matt Ferreri
44,Matt Carter
48,DOV GOLDMAN
54,Kurt Henning
77,Liz Gardner
b,r,e,a,k
X-Panda,16
teamInfo,,"Montclair, New Jersey",,,
0,Edmund Hofmann
0,Leah Garber
0,Benjamin Nichols
0,Kristin Sprague
0,WILLIAM WATTS
0,Matthew Lingam
0,Cristin Califf
0,Erika Brown 
0,Elena López
0,Lance Vicente
0,Michael Musto
0,Casey Lynch
0,Scott Graber
0,James Dykes
8,Alex Greene
8,Peter Jimenez
10,Adam Marrakchi
12,Terence To
17,Iris Kim
18,Raz Blau
29,Ryan Cullinane
58,Wes Halter
72,Eugene Grinberg
b,r,e,a,k
Moorestown Meeples,9
teamInfo,,"Moorestown, New Jersey",,,
0,SCOTT WHITE
01,Brianne Sinclair
02,SALLY YU
08,Emily Van Malden
10,Daniel Naylor
12,MICHAEL NYMAN
13,DAVID JOHNSTON
14,Emily Schnorr
18,Elizabeth Blanch
19,Alice Weng
20,AUDREY INDEN
21,MARY LANE
22,Megan Barlow
24,Justin Mattingly
26,Beth Burke
27,Thomas Adriaens
29,Kevin Lakritz
34,TIMOTHY NAYLOR
42,Max Rooney
77,MARCUS ADAMS
90,Thomas Siegwarth
b,r,e,a,k
DEtox,17
teamInfo,,"Wilmington, Delaware",,,
0,Jason Saienga
0,Darrell Thomas
0,CAITLIN BURTON
0,Jeffrey Yeager
0,Megan Thomas
0,SHAWN NICHOLSON
0,KRISTA COMER
0,ROBERT HARFORD
0,Brian Thomas
0,VICTORIA READER
0,Brendan Bittle
0,DAN FOWLER
0,DEIRDRE JAYKO
0,ERIC BOTTMEYER
0,Francesca Crespo
3,BRITT DEMARA
13,KENNEDY COMER
19,Courtney Potts
42,Edwin Finley
99,Mark Mason
b,r,e,a,k
Jagged Ice,7
teamInfo,,"Pittsburgh, Pennsylvania",https://sites.google.com/site/jaggediceultimate/,,
0,KELLY TAGLIAFERRE
5,MISHEL GEORGALAS
7,Andrew Georgiadis
8,Bridget McCoy
9,MARIAH MCKENZIE
10,Spike Pike
12,Matthew McDaniel
13,JEREMY SLIDER
14,ROBBIE TUBBS
15,DAVID PIERRE
18,ZACHARY RICE
20,Graham Walker
23,Hayden Weaver
25,Rachel Szabo
27,Brandon Confer
31,AARON BUSS
33,Casey PIFER
39,AMY EMERT
44,DANIEL OFFLEY
49,Eric Tagliaferre
56,Lauren Feder
63,Amanda McKean
77,Reed Antonich
93,GENEVIEVE WILSON
99,John Buss
b,r,e,a,k
Clue,10
teamInfo,,"Philadelphia, Pennsylvania",,,
0,Alison Joyce
0,Brian Dahlben
0,KYLE KONOPKA
0,Travis Conrad
0,Carolyn Fante
0,Stephanie Hartson
0,Brian Carney
0,Jon Francis
0,ASHLEY POTTER
0,Tom O'Connor
0,KATHI JENKINS
0,JUNE FREIFELDER
3,William Zeky
11,RYAN STERNER
14,Lauren Howard
15,Bailey Rowland
17,Chen Zhou
21,Taylor Stewart
23,RICH PREVIDI II
23,MATTHEW CONGDON
26,JASON MORGAN
45,RYAN O'SHEA
88,Jacob Kesselman
b,r,e,a,k
Dix'Y'Chix,15
teamInfo,,"Pittsburgh, Pennsylvania",,,
0,Cory Ruff
0,Anne Sobol
0,Andrew Walsh
0,ELIZABETH LIN
0,Bryan Heim
3,Alex Carpenter
7,Dagney Cooke
9,Katelyn Bozich
11,Kimberly Gomboz
13,Evan Gross
18,Shayna Reppermund
22,Asher Finkel
23,David Zimmerman
25,Matt Randall
28,Mike Gorham
31,Justin Forman
35,Andrew Fassler
