Colorado Cup (TCT Elite-Select Challenge),Club - Mixed ,2,8,2014
https://play.usaultimate.org/events/Colorado-Cup-TCT-Elite-Select-Challenge/schedule/Mixed/Club-Mixed
7 Figures,1
0,Carter Thallon
0,Jacob Bartholomew
0,Alisha Stoun
0,Caitlin Rugg
0,KAILY  SMITSON
0,Orin Moore
0,Emma Frankel
0,Sophie Hines
0,Connie Wang
0,Christopher Feeney
0,Erika Swanson
0,Lisa Welsh
2,Daniel Oettinger
3,Annie Lee
4,Kristen Pojunis
5,Joseph Forbes
7,Eric Brach
8,Gary Molano
9,Nils Clauson
11,Aaron Jacobs
12,Daniel Smeltzer
16,Ryan Plant
19,Ann Lee
30,Russell Gaskamp
32,Daniel Walton
80,Brandon Severson
84,Matthew Welsh
b,r,e,a,k
Ambiguous Grey,8
7,Peter MacArthur
01,Christie Lawry
03,ALANNA McKee
04,ALICE HWANG
05,Kevin Chiang
06,KELLY WEEKS
09,Jarnail Bajwa
10,Rachel Thaw
12,Braden Paynter
13,Golsa Yazdy
14,Justin Solis
15,Sara Peczkowski
18,Riki Cullingford
19,Claire Smullen
21,Andrew Allen
23,Antoine Davis
24,Adilina Malave
29,Zack Thompson
33,NIKO DUFFY
37,Jessica Grabowski
40,Jon Stone
42,Ellen Greytak
70,Brian O'Hara
76,Jacob Merlin
80,Paul Grabowski
91,Charles Furse
92,Victor Wu
b,r,e,a,k
Santa Maria,9
0,Greg Eckhart
0,Nathan Buddemeyer
0,David Bentrovato
0,Cassandra Swafford
0,Nick Hamilton
0,Nancy Haskell
0,STEVEN MYERS
0,Stephen Booth
0,Paige Soper
0,Katie Backus
0,Kristen Smiach
0,CHRIS RATCLIFF
0,Daniel Shonk
0,Caitlin Harley
0,Eliot Alexander
0,Nathan Landry
0,Andrew Farrand
0,Kevin Kula
0,KILLIAN HOLLO
0,Jeff Kula
3,Alaine Wetli
5,Stephanie (Stevie) Miller
9,Janine Walker
11,Michael (Mike) Ford
19,Jenna Galletta
24,Elizabeth Gates
25,Timothy San Pedro
b,r,e,a,k
RUA,16
0,William Axtell
0,DANIEL PERL
0,JOSH ANDERSON
0,Eric Kearney
0,ASHLEY PERL
0,DANIEL CAMPBELL
0,Alyssa Shanahan
0,Karl Doege
0,Zachary Booze
0,Tom Etchison
0,SIMON JARRETT
1,Heather Ayers
2,Lindsey Gapstur
5,Laura Brewer
6,JACOB PERRY
7,Andrewa Ritchie
9,Victoria Lyda
11,Matt Jackson
12,APRIL JOHNSON
15,Abe Gambert
17,Nina Horne
21,ANDY PRIETO
31,Justin Adams
37,Jody Ayers
50,Sebastian Duffell
57,Andrew Dunn
91,David Hilgeman
b,r,e,a,k
Blackbird,10
0,David Hoel
02,Eli Janin
03,Krista McDonald
04,Deanna Bjorkquist
06,Jessica Wilson
07,Rachel Holz
08,Hannah M Kreilkamp
09,Adam Farren
10,Jonathan (Tyler) Boyd-Meredith
11,Barrs Lang
12,Casey Ikeda
14,Mia Hagen
17,ANNE-FRANZISKA SINNER
21,ADAM SCOW
22,NICHOLAS SLOVAN
24,Daniel Daniel Gillick
26,KAREN KO
28,Sheeva Slovan
33,MONICA HEGER
34,PATRICK CORNEILLE
40,Mac Taylor
42,AARON CAULFIELD
50,Josh Wardle
b,r,e,a,k
Groove,2
02,Jason Edelman
03,Meggan Cooperrider
08,Adam Koren
10,Kyle Ord
13,HEATHER ARMSTRONG
15,Jeffrey Voss
17,Brooke Ray Smith
20,NICOLE COPTI
22,Eric Rivera
23,NICOLE JOHNSON
25,Samantha Applegate
27,Nicholas Thompson
28,Jordan Gatti
30,Grant Farrington
31,JENNIE YANG
32,Meghan Berry
40,Brett Mitchell
43,Georgia Valentine
55,Eric Richardson
73,Kimmey Hardesty
77,Alec Surmani
80,Ally Mitchell
81,Caner Cooperrider
88,Bill Liu
b,r,e,a,k
7 Express,7
0,CLAIRE Gunderson
0,Diane Palmer
0,EMORY CRANE
0,Meaghan Lass
0,Hannah Garfield
0,Avery Reed
0,Sarah Kay Dela Cruz
0,Kevin Liang
0,Thomas Piper
1,Veronica Auletta
5,Kyla Dayer
05,Joe Santosus
12,Joe Babbino
13,Erin Leonard
15,Michael Drost
16,Ashley Gulyas (Snyder)
19,BENJAMIN IVERS
21,Matthew Auletta
45,Brenton Hard
46,Austin Bonelli
46,Jesse Moskowitz
50,Amelia Ni
51,MICHAEL ALBANI
79,YOKO YAMADA
80,Ryan Drost
87,Daniel Wekstein
b,r,e,a,k
Pleasuretown,15
0,Jesse Simons
0,Laura Masulis
0,Herman (Alex) Weck
02,Grant Fiddyment
03,Christopher Tonry
05,KEITH SHAPIRO
06,Claudia Vasquez
07,Katherine England
08,LOUISA CONNAUGHTON
09,CHRIS VASICH
13,SUSAN WALTON
16,Rhiannon Myers
17,ROSE GREELEY
18,ALLISON WEBSTER
19,Garrett Braun
20,Donnelly Roberts
23,ANDREW ROBERTS
27,Nadav Pearl
33,Kiersten Mailler
37,KALI JOSEPH
50,Harrison Greene
59,Timothy Glover
76,MATTHEW PACE
89,Andrew Lennon
99,ELIZABETH NICHOLS
b,r,e,a,k
Mischief,6
0,Ben Parrell
00,Matt West
03,Preeti Nalavade
05,Matthew Crawford
06,Lori Eich
08,Jessica Madding
09,Brett Petersen
10,Sharon Lin
11,Jonathan Greenberg
12,Candice Tse
13,Tyler Grant
14,KIRK WILLMARTH
15,Annee Rempel
20,Jenny Wang
23,Kate Pearson
24,Nicholas Weiss
27,Remy Schor
38,Katrina Velayo
42,Matt Jaffe
80,Kevin Smith
99,Andrew Berry
b,r,e,a,k
Lions,11
0,Allison Springer
0,Michael Lipsitz
0,ADAM JOHNSTON
0,Ryan Kelley
0,Margot Lieblich
0,Jacob Saunders
0,AMANDA ECKHOFF
0,Courtney Remm
0,Ariel Plotkin-Gould
0,ERIC DIXON
0,Meredith Duffy
0,Dana Grandoni
0,Frank Weng
0,Chris Zybert
0,Elliott Gould
0,Cara Battersby
0,TRACY SNYDER
0,Dean Culver
0,EMILY PEARSON
2,WILLIAM HUI
9,John Sullivan
10,JAKE CORMIER
11,Samuel Letcher
31,Jenni Ladutko
47,Kevin Chen
56,Jen Beatty
64,Dillon Roberts
b,r,e,a,k
Cosa Nostra,3
0,Christopher McBride
6,William Owens
07,Victoria Salimov
09,Rebecca Smith
10,David Reinhardt
11,PAUL HANNA
13,Varun Pattani
14,Alexandra Cunningham
15,Emily Scholten
17,Brady Cowiestoll
18,Sawyer Thompson
20,KIMBERLY HYDE
23,Ryan Pickens
27,Aaron Saylor
32,Paul Starkel
33,Erin Schran
88,JEANNE YU
99,Rachel Yeager
b,r,e,a,k
Bird,14
01,TY THORSEN
02,Dan Hunt
03,Bryan Vohnoutka
04,Emma Peaslee
08,Clayton Thomas
09,Tavis Leighton
10,Tristan Grovender
11,Mara Saltzman
12,Michael Ruble
13,GORDON STECKLEIN
14,Katherine Zimmermann
15,Daniel Schmit
17,Ryan Oto
18,Katherine Claiborne
19,Brian Larson
21,JANNA JANSEN
22,Tobie Miller
23,EMILY PETERSEN
24,ANDREW KELLEY
25,Hannah Masuga
33,Nihal Bhakta
43,Michael Loper
44,Lukas Powers
93,Justin Hill
96,Brian Edgerton
97,Andrea Uhl
b,r,e,a,k
Steamboat,12
8,Tim Settles
9,Kelly Ramsburg
9,HAJNAL SALANKI
03,Eddie Mack
05,Ryan Gorman
06,Stephanie Mack
10,Jennifer Golan
11,JOHN  SIEMER
13,Kate McInerney
14,William Huffer
15,Aaron Bacon
17,Travis Knight
18,Kellan Gibboney
21,MARK ANDERSON
22,Brittany Winner
23,Kendalyn Paulin
27,Christopher Powers
28,Jeff Haney
30,Lucia Derks
38,Joe Mozloom Jr
40,Peter Mancini
44,Jason Mickey
47,Allison Knight
55,Emily Kraft
74,Collin McCartney
99,Kristi Schmeling
b,r,e,a,k
D'oh! Abides,4
0,JASON SCHAFER
03,ANTHONY CACALLORI
04,DREW SILER
05,Douglas Kawasaki
07,Kerry Chang
08,BARBARA HOOVER
09,CLAIRE HORAN
10,Joshua Lang
17,CHRISSIE SEILIE
20,GABRIEL PEDERSEN
21,KIMBERLY MORGAN
22,Brian Stout
24,RONALD HAUSE
31,Lincoln Verlander
37,JACKIE WILLIAMS
b,r,e,a,k
NOISE,13
0,Adam Salwen
0,TIM MCNEAL
0,Michelle VanSchyndel
0,ANDREW OTTO
0,CHLOE RIES
2,Ben Finkelstein
4,Alexander Smith
7,Josh Davidson
8,Maria Signore Becker
9,Sam Loveland
01,Francis Kelley
11,Brittany Hoegh
13,Anna Shanedling
17,Emily Dayton
19,Ari Davidson
21,Adam Trautman
22,Stephen Haynes
24,Lauren Roach
26,Andy Holt
27,Michael Swain
32,Meredith Bray
34,Matthew Becker
44,ASHLEY WEST
65,Josh Levin
66,Michael Gionet
80,Kelly Donovan
88,Claire Kelley
b,r,e,a,k
American Barbecue,5
0,Mike Weil
0,Noel Arsenault
0,Kevin Manss
0,JACK MOXON
0,Sarah Carnahan
0,Molica Anderson
0,COLIN MORGAN-OUTHISACK
0,Kyle McBard
0,YVETTE FISHER
0,Dan Parker
0,ANGELA HUNT
0,Marlena Hartman-Filson
0,NICOLE WIRES
0,Andrew Hooker
0,Brandon Kwock
0,Alex Grande
0,RYAN HUNT
0,Jake Coleman
0,NICK AUGER
0,Caroline Loh
0,MEGAN MCCLAIN
0,LYUDA GRIGORIEVA
2,Damian Park
8,Adrienne Baker
16,Jason Seidler
25,ALLISON FINK
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
7 Figures,Santa Maria,10,9,"08/02/2014, 08:00",Pool A
Ambiguous Grey,RUA,13,11,"08/02/2014, 08:00",Pool A
7 Figures,Ambiguous Grey,13,6,"08/02/2014, 11:30",Pool A
Santa Maria,RUA,12,8,"08/02/2014, 11:30",Pool A
7 Figures,RUA,11,7,"08/02/2014, 13:15",Pool A
Ambiguous Grey,Santa Maria,12,7,"08/02/2014, 13:15",Pool A
pool,Pool B
Groove,Blackbird,9,13,"08/02/2014, 08:00",Pool B
7 Express,Pleasuretown,11,7,"08/02/2014, 08:00",Pool B
Groove,7 Express,12,8,"08/02/2014, 09:45",Pool B
Blackbird,Pleasuretown,12,7,"08/02/2014, 09:45",Pool B
Groove,Pleasuretown,11,10,"08/02/2014, 11:30",Pool B
7 Express,Blackbird,7,13,"08/02/2014, 11:30",Pool B
pool,Pool C
Cosa Nostra,Lions,9,13,"08/02/2014, 08:00",Pool C
Mischief,Bird,13,11,"08/02/2014, 08:00",Pool C
Cosa Nostra,Mischief,11,13,"08/02/2014, 09:45",Pool C
Lions,Bird,12,11,"08/02/2014, 09:45",Pool C
Cosa Nostra,Bird,13,10,"08/02/2014, 13:15",Pool C
Mischief,Lions,13,6,"08/02/2014, 13:15",Pool C
pool,Pool D
D'oh! Abides,Steamboat,10,13,"08/02/2014, 09:45",Pool D
American Barbecue,NOISE,9,13,"08/02/2014, 09:45",Pool D
D'oh! Abides,American Barbecue,13,9,"08/02/2014, 11:30",Pool D
Steamboat,NOISE,12,8,"08/02/2014, 11:30",Pool D
D'oh! Abides,NOISE,13,12,"08/02/2014, 13:15",Pool D
American Barbecue,Steamboat,12,13,"08/02/2014, 13:15",Pool D
b,r,e,a,k
brackets,Bracket Play
bracket,Championship Bracket
7 Figures,Blackbird,13,5,"08/03/2014, 12:15",Finals
7 Figures,Steamboat,13,6,"08/03/2014, 09:45",Semis
Mischief,Blackbird,13,14,"08/03/2014, 09:45",Semis
7 Figures,Groove,13,10,"08/03/2014, 08:00",Quarters
Steamboat,7 Express,13,9,"08/03/2014, 08:00",Quarters
Mischief,D'oh! Abides,13,11,"08/03/2014, 08:00",Quarters
Blackbird,NOISE,13,4,"08/03/2014, 08:00",Quarters
Groove,Cosa Nostra,13,8,"08/02/2014, 15:00",Prequarters
Lions,7 Express,7,10,"08/02/2014, 15:00",Prequarters
