Women's College Centex,College - Women ,22,3,2014
Austin; Round Rock,TX,2014-03-22,2014-03-23
https://play.usaultimate.org/events/Womens-College-Centex/schedule/Women/CollegeWomen/
Michigan,8
teamInfo,Flywheel,"Ann Arbor, Michigan",www.flywheelultimate.com,,@UmichFlywheel
1,Alyssa Abbey
2,Maggie Price
3,Kati Turner
4,Becky Moore
6,AMANDA WHITEHOUSE
11,Tracey Lo
12,NICOLE BILTZ
14,Theresa Zettner
17,Maya Grumeretz
20,Emma Boyd
21,Meeri Chang
22,Meghan Drews
24,Charlotte Wilson
27,Bailey Besser
34,Carolyn Vlach
37,Hannah Henkin
44,Grace Denney
72,Jacqueline Jarik
b,r,e,a,k
California-Santa Barbara,1
teamInfo,Burning Skirts,"Goleta, California",,,
9,Talia Barth
11,WINNIE LAM
12,Angela Dong
16,Dana Patterson
16,Joy Kang
17,KRISTIN ARAKAWA
20,KELLY GROSS
21,NOELLE  NEASON
26,Lisa Pitcaithley
27,Kelsey McClung
34,Kristen Snyder
36,Rachel Johnston
45,Kieran Hughes
89,Samantha Kretchmar
b,r,e,a,k
Kansas,9
teamInfo,Betty Ultimate,"Lawrence, Kansas",https://bettyultimate.wordpress.com,https://www.facebook.com/pages/Betty-Ultimate/144061402213,https://twitter.com/bettyultimate
coaches,Loren Schieber
02,Kate Eshelman
04,Kat Songer
08,Lilly Bakker
10,Christina Baker
11,Jordan Warren
11,Jordan Alonzo
12,Clare Frantz
14,Kelsey Akin
15,DUNG NGUYEN
16,TESS HOERLE
17,Caitlin Fitzgerald
19,Molly Welsh
20,Nadine Rowen
21,JORDAN KACZOR
22,Kailee Karr
23,Alexa Kaczor
24,Grace Roth
27,Megan Burns
31,Jennifer Corcoran
45,Janie Reiter
69,Emily Davidson
b,r,e,a,k
Central Florida,2
teamInfo,Central Florida,"Orlando, Florida",,,
0,Nicole Feldman
0,FELICIA PEREZ
0,JODI DEARING
0,Carolina Gonzalez-Llanos
0,SHELBY SPENCE
0,JAYMI CURRAN
0,TIA PERSAUD
0,Sara DeMonaco
0,Alexa Wood
0,KALAH ST. PIERRE
