2017 Central Plains Men's Sectionals,Club - Men ,9,9,2017
Black Market
0,Alex Henderson
0,Austin Ambrose
0,Cameron Brock
0,Jacob Fella
0,Jarod Brock
0,Jesse Jenkins
0,Stephen Schott
0,Stephen Conner Henderson
11,Colton Steiner
12,Colin Ringwood
16,Heath Kalaba
19,SPENCER LOSCAR
22,Kyle Cox
23,Zach Zebarth
28,Samuel Sohn
30,Wally Kasprzycki
40,Brian Ventura
44,Donovan Triplett
85,John Jones
b,r,e,a,k
Black Market,The Roofing Co.,13,11,"09/09/2017, 12:30"
Haymaker,Black Market II,13,3,"09/09/2017, 12:30"
Satellite ,Los Beeros,13,4,"09/09/2017, 12:30"
Black Market,Haymaker,9,7,"09/09/2017, 14:15"
The Roofing Co.,Satellite ,11,10,"09/09/2017, 14:15"
Black Market II,Los Beeros,13,7,"09/09/2017, 14:15"
Black Market,Satellite ,13,10,"09/09/2017, 16:00"
Haymaker,Los Beeros,13,1,"09/09/2017, 16:00"
The Roofing Co.,Black Market II,13,11,"09/09/2017, 16:00"
Black Market,Los Beeros,13,4,"09/10/2017, 09:30"
Haymaker,The Roofing Co.,10,11,"09/10/2017, 09:30"
Satellite ,Black Market II,13,8,"09/10/2017, 09:30"
Black Market,Black Market II,13,5,"09/10/2017, 11:15"
Haymaker,Satellite ,13,7,"09/10/2017, 11:15"
The Roofing Co.,Los Beeros,13,6,"09/10/2017, 11:15"
Black Penguins Club,Nasty Girls,11,6,"09/09/2017, 08:30"
South Shore Line,Baemaker,11,3,"09/09/2017, 08:30"
Beachfront Property,Vortex,13,2,"09/09/2017, 08:30"
Brickyard,Baemaker,11,0,"09/09/2017, 10:00"
Beachfront Property,Nasty Girls,11,1,"09/09/2017, 10:00"
South Shore Line,Vortex,11,5,"09/09/2017, 10:00"
Brickyard,Beachfront Property,9,8,"09/09/2017, 11:30"
Black Penguins Club,Vortex,10,8,"09/09/2017, 11:30"
South Shore Line,Nasty Girls,11,2,"09/09/2017, 11:30"
Brickyard,Black Penguins Club,11,0,"09/09/2017, 13:00"
Baemaker,Nasty Girls,11,8,"09/09/2017, 13:00"
Brickyard,Vortex,11,3,"09/09/2017, 14:30"
Beachfront Property,South Shore Line,9,10,"09/09/2017, 14:30"
Baemaker,Black Penguins Club,12,13,"09/09/2017, 14:30"
Nasty Girls,Vortex,7,11,"09/10/2017, 08:30"
Brickyard,South Shore Line,11,5,"09/10/2017, 10:00"
Beachfront Property,Black Penguins Club,11,2,"09/10/2017, 10:00"
Baemaker,Vortex,11,7,"09/10/2017, 10:00"
Brickyard,Nasty Girls,11,4,"09/10/2017, 11:30"
Beachfront Property,Baemaker,11,4,"09/10/2017, 11:30"
South Shore Line,Black Penguins Club,11,4,"09/10/2017, 11:30"
Los Beeros,Nasty Girls,11,7,"09/10/2017, 13:00"
Black Market,Brickyard,11,15,"09/10/2017, 13:00"
Black Market,The Roofing Co.,14,12,"09/10/2017, 15:00"
The Roofing Co.,South Shore Line,15,11,"09/10/2017, 13:00"
South Shore Line,Beachfront Property,10,15,"09/10/2017, 15:00"
Haymaker,Beachfront Property,11,15,"09/10/2017, 13:00"
Haymaker,Black Penguins Club,15,9,"09/10/2017, 15:00"
Satellite ,Black Penguins Club,12,14,"09/10/2017, 13:00"
Black Market II,Baemaker,4,11,"09/10/2017, 13:00"
