7th Annual Ben's Barmitzvah 2018,College - Women ,24,2,2018
Xavier
 ,Quayniece Page
0,Sara Kula
0,Sophia Needham
0,Vivien  Fisher
0,Zion Huber
0,Aimee Boivin
0,Alexa  Fountain
0,Amelia Kennedy
0,Anne Tobler 
0,Bailey Perkins
0,Caroline Murphy
0,Catie Keck
0,Claire Fischer
0,Claire Schwaba
0,Danica Zimmerman
0,Emily Kehling
0,Jacqueline Fox
0,Marissa Leff
0,Mary Timmons
b,r,e,a,k
Dayton
01,Renee Finan
04,Veronica West
06,Maria Gordon
07,Alexandra Altomare
08,Lauren Drankoff
09,Lauren Lowen
10,Morgan Day
11,Emily McDonagh
12,Madison Field
14,Lianna Nordwig
18,Kasey Mulligan
19,Audrey Hayes
23,Julia Hunter
24,Madison Kurlandski
27,Olivia Bayer
29,Lauren Breitenstein
30,Abby Kelly
33,Jana Graham
42,Chloe Billig
64,Tara McLaughlin
b,r,e,a,k
Ohio
0,Abbey Didier
0,Andie Hunt
0,Arielle Dickerman
0,Ashley Chong
0,Caroline Gulla
0,Grace Stanley
0,Hannah Wilder
0,Jamie Schrock
0,Kate Karlovich
0,Katelyn Schaeffer
0,Lexie Thomas
0,Martina Costanza
b,r,e,a,k
Ohio State (B)
0,Annalee Sekulic
0,Erica Behrens
0,Grace Osborn
0,Grace Allwein
0,Jenna Zhu
0,Jessica Mosher
0,Jessie Shi
0,Kate Bliven
0,Katherine Libby
0,Kaylee Hollnagel
0,Lauren Schnitkey
0,Lily Mae Abels
0,Mags Colvett
0,Megan Andes
0,Megan Klosterman 
0,Monica Sun
0,Morgan Hyland
0,Priyanka Tewani
0,Rao Jiao
0,Zoe Bliss
b,r,e,a,k
Miami (Ohio)
0,Jenna Celek
0,Kate Witzgall
0,Lauren DeMarks
0,Sarah Siegel
0,Danielle Oh
0,Dena Werts
10,Grace Leonard
16,Emily Sherlock
b,r,e,a,k
Xavier,Dayton,7,9,"02/24/2018, 08:00"
Ohio,Xavier,9,10,"02/24/2018, 10:00"
Ohio State (B),Dayton,1,13,"02/24/2018, 10:00"
Ohio State (B),Xavier,9,12,"02/24/2018, 12:00"
Ohio,Dayton,12,5,"02/24/2018, 14:00"
Ohio,Miami (Ohio),13,5,"02/24/2018, 15:00"
Dayton,Miami (Ohio),13,6,"02/24/2018, 19:00"
Ohio State (B),Miami (Ohio),9,8,"02/24/2018, 21:00"
Ohio,Ohio State (B),13,1,"02/25/2018, 09:00"
Xavier,Miami (Ohio),13,7,"02/25/2018, 16:00"
Ohio,Dayton,10,8,"02/25/2018, 13:30"
Xavier,Dayton,5,15,"02/25/2018, 11:15"
Ohio State (B),Xavier,7,14,"02/25/2018, 13:30"
Ohio State (B),Miami (Ohio),10,4,"02/25/2018, 18:15"
