The Tech Tour 2018,College - Men ,30,3,2018
Michigan Tech
01,Adam Cronin
06,Franklin Uganski
09,Mitchell DeNooyer
12,Chad Heldt
13,Justin Skinner
16,Ryan Sutherland
17,Brendan McCann
21,Drake Slater
23,Sean Smith
32,Alex Mardlin
35,Kevin Anthony
51,Conner Reed
56,Gregory Korinek
69,David Bellinger 
b,r,e,a,k
Northern Michigan
 ,Connor Laitinen
0,Curtis Painter
0,Brendan Kray
0,Caleb Smith
0,Chase Fair
0,Maxwell Mraz
0,Shaun Lohman
30,Austin Masselink
91,Gerhard Klein
b,r,e,a,k
Michigan State
 ,Andrew Sjogren
 ,Daniel  Dodge
 ,Grant Pearce
 ,Ryan Plumstead
 ,Ramsey Daouk
0,Ryan Radawiec
0,Ryan Yergin
0,Nick Lenaghan
0,Sawyer Ruben
0,Souichi Terada
0,Trevor Varner
0,Hunter Lowe
0,Jake Pruitt
0,Dex Dremann
0,Alex Carls
0,Alexander Krantz
0,Andrew Corn
0,Andrew Duquette
0,Ashton Hoffman
0,Collin Higgins
0,Conrad Landis
0,Daniel Brown
21,Jake Blankemeier
82,Kevin Kern
b,r,e,a,k
Michigan Tech,Northern Michigan,13,2,"03/30/2018, 15:30"
Michigan State,Michigan Tech,14,15,"03/31/2018, 09:30"
