Atlantic Coast Showcase (ACS) NCSU vs Virginia,College - Women ,16,3,2018
North Carolina State
 ,Ashley Powell
0,Becky Widmayer
0,Abigail Campbell
0,Alice Widman
0,Alix Robbins
0,Ana Solberg
0,Carmen Tormey
0,Catherine Nansalo
0,Charity Robinett
0,Christa Parrish
0,Danielle Sawyer
0,Ellie Scott
0,Emma Bartlett
0,Holly Nelson
0,Jacqueline Hausle
0,Jen Bradley
0,Julia Sawin
0,Lisa Keller
0,Mary Clarke Worthington
0,Melissa Gronske
0,Rowan Jaynes
12,Briana Campbell
b,r,e,a,k
Virginia
00,Allison Hahn
01,Laura Baird
03,Brooke Meinhart
04,Christine Derieux
05,Khin  Kyaw 
06,Jianna Torre
07,Haley Herrmann
08,Claire Burke
09,Isabella Savage
10,Alyssa Curry
11,Erin Flores
12,Caymen Rexrode
13,Ellie Wood
15,Julia Harris
16,Caroline Bereuter
17,Shuchi Amin
19,Brittney Vargas
22,Claire Reagan
23,Megan Gallagher
24,Phoebe Merrick
27,Lindy Torvinen
29,Kelsey Schoeman
29,O'Linda (Blaise) Sevier
39,Selina Cheng
69,Megan Kenny
99,Chandler Smith
b,r,e,a,k
North Carolina State,Virginia,15,8,"03/16/2018, 19:45"
