Atlantic Coast Showcase (ACS) NCSU vs UNC,College - Women ,20,3,2018
North Carolina State
 ,Ashley Powell
0,Becky Widmayer
0,Abigail Campbell
0,Alice Widman
0,Alix Robbins
0,Ana Solberg
0,Carmen Tormey
0,Catherine Nansalo
0,Charity Robinett
0,Christa Parrish
0,Danielle Sawyer
0,Ellie Scott
0,Emma Bartlett
0,Holly Nelson
0,Jacqueline Hausle
0,Jen Bradley
0,Julia Sawin
0,Lisa Keller
0,Mary Clarke Worthington
0,Melissa Gronske
0,Rowan Jaynes
12,Briana Campbell
b,r,e,a,k
North Carolina
03,Ivey Long
04,Julia Zwierzynski
06,Qing (Jenny) Wei
07,Bridget Johnson
08,Alice Wang
09,Elisabeth Parker
10,Olivia Monroe
13,Tyler Smith
14,Meg Van Horn
15,Florence Brooks
18,Vany Nguyen
20,Bridget Mizener
22,Anne Worth
25,Mary-Catherine Adams
27,Mary Rippe
28,Rachell Xu
34,Alexandra Barnett
35,Maggie Adams
37,Anna Xu
42,Rebecca Fagan
55,Erika Neave
86,Connie Cui
b,r,e,a,k
North Carolina State,North Carolina,8,12,"03/20/2018, 18:00"
