East Plains Womens Sectionals,Club - Women ,6,9,2014
Flo
 ,LISA GONZALEZ
00,Jordan Otrembiak
02,SAEHAN LENZEN
03,Candice Otrembiak
04,Shannon Burnett
05,ASHLEY MESSINA
05,Connor Shirley
07,MICAELA CONNORS
08,Rachel (Home) Levine
09,STEFANIE Bruns
12,KELLY DEITERS
13,Maria Dienger
16,DIANA JIANG
17,Natalie stubbers
18,Megan Timmerman
20,Mary Beth Anzovino
21,LAURA TILL
22,Liz Anderson
25,STEPHANIE SCHROEDER
28,Sarah Kleymeyer
29,JAMIE DELL
32,SARA JANE HUBBARD
33,KRISTIN WELCH
42,OLIVIA BARROW
44,Malika Smoot
76,Izzi Bikun
78,Tiffany Lim
b,r,e,a,k
Belle
00,GRACE FRANCOMB
00,Holly Koch
00,Eleanor Fishlock
00,Teressa Kenny
00,LUCY TELLER
00,Madison Wilker
04,Anastasia Cappozzo
05,Emily Wang
06,Hayley Samson
09,Anna Grace Stephenson
11,Savannah Jeffries
13,Janey Vandegrift
14,Kameron Horn
17,Rachel Monnin
19,SARA FRIEMOTH
21,Catherine Evers Smith
25,Alora Reiff
33,Katie Brown
42,Amber Karkiewicz
49,Emily Dorsey
63,Katherine Fry
88,Kjersti Fry
93,Kayla Fry
98,Emma Wilker
99,Maddie Samson
b,r,e,a,k
BUS
0,PAIGE ASMANN
0,Kristen Plews
0,Emily Sharick
0,Emily Steedman
0,Kelly Ross
0,SARAH KERSCHER
0,Amber Landry
0,Michelle Taylor
0,MICKELLEA TENNIS
0,Emily Ash
0,Lisa Lichtenstein
b,r,e,a,k
Flo,Belle,14,11,"09/06/2014, 10:00"
BUS,Belle,10,14,"09/06/2014, 12:00"
Flo,BUS,14,13,"09/06/2014, 14:00"
