New England D-III College Women's Regionals,College - Women ,30,4,2016
Williams
03,Alison Hill
04,Mairead Reynolds
06,Caley Dickinson
07,Louisa Goss
08,Christine Reed
09,Haley Lescinsky
12,Caroline Weinberg
13,Mia Wang
14,Abigail Miller
16,Liliana Bierer
17,Rachel Retica
21,Alison Roach
23,Andrea Quintanar
25,Ava Anderson
26,Eliza Klein
27,Claudia Forrester
30,Jocelyn Volk
44,Rachel Krcmar
50,Lane Davis
76,Amy Rosten
b,r,e,a,k
Stonehill
0,Abigail Weston
0,Amanda Sager
0,ASHLEIGH BURTON
0,Jessica Gustafson
0,Elise Cavanaugh
0,Nicole Grace
0,Ryan DiFalco
0,Connie Hodge
0,Zoe Lavoie
0,MARISA NIEVES
0,Samantha Bertherman
0,Lauren Almonte
0,Kristen Nevins
0,Jessica Burton
0,Samantha  Carey
0,Mary Furlong
b,r,e,a,k
Wellesley
0,Ann Ritchie
0,Vivienne Shaw
0,Divya  Satishchandra
0,Hye Sun Yun
0,Maja Svanberg
0,Madeline Taylor
0,Laura Cassetty
0,Lea Davis
0,Adrianna Tan
0,Evan Williams
0,Shreya Thatai
0,Fiona Chung
0,Meredith McCormack-Mager
0,Megan Chen
0,Emery Otopalik
0,Cat Yoke
0,Jenny Wang
0,CASSIDY TANNER
0,Lazel Pineda
0,Jazlyn Akaka
0,Haley Pleskow
0,Galen Chuang
0,Karina Chan
b,r,e,a,k
Smith
0,Kendra  Bonde 
0,Kaylie Abner
0,Julianna Alvord
0,Delaney McKeon
0,Anja Nordstrom
0,Brianna Jackson
0,Kyra McClary
0,Emmaline Longnecker
0,HANNAH MONSON
0,Joanna Mueller
0,Kyle Gouchoe-Hanas
0,Anna Rogers
0,Leah Parker-Bernstein
0,Briana Gonzalez
0,Isabelle Owen
0,Emily McCarter
0,Kaitlyn Klema
0,Emma Livernois
0,Amalia Leamon
0,Julia Graham
0,Maura McAndrew
0,Elysia Wang
0,MARY BADGER
0,Noa Randall
0,ASIA LITTELL
b,r,e,a,k
Mount Holyoke
 ,Hyeji Kim
 ,Mary Margaret  Meenehan
 ,Yue Deng
 ,Alice Richardson
 ,Erika Tai
 ,Michelle Wellman
 ,Chloe Martin-Poteet
 ,Annakate Schatz
 ,Sophey Dong
 ,Ada Schnake
0,Molly Morgan
14,Bernadette Norman
18,Kalin Hanson
19,ALAINA MCGINLEY
21,Katrina Meserve
24,Rose Dennis
26,Elizabeth Nelson
28,Tahlia Hodes
b,r,e,a,k
Brandeis
 ,Rochelle Fayngor
0,Aliza Heeren
0,Georgia Nichols
0,Rosalind Ellis
0,Carly KleinStern
0,Sivan Ertel
0,GABBY ZILKHA
0,Pichya Nimit
0,Sophie Grutzner
0,Talia Zapinsky
0,Erin Kobiella
0,Devin Feigelson
0,Alison Tassone
0,Neena  Carr
0,Grace Barredo
0,Tahlia Quartin
0,Cristina Chen
0,EMILY WEISFELD
0,Lizzie Tilden
0,Becca Epstein
0,Lucy Miller-Suchet
0,Shaina Kaplan
16,Leah Levine
22,Aliya Bean
31,Sofia Lavrentyeva
38,Madeline Rosenberg
66,Eliana Bernstein
b,r,e,a,k
Bates
0,Sophia Thayer
0,Josie Gillett
0,Katherine Hartnett
0,Margaret Trombly
0,RUTH BAKER
0,WENDY GOLDMAN
0,Rachel Blaustein
0,Adair Andre
0,Hannah Gottlieb
0,ELLEN SOUTHWORTH
0,Marissa Bale
0,NATALIE SILVER
0,Claire Bartell
0,Erin Montanez
0,Madeline Dulchin
0,MARY KRATHWOHL
0,Eleanor Ross
0,Nina Sevilla
0,Erin Hazlett-Norman
0,Campbell Hart
b,r,e,a,k
Amherst
 ,JULIA YATES
 ,Victoria Zhang
0,Julia Pike
0,Taylor Pelletier
0,Mackenzie Stein
0,Pauline Herbert-Whiting
0,Gussie Hollers
0,Kelley Baumann
0,Katianna Nardone
0,Catherine O'Brien
0,Sara Schulwolf
0,Mariana Lehoucq
0,Lily Hunter
0,Lauren Weiss
0,Sarah Teichman
0,Rachel Cohen
0,Margo Cody
0,Allison Tennant
0,Anri Chomentowska
0,Lehua Matsumoto
0,Amanda Patsis
10,KAYLA COLLADO
14,Elaine Jeon
24,Julie Xia
69,Sophia Doerr
b,r,e,a,k
Williams,Stonehill,15,3,"04/30/2016, 10:00"
Wellesley,Smith,15,3,"04/30/2016, 10:00"
Williams,Smith,15,1,"04/30/2016, 11:50"
Stonehill,Wellesley,8,15,"04/30/2016, 11:50"
Williams,Wellesley,15,8,"04/30/2016, 13:40"
Stonehill,Smith,15,5,"04/30/2016, 13:40"
Mount Holyoke,Brandeis,12,4,"04/30/2016, 10:00"
Bates,Amherst,15,9,"04/30/2016, 10:00"
Mount Holyoke,Amherst,9,10,"04/30/2016, 11:50"
Bates,Brandeis,15,8,"04/30/2016, 11:50"
Mount Holyoke,Bates,5,15,"04/30/2016, 13:40"
Brandeis,Amherst,2,15,"04/30/2016, 13:40"
Williams,Bates,12,9,"05/01/2016, 10:00"
Bates,Amherst,14,5,"05/01/2016, 11:50"
Wellesley,Amherst,8,11,"05/01/2016, 10:00"
Wellesley,Mount Holyoke,6,9,"05/01/2016, 13:40"
Stonehill,Mount Holyoke,4,15,"05/01/2016, 11:50"
Stonehill,Brandeis,12,8,"05/01/2016, 10:00"
Smith,Mount Holyoke,2,12,"05/01/2016, 10:00"
Brandeis,Smith,4,9,"05/01/2016, 11:50"
