Florida women's Sectionals,Club - Women ,27,8,2016
Tabby Rosa
 ,Alexis Brantly
0,Braanah Craig
0,Joanna Barousse
0,Camilla  Edwards
0,Diana Elsner
0,Lauren Brooker
0,Kathryn Ashmore
0,Lindsi Allman
0,SAMANTHA DAME
0,Lucy Berman
0,SKYLAR SWORDS
0,Natalie Dix
0,ANNA HINKELDEY
0,Danielle Cordes
11,Brielle LeClear
14,Lauren Quiroga
19,Teal Dabney
21,Elena Rubino
23,Alissa Farina
28,Ariel Stepniak
81,Tessa Walter
85,Tabitha Mixon
b,r,e,a,k
Restless
01,Carolyn Webber
02,Helen Huang
03,ASHLIE DUMMELDINGER
04,Clea Lauriault
08,Jillienne Kubisek
12,Christine Overdevest
13,SARA PUYANA
20,Mary Kathleen Flach Quisenberry
66,Kellie Diehl
76,TANYA LOPEZ
96,SHONDA HJERPE
b,r,e,a,k
Tabby Rosa,Restless,12,9,"08/27/2016, 11:00"
