NorCal D-I College Women's CC,College - Women ,16,4,2016
Stanford
0,Megan Pera
0,Mackensie Smith
0,Alexandra Hasan
0,Christy Jarman
0,Hannah Ellis
0,Allegra Mayer
0,Anna Wysen
0,Jessalyn Siu
0,Anjile An
0,GRACE FLINTERMANN
0,Mathilda Farrell
0,Yun-Yun Lin
0,Kimberly Long
0,Kathryn Carlson
b,r,e,a,k
Nevada-Reno
0,Liz Groesbeck
03,Jordyn Williams
07,Celisa Walker
08,Delaney Jacobson
15,Audrey Blondfield
18,Brittany Estell
19,Jordanna Payne
20,Monica Davis
21,Kathleen Mills
24,Krista Smith
36,Willow Jonson
b,r,e,a,k
California-Santa Cruz
0,Anh Huynh
0,Casidee McDonough
0,Jiyeon Choi
0,Esperanza Ramos
0,ELYSE FISCHGROUND
0,Renee Robledo
0,DAPHNE GORMAN
0,Sarah Pihl
0,Juliana Zatz-Watkins
0,Audrey Lyman
0,Rebecca Jacobson
0,Valeria Esqueda
0,Morgan Lee
0,Lisa Hyndman
0,Lina Montes
0,Lena Tokmakoff
0,Frances Hamkins-Indik
0,Manzanita Griffin
0,MOLLY NAGLE
0,Emily Aminian
0,Madison Jeong
0,Sophie Blake
0,BAILEY RAMOS
0,Megan Griffith
b,r,e,a,k
Humboldt State
0,Maria Martinelli
0,Raven Moss
0,McKenna Rayburn
0,Samantha Stephens
0,Amanda Weiss
0,Kaitlyn Groleske
0,Lyla Godfryd
0,Lacey Johnson
0,Brittney Tresenrider
0,Emily Owen
0,Ellen Thompson
0,Paige  Hannemann
0,Stefanie Marikis
0,clara nilsen
0,EMMA STOKES
0,Audrey Cole
0,Noelle Sully
0,Alana Sweeney
18,Amanda Hesterman
b,r,e,a,k
Chico State 
 ,meghan harrigan
 ,Brooke Marigo
 ,Lindsay Bosio
0,Dominique  Pomi
0,Kendall McClung
0,Jenifer Galetti
0,Olivia Fisher
0,Alyssa Rodriguez
0,Claire Maxfield
0,Katie Daly
0,Amanda Costa
0,Elizabeth Buhler
0,Ellen Sampson
0,Haley O'Loughlin
15,Genevieve Millin
b,r,e,a,k
Stanford,Santa Clara,11,0,"04/16/2016, 12:00"
California-Davis,Sonoma State,11,4,"04/16/2016, 12:00"
Stanford,Sonoma State,11,2,"04/16/2016, 13:30"
California-Davis,Santa Clara,11,5,"04/16/2016, 13:30"
Stanford,California-Davis,10,7,"04/16/2016, 15:00"
Santa Clara,Sonoma State,6,9,"04/16/2016, 15:00"
California,Nevada-Reno,11,1,"04/16/2016, 09:00"
California-Santa Cruz,Humboldt State,11,4,"04/16/2016, 09:00"
California,California-Santa Cruz,11,2,"04/16/2016, 10:30"
Chico State ,Humboldt State,11,3,"04/16/2016, 10:30"
Humboldt State,Nevada-Reno,8,5,"04/16/2016, 12:00"
Chico State ,California-Santa Cruz,11,4,"04/16/2016, 12:00"
California,Humboldt State,11,0,"04/16/2016, 13:30"
Chico State ,Nevada-Reno,11,4,"04/16/2016, 13:30"
California,Chico State ,11,1,"04/16/2016, 15:00"
California-Santa Cruz,Nevada-Reno,11,0,"04/16/2016, 15:00"
California-Santa Cruz,Santa Clara,8,6,"04/17/2016, 09:00"
Sonoma State,Humboldt State,9,7,"04/17/2016, 09:00"
California-Santa Cruz,Sonoma State,7,6,"04/17/2016, 10:30"
Santa Clara,Nevada-Reno,11,1,"04/17/2016, 10:30"
Sonoma State,Nevada-Reno,11,4,"04/17/2016, 12:00"
Santa Clara,Humboldt State,11,5,"04/17/2016, 12:00"
Stanford,California,12,8,"04/17/2016, 11:00"
Stanford,Chico State ,15,4,"04/17/2016, 09:00"
California-Davis,California,7,12,"04/17/2016, 09:00"
California-Davis,California,8,10,"04/17/2016, 13:00"
Chico State ,California-Davis,3,15,"04/17/2016, 11:00"
