Midwest Throwdown 2020,College - Women ,7,3,2020
Columbia,MO,2020-03-07,2020-03-08
https://play.usaultimate.org/events/Midwest-Throwdown-2020/schedule/Women/CollegeWomen/
Northwestern,1
teamInfo,Claw,"Evanston, Illinois",http://nugungho.com,https://www.facebook.com/NUclaw,https://twitter.com/NUclaw_
coaches,Linh Hoang,Collin Klenke
0,Jessica Esteves
0,Kate  Feldstein
0,Kylie Chesner
0,Lauren McDonnell
0,Lindsey Steeg
0,Natalie Dodson
0,Rachel Anderson
0,Rey Tang
0,Cindy Mei
0,Grace Hauser
0,Isabelle Johnson
1,Sarah Johnson
3,Sara Gnolek
7,Sydney Stelzer
20,Corinne Burger
28,Talia Willmert
29,Jade Hostein
88,Catherine Chen
b,r,e,a,k
Washington University (B),33
teamInfo,Locamotive),"St.Louis, Missouri",,https://www.facebook.com/twoWUs,https://twitter.com/wuwuisLOCA
0,Chaewon Kim
0,Kate Frauenheim
0,Megan Garcia
03,Astrella Sjarfi
07,Jade Leslie
08,Abby Rubin
14,Jadey Sadoff
22,Sol Markman
23,Janice Ntimba
24,Abbie Wolfe
26,Jacqui Escatel
43,Taylor Shishido
44,Kate Carlson
44,Ellen Dai
48,Rachel Katz
b,r,e,a,k
Wisconsin-Eau Claire,16
teamInfo,SOL,"Eau Claire, Wisconsin",http://uwecwomensultimate.wixsite.com/solultimatefrisbee,https://www.facebook.com/pages/UWEC-SOL-Ultimate/119434234738605,https://twitter.com/SOLultimate
3,Brianna Keller
4,Katherine Wilmes
5,Megan Wojtasiak
6,Abigail Fischer
7,Naomi Hionis
8,Natalie Hanson
9,Alyssa Horton
11,Sophia Priebe
12,Makayla Jones-Klausing
15,Olivia Nelson
22,Natalie Cooper
27,Kira Renner
33,Maggie Guetschow
35,Alexa Miller
57,Lucy Weld
60,Paige Murphy
65,Abby Jacobson
69,Danielle Carstensen
77,Ashley Wurster
b,r,e,a,k
Knox,17
teamInfo,Alley Cats,"Galesburg, Illinois",,https://www.facebook.com/Knox-College-Ultimate-170986939622/,https://twitter.com/Knox_ultimate?lang=en
01,Katherine Zhang
03,Dieu Nguyen
05,Mikaela Bonnici
06,Jocelyn Ruby
07,Haley Metz
08,Carly Gilbert
10,Tina Jeon
11,Kathryn Snyder
13,Kylie Hoang
17,Tegan Doherty
20,Tessa Moore
22,Bennett Van Meter
24,Laura Herrand
26,Alyssa Randel
27,Lola Chamberlain
28,Natalie Juarez
36,Gloria Ponce
42,Rebecca Baird
48,Odessa Sagli
87,Allison Molinari
88,Alexia Lords
b,r,e,a,k
Truman State,2
teamInfo,TSUnami Women's Ultimate,"Kirksville, Missouri",http://tsunamiultimate.weebly.com/,https://www.facebook.com/tsunamiultimate/,https://twitter.com/tsunamiultimate
0,Lauren Wiggins
03,Alex Rositz
04,Anna Sullivan
07,Kayla Gerlt
11,Emma  Ingle
12,Rachel Barnhouse
14,Sarah Finley
15,Rita Hanch
18,Annie O'Brien
20,Makayla Bindel
21,Kaitlyn Baker
22,Madison Fulte
26,Mandi Matteucci
27,Katie Bruggeman
57,Emily Tucker
b,r,e,a,k
Minnesota-Duluth,15
teamInfo,LakEffect,"Duluth, Minnesota",https://bulldoglink.d.umn.edu/organization/umdwomensultimatefrisbee,https://www.facebook.com/groups/401771953206863/,https://twitter.com/UMDLakEffect
0,Alicia Severin
0,Lauren Hibbard
0,Mae Munkeby
0,Mikayla Runge
0,Olivia Crisp
0,Ruby Beckman
8,Erin Marshall
15,Ani Fafinski
18,Felicia Villalobos
18,Nouchee  Xiong
19,Ella King
20,Kayla Selbitschka
22,Sam Munkeby
33,Alyssa Kleppe
46,Rachel Kapsch
70,Hannah Peterson
73,Ashley Kantor
99,Athena Bolton-Steiner
b,r,e,a,k
Luther,18
teamInfo,Freya,"Decorah, Iowa",,https://www.facebook.com/pages/Freya-Ultimate/155989471091880,https://twitter.com/FreyaUltimate
02,Emma Hitz-Kelly
03,Madeleine Ross
07,Lydia Wilkie
08,Rachel Koller
09,Addison Tollakson
10,Elizabeth  Korn 
12,Mackenzie  Miller
13,Hannah Stenoien
16,Audrey Keairns
17,Nell Himlie 
21,Ella Sneltjes
23,Allison Breen
27,Theresa Easley
28,Annika Jensen
31,Vicky Harris
34,Susie Wold
55,Gracie Velasco
b,r,e,a,k
Northwestern (B),32
teamInfo,Kindle,"Evanston, Illinois",,,
0,Hannah Gaertner
0,Hannah Luther
0,Isabel Gitten
0,Kate Conner
0,Katie Lev
0,Lauren Bichelmeir
0,Lili Salcedo-Watson
0,Olivia Poole
0,Olivia Demetriades
0,Sherry Xue
0,Yabi Ayele
0,Aimee Nicole van den Berg
38,Alexandria Wilt
b,r,e,a,k
Colorado State,3
teamInfo,Hell's Belles,"Fort Collins, Colorado",,https://www.facebook.com/csuwomensultimate,@HellsBellesUlti
coaches,Liz Narmour,Molly Clay,Emily Stege
0,Abigail Wheeler
0,Annelyse Kim
0,Elena Ariola
0,Taylor Abrams
2,Jessica Affolter
3,Elizabeth Madura
5,Hannah Mimmack
8,Stevie Shock
8,Lily Whitenack
11,Katie Sheridan
13,Elena Gratton
14,Megan Kiefer
17,Sarah Hill
18,Kimberly Pannell
21,Elyse Bartucci
22,Katie Ascough
23,Hannah Renstrom
28,Julianne Nikirk
36,Amy Crump
47,Morgan Lester
55,Chloe Carlstrom
57,Deanna Sadecki
81,Alexis Morrissey
91,Eva Dunlap
b,r,e,a,k
John Brown,14
teamInfo,Savage Skies,"Siloam Springs, Arkansas",www.jbu.edu,https://www.facebook.com/jbultimate,
0,Christi Cobb
0,Emily Boyer
0,Emma  Erickson
0,Anna Carlson
0,Kassy Shelby
0,Katrina Reimer
0,Lindsay Scott
0,Makayla Kilmer
0,Sarah Yoon
0,Sean Lee
2,Heather Hughes
8,Hope Smith
10,Myah Ray
22,Beth Abdo
27,Emma Kastens
b,r,e,a,k
Illinois,19
teamInfo,Illinois,"Champaign-Urbana, Illinois",http://illinoismenace.tumblr.com/,https://www.facebook.com/IllinoisWomensUltimate,https://twitter.com/IllinoisMenaceU
0,Adeline Tan
0,Alexis Larson
0,Angela Gavic
0,Christina Thompson
0,Caroline Wheeler
0,Galilea Flores
0,Grace Caserio
0,Lily Dix
0,Rebecca Napoli
0,Rose Dinh
0,Rui Yang
0,Sushmita Azad
0,Zifan Feng
0,Zifei Feng
2,"Luisa ""RJ"" Ruge-Jones"
5,Cassidy Wichelecki
9,Brittney Gorman
14,Claire Szilagyi
19,Mary Cook
20,Shirley Saunders
23,Claire Trumbull
32,Natalia Hryniewicki
32,Faith Zou
34,Emma Worrell
42,Erin Kuehner
88,Julia Kasner
b,r,e,a,k
Kansas State,31
teamInfo,Cheshire,"Manhattan, Kansas",cheshireultimate.weebly.com,https://www.facebook.com/CheshireUltimate,
0,Emma Brunner
0,Kara Rodriguez
0,Mary Kurzweil
0,Norea Menold
0,Rebecca Ullom-Minnich
4,Indera Coffel
13,Abigail Brandl
18,Rebecca Spachek
20,Courtney Neilson
35,Christina Griese
b,r,e,a,k
Texas-Dallas,5
teamInfo,Whiplash,"Richardson, Texas",,,
0,Allison Chang
0,Dom O'Neill
0,Elizabeth Higgins
0,Jennifer Nguyen
0,Nupur Sampat
0,Rebecca Chase
0,Shruthi Subramanium
2,Brianne Welkener
5,Corrina Spurlin
9,Madison Nickerson
16,Camille Gerstner
18,Jamie Eriksson
23,Elissa Balke
27,Kylee Glenn
31,Emma Bronnenberg
33,Olivia Osborne
49,Jacqueline Pham
53,Olivia Bonin
69,Bristol Lovoy
b,r,e,a,k
Wisconsin-Milwaukee,12
teamInfo,BlackCat ,"Milwaukee, Wisconsin",,,https://twitter.com/BlackCat_Women
0,Carly Borchardt
0,Kaylee Hintz
0,Maggie Benson
4,Callen Shaw
6,Lydia Olejniczak
9,Emma Heller-Cavener
07,Peyton Miller
08,Rozelynn Becker
14,Fiona McGilligan
17,Cailin Ahnen
20,Aj John
22,Rachel Jordan
25,Sarah Ettsman
26,Anna Callahan
27,Kensington Naze
30,Jadin Stoffel
b,r,e,a,k
Macalester,28
teamInfo,Pursesnatchers ,"Saint Paul, Minnesota",,,
0,Kiera Collins
7,Nicole Sponseller
8,Clare Johnson
01,Madeline Lee
11,Becca Gallandt
12,Jane Roarty
14,Eleanor Wettstein
17,Nora Fried
19,Molly O'Brien
20,Alana Joseph
21,Vivian Powell
22,Louisa Mullin
23,Katherine Hunton
24,Rachel Gralnek
26,Katherine Hahn 
27,Kate Seeger
34,Phoebe Morris
36,Rachel Spencer
41,Marley Kehew
44,Emma Curchin
49,Sally Herman
51,Nora de Rege
53,Kira Schukar
55,Elizabeth Curtiss
77,Kaila Righi
89,Julia Record
b,r,e,a,k
Drake University,21
teamInfo,iBex,"Des Moines, Iowa",,https://www.facebook.com/DrakeiBex/,https://twitter.com/drake_ibex
0,Charlotte Allard
0,Sarah Bogaards
0,Savannah Schaefer
0,Grace Mikelsons
17,Anna Nelson
23,Clara Rush
25,Sophia Siegel
28,Aili Huss
79,Annemiek Arkema
97,Lexi Dauner
99,Tina Intarapanont
b,r,e,a,k
Washington University,6
teamInfo,Iron Horse,"St. Louis, Missouri",,https://www.facebook.com/twoWUs,https://twitter.com/wuwultimate
0,Nina Mantegna
01,Isabella Singer
04,Kira Harris
05,Katie Madden
06,Kate Sands
10,Julia Wang
11,Sarah Stier
12,Ainsley Tran
16,Lindsey Hauck
18,Emily Lawrence
21,Maggie Zhang
27,Talia Paulson
29,Irene Zhou
31,Allison Murphy
45,Sophia Smith
54,Allie Periman
64,Isabel Shapiro
77,Margaret Eisfelder
81,Alli Levitas
b,r,e,a,k
Iowa,11
teamInfo,Saucy Nancy,"Iowa City, Iowa",http://saucynancyultimate.weebly.com/,https://www.facebook.com/saucynancyultimate/?ref=hl,https://twitter.com/SaucyNancyIowa
coaches,Peter Shayman
02,Kelsie Tingle
04,Abby Willging
07,Noreasa Higgins
10,Chloe Malkinson
11,Tristen Lyddon
12,Erin McFadden
13,Danica Porter
14,Isabella Tramel
15,Marissa Lyon
16,Mina Rao
18,Claire Meyer
19,Johanna Chambers
20,Rebecca Crown
21,Marissa McFadden
22,Jessica Huang
23,Greta Larget
24,Kelly Crowley
25,Abigail Davison
34,Margaret Norland
41,Katherine Kruser
44,Grace Liebl
73,Bet Wallace
82,Bridget Joers
b,r,e,a,k
Grinnell,22
teamInfo,Grinneleanor Roosevelts,"Grinnell, Iowa",,,
0,Clare Newman
0,Clare Roarty
0,Elia Dewey
0,Eliza Meyer
0,Ella Mullin
0,Erin Ritter
0,Eva Gemrich
0,Grace Duffy
0,Greta Schmidt
0,Jin Komerska
0,Kiran Loewenstein
0,Lauren Edwards
0,Mallory Graham
0,Maren Cooper
0,Marley Mullin
0,Mia Overvoorde
0,Samantha Morrison
46,Miriam Tibbetts
b,r,e,a,k
Missouri,27
teamInfo,Terror Mizzou,"Columbia, Missouri",,http://www.facebook.com/MuWomensUltimate/,http://www.twitter.com/TerrorMizzou
0,Claire Hassler
0,Emily Cooper
0,Joni Oswald
0,Katelin Daino
0,Kayla Augdahl
0,Lillie McConnell
0,Nicole Smythe
0,Ashley Spillman
0,Suzanna Grills
4,Olivia Chambliss
5,Aubry Boulware
9,Annie Dolan
