Bring The Huckus 10 2020,College - Men ,22,2,2020
Vineland,NJ,2020-02-22,2020-02-23
https://play.usaultimate.org/events/Bring-The-Huckus-10-2020/schedule/Men/CollegeMen/
Villanova,1
teamInfo,Main Line Ultimate,"Villanova, Pennsylvania",http://villanovaultimate.weebly.com,,https://twitter.com/VUMainLine
0,Alec Henderson
0,Christian Caiola
0,Christopher Radcliffe
0,Daniel O'Connor
0,Frederic Sommer
0,George Schneider
0,John Fattore
0,Justin Searcy
0,Leonardo Seoane
0,Michael Gould
0,Nicholas Ferrante
0,Nolan Wacker
0,Peter Psyllos
0,Sean Tuthill
6,Erik Sundlof
8,Max Burkett
11,Henry Dietrich
12,Patrick Berryman
15,Dominic Martinez
16,Ryan Ford
17,Trevor Yandow
19,Robert Spinnler
20,Ethan Hood
23,Jordan Ciccarone
26,Brian Golden
28,Benjamin Janosky
30,Jose Nacion
33,Jack Doggett
55,Michael Stefano
57,Bryan DelleDonne
b,r,e,a,k
Stevens Tech,8
teamInfo,Stevens Tech,"Hoboken, New Jersey",,,
0,Owen Conway
3,Matt Koerner
5,David Smolyak
11,Roman Sawycky
14,Caleb Krantz
17,Scott Borgstedt
20,Zion Fung
24,Dylan Regan
25,Caleb Choy
27,Matthew Evanego
30,Johnny Wong
32,Matthew Biehl
34,William Suitt
53,Liam Nagel
58,Tyler Curtis
60,Joshua Schmidt
88,Anthony Bianco
96,Ronald Ankner
98,Kyle Dew
b,r,e,a,k
Haverford,9
teamInfo,Big Donkey Ultimate,"Haverford, Pennsylvania",,,https://twitter.com/donkeyultimate
0,Logan Post
0,Shi Jie Samuel Tan
0,Solomon Presser
1,Hank Greenberg
3,Frederick Gould
4,Paul Wynkoop
10,Federico Perelmuter
12,Harrison Taussig
13,Jacob Gorenburg
15,Jake Gold
15,Lucas Voit
19,Ewan Lang
27,Jackson Foyle
31,Eric Beery
33,Eli Melnick
61,Theodore Smith
63,Moselle Burke
86,Mac Lyle
b,r,e,a,k
SUNY-Cortland,16
teamInfo,Team Rocket,"Cortland, New York",,,
0,Bradley Tipton
0,Brandon Cajigas
0,Brody French
0,Bryce Schweikowsky
0,Cameron McDaniel
0,Christopher Topper
0,Dane Perez
0,Daniel O'Neill
0,Dean Mealey
0,Devin Bialy
0,Gunnar Schumacher
0,Ian Stoddard
0,Jackson  Warren
0,Jed Weires
0,Jeremy Dzigas
0,Jonathan Cangelosi
0,Jordan Lambert
0,Joseph Gerstle
0,Joseph Strang
0,Kevin Flaherty
0,Kevin Allan
0,Kyle Schwager
0,Kyle Pickett
0,Kyle Doernberg
0,Kyle Brunner
0,Lucas Brazier
0,Mark Weidman
0,Matt Bartley
0,Matthew Casey
0,Matthew Montelibano
0,Michael Gardner
0,Nathaniel Potter
0,Adam Aldrich
0,Gary Benken
0,Gilbert Joshua Pecho
0,Robert Kleiman
0,Sam Dunmire
0,Tim Boyle
0,Wade Miller
0,Paul Drago
0,Phillip Miller
7,Richard Dorval
9,Nichalas Neid
25,Griffin Malcolm
32,Eric Allen
33,Nicholas DeLissio
34,Alex Gerstle
88,Kevin Rogers
b,r,e,a,k
Amherst College,10
teamInfo,Army of Darkness,"Amherst, Massachusetts",,,
0,James Maeder
0,Vaibhav Shah
1,Gerry Alexandre
3,William Cohen
4,Daniel Feldman
6,Julian Brubaker
7,David Larson
8,Griffin Lessell
9,Henry Walker
11,Erik March
12,Max Fox-Jurkowitz
24,Sam Schulz
25,Devon Stuart
32,Julian Erickson-Watson
37,Martin Glusker
99,Camilo Toruno
b,r,e,a,k
Ithaca,7
teamInfo,Nawshus Ultimate,"Ithaca, New York",,,
0,Noah Sandler
02,Eli Robinson
04,Michael Walker
09,Declan Thall
10,Elliot Mintz
11,Jack Hogan
13,Stephen Welsh
14,Jeremy Putnam
18,Noah Dunne
22,Avi Zucker
23,Andrew  Polcari 
24,Brody Staub
25,Kyle Reith
