Oak Creek Challenge 2020,College - Men ,22,2,2020
Virginia Beach,VA,2020-02-22,2020-02-23
https://play.usaultimate.org/events/Oak-Creek-Challenge-2020/schedule/Men/CollegeMen/
Georgetown,1
teamInfo,Justice,"Washington, District of Columbia",https://www.georgetownultimate.com/,https://www.facebook.com/GeorgetownJustice/,https://twitter.com/georgetownultim?lang=en
9,Henry Gunderson
04,Zachary Hankin
08,Paul Taylor
09,Daniel Brudno
10,Steven Kingkiner
13,Ryan Kelly
14,Samir Ratakonda
15,Jonah Owens
18,Jack Romp
18,Benjamin Kateman
21,Jonathan Toib
22,Thomas Elbert
24,Michael Xiao
26,Jacob Livesay
30,Brendan Kennedy
77,Brett Oppenheimer
80,Jonathan Bledsoe
88,Kunwoo Shin
99,Matthew Zuppas
b,r,e,a,k
Lehigh,5
teamInfo,Lehigh ,"Bethlehem, Pennsylvania",,,https://twitter.com/lehighultimate
0,Andrew Ridings
0,Andrew Schachter
0,August Eurich
0,Ben Dickson
0,Damon Luk
0,Deven Amann-Rao
0,Evan Comisac
0,Jake Donoghue
0,Logan Stormont
0,Robert Griswold
0,Shawn Silverman
0,Tino Magazzolo
0,Zachary Michael
20,Sean McCoy
35,Valentin Post
36,Ethan Holmgren
40,Evan Williams
50,Carl Saba
69,John Lund
b,r,e,a,k
Pennsylvania,4
teamInfo,Void,"Philadelphia, Pennsylvania",https://www.dolphin.upenn.edu/ultimate/void/,https://www.facebook.com/groups/2200077065/,https://twitter.com/VoidUltimate
0,Ari Bortman
0,Griffin Murphy
0,Howard Yuan
0,Keith Babitz
0,Kevin Babitz
0,Oscar Tinney
0,Richard Chai
1,Michael Becker
6,Riley Morrison
8,Max Edelstein
10,Ayaaz Versi
13,Scott Phillips
15,Noah Lewine
17,Nathaniel Hess
19,Eytan Deener-Agus
22,Charlie Ma
23,Alex Rand
26,Andrew Neale
27,Jeffrey Zhou
32,Andrew Roberts
44,Tony Qiu
50,Jonah Weinbaum
74,Brian Barrows
81,Paul Owens
b,r,e,a,k
Liberty,2
teamInfo,Flames,"Lynchburg, Virginia",,,https://twitter.com/LUmensUltimate
coaches,Kevin Habermas
0,Avery Heston
0,Caleb Stow
0,Jacob Sims
0,Joel Slaughter
0,Nelson Hill
2,Ethan Allison
3,Joshua Duke
4,Ben McCoy
4,Nico Sorrell
6,Jake Norman
8,Shawn Messick
10,Zach Milligan
11,Justin Jacobs
12,Jack Fleischer
13,John Simmons
16,John  Matthews
21,Daniel Mills
22,Joshua Sumpter
27,Noah Willson
41,Andrew Lewis
66,Sam Petersen
84,Nathan Sexten
87,Austin Heston
