Stanford Invite 2020,College - Men ,7,3,2020
https://play.usaultimate.org/events/Stanford-Invite-2020/schedule/Men/CollegeMen/
Washington,1
01,Manuel Eckert
02,Sam Cook
03,Dante Lopez-Escarez
05,Jakob Steen
06,Robert Crist
07,Gabe Port
08,Nathaniel Wipfler
09,Spencer Lofink
10,Porter Jones
11,Kevin Tellez
12,Tony Venneri
13,Jasper Dean
15,Derek Mourad
16,Kenny Tong
17,Will Simms
18,Matthew Liu
20,Dhruv Chintalapati
21,Lucas Chen
22,Owen Boram
24,Jacob Cohen
27,Peter Johnson
29,Michael Buyco
30,Nels Schimek
34,Elias Baldwin
47,Dana Baker
52,Soren Dahl
73,Chackgarin Brown
77,Nicolas Leitmann-Niimi
b,r,e,a,k
Oregon State,9
0,Ike Gilliland
2,Tyler MacMaster
3,Drew Peterschmidt
4,Kaenan Combs
5,Kellen Murran
6,Andrew Lewis
7,James Hynes-Petty
9,Xavier Ferris
10,Sean Duncan
11,Christopher Allen
12,Dan Baumgartner
13,Ian Shibley-Styer
15,Cole Eustis
16,Alexander Wilson 
17,Tobias Bird
18,Conner Stillwell
18,Finn Lawless
20,Drew Gehrke
21,Matthew Young
24,Colin Knechtel
26,Taylor White
27,Hugh MacWilliams
45,Zach Heiden
47,Lukas Dumestre
55,Devon Jones-Stanley
62,Quinn Buermeyer
77,Kyle Switzer
78,Aaron Duda
79,Benjamin Liu-May
82,Owen Welch
97,Parker Lewis
b,r,e,a,k
California,8
0,Gavin May
2,Winston Tran
3,Mason Chupka
4,Rafael Castro
6,Kushal Khangaonkar
7,Jules Fogarty
8,Drew Palmer
11,Glenn Wysen
12,Munis Thahir
15,Jacob Bruner
18,Jacob McCurdy
22,Christopher Lung
23,Trevor Aquino
25,Tommy Lin
27,Xavier  Banson
28,Donovan Mierlak
29,Vincent Su
32,Evan Magsig
42,Janssen Tan
59,Liam Kreiss
87,Max Williams
88,Nathaniel Burrill
88,Ryan Lee
b,r,e,a,k
Southern California,16
0,Austin Quan Woon
00,Benedict Ng
00,Cy Toriello
01,Mitchell Maruyama
02,John Bush
03,Ricky Kirkpatrick
07,Washington Zhao
08,Dylan Baker
11,Jonathan Jalajas
14,Robert Mobley
15,Jake Shoyer
17,Dawson Flowers
18,Phillip Yang
22,Chris Doehring
25,Evan Ostrowski
27,Jack Damiani
29,Lorand Cheng
36,Christian Barrett
44,Daniel Rabinovich
47,Diego Frankel
69,James Garvey
72,Hari Sridhara
75,Benjamin Ma
b,r,e,a,k
Colorado,2
0,Alex Atkins
01,Aylen Learned
03,Atkin Arnstein
05,Calvin Stoughton
07,Seth Wells
08,Daniel Landesman
10,Saeed Semrin
15,Brendan Sheets
16,Christopher Larson
17,Nathan Buchholz
20,Jace Pivonka
21,Jason Otsuki
22,Thomas Brewster
24,Mathieu Agee
25,Conor Tabor
26,Daniel Brunker
33,Benjamin Harris
34,Sam Radack
39,Jack Ziemer
42,Jacob Reed
44,Cole Besser
65,Joel Ives
76,Noah Shechtman
77,Miles Bush
83,Walt Johnson
88,Quinn Finer
99,Aston Horton
b,r,e,a,k
UCLA,7
0,Andrew Chen
0,Alex Broering
0,David Dumas
0,Elias Baker Allen
0,Elliot Shin
0,Evan Patel
0,Ian Geertsen
0,Jack Brewer
0,John Campbell
0,Joseph Thian
0,Luca Spycher
0,Nelson Campbell
0,Paul Pfeiffer
0,Reno Wilson
0,Riley Kirkman-Davis
0,Sutton Payne
4,Michael Peng
7,Jakob Kinoy
13,Austin Hwang
14,Derek Vance
15,Bryan  Cloutier
15,Calvin Bird
28,Drew Letvin
44,Bryson Levisay
50,Ram Goli
55,Lorenzo Duvergne
b,r,e,a,k
Tufts,10
0,Bryce Walsh
0,Caleb Seamon
0,Charles Caron
0,Conrad Walsh
0,Daniel Bronshvayg
0,Henry Caron
0,Jac Carreiro
0,Jerry  Wang
0,Matthew Shapiro
0,Oliver Feder
0,Qijin Chau
0,Ryan Megathlin
0,Aaron Epstein
0,Samuel Saron
0,Toshihiro Nagase
1,Samson Bienstock
6,Zach Singer
11,Anthony Goss
21,Ethan Schreiber
38,Nikhil Bhatia-Lin
52,Benjamin Kass-Mullet
b,r,e,a,k
California-Santa Cruz,15
0,Andrew Grosso
0,Eli Fay
0,Ethan Kleinman
0,Graham Freifeld
0,Johnny Chen
0,Kai Schniedergers
0,Karthik Pradeep
0,Liam Jay
0,Milo Kagiwada
0,Roland Christ
0,Ben Easton
0,David Woodfin
0,Tate Pieper
1,Joseph Chanin-Meiers
3,Aaron Kees
3,Xaul  Starr
6,Ryan Liu
9,Dylan Burns
14,Justin Tsuchiyama
14,Justin Cheng
16,Sean Hyslop
23,Annan Harray
24,Aaron Mercado
25,Jaxon Davrill
26,Zack Renick
71,Aidan Curry
b,r,e,a,k
Cal Poly-SLO,3
02,Chris Kaspar
05,Matt Miller
07,Peter Lenz
10,Jeremy Dolezal-Ng
11,Dodger Middlebrook
12,Ed Ryon
13,Theodore Watkins
15,Allen Zhai
17,Sander Fogarty
19,Conor Schofield
22,Jack Combs
23,Jake Thorne
24,Nate Johnson
27,Kenrick Koo
28,Morgan Sommer
30,Seamus Robinson
35,Justin Ting
36,Zach Riley
42,Keaton Bates
52,Andrew Stratford
70,Emmet Holton
80,Tate Hoyer
81,Calvin Brown
b,r,e,a,k
Stanford,14
0,Angel Ortiz
0,Baker Sharp
0,Cameron Kilpatrick
0,Charlie Shors
0,Cody Cook
0,Colin Grant
0,Isandro Malik
0,Jefferson Pruett
0,Jonathan Victorino
0,Juan Carlos Meave Ojeda
0,Langston Nashold
0,Matan Abrams
0,Prithvi Krishnarao
0,Sean Sewell
0,Simon Covington
10,Phillip Cathers
11,Nicolas Rodriguez
16,Sergio Licon
17,James Reed
22,David Mondry
24,Kevin Tien
25,Ri Chen
32,Ryan Ressmeyer
33,Nicholas Hirning
34,Toby Frager
38,John Kulikowski
99,Sam Masling
b,r,e,a,k
Colorado State,6
01,Nick Banks
02,Dylan Latham McGraw
03,John Miller
04,Mo Scott
06,Jens Suhr
07,Will McDonald
08,Jonathan Olavarria
12,Linus Mallett
13,Alfredo Macha
20,Sean Peskin
22,Jonathan Steiner
25,Ted Dhanens
27,Wesley Poole
28,Owen Camp
29,Sam Goldstein
33,Ren Pretkelis
34,Keaton Schreiber
43,Tucker Martin
54,Hudson Martin
65,Trevor Isaacson
77,Joel Cavaliere
82,Davis Lenz
94,Hayden McAdoo
b,r,e,a,k
Whitman,11
0,Joshua Shin
0,Kevin Faeustle
0,Luke Patrick
0,Michael Lans
0,Montgomery Gash
0,Patrick Hwang
0,Ryder Brookes
0,Sam Huston
0,Sam Kleven
0,Scott Macdonald
0,Tanner Filion
0,Tyler Shanahan
1,Gabe Wasserman
3,Jordan Payne
9,Samuel Dale-Gau
12,Corbin Atack
23,Tobias Zabel
34,Jarrett Arakaki
36,Caleb Sherman
85,Al Brettmann
88,Zane Pennella
99,Gabriel Zansberg
b,r,e,a,k
Oregon,4
0,Max Arquilevich
0,Theodore Sither
0,Thorin Haussecker
3,Jet Bristol-Ramsay
3,David Barram
4,Daniel Ritthaler
8,Itay Chang
8,Jack Guidry
9,Colby Chuck
12,Cylas Schooley
15,Raven Miller-Berg
17,Matt Spadaro
19,Steven Pearlman
22,Lukas Ambrose
23,Xander Cuizon Tice
31,Robert Richardson
36,Gabriel Nobis
42,Will Lohre
43,Henry Jackman
50,Graham Whealan
57,Gunter Przystawik
59,Noah Coolman
77,Kit Asterin
88,Duncan Fitzgerald
b,r,e,a,k
British Columbia,5
0,Colin Herrington
0,Darren Pun
0,Abeer Lamba
