FCS D-III Tune Up 2020,College - Men ,29,2,2020
https://play.usaultimate.org/events/FCS-D-III-Tune-Up-2020/schedule/Men/CollegeMen/
Richmond,15
0,Jeremy Mednik
02,Brett Schoppert
03,Jake Seares
04,André Shannon
06,George Maguire
08,Ben Weinstein
10,Mitchell Lauria
11,Robert Silipigni
12,Chester Todd
13,Liam Day
15,Thomas Campbell
17,Emmett Rice
18,Maxwell Wallach
19,Cameron MacKinnon
21,Ryan Kern
22,Harris Cannon
23,Ryan Keep
24,John  Jones
25,Thomas Spiker
31,Daniel Scherzer
34,Casey Hepburn
36,Jacob Pickett
39,Xavier McCormick
42,Stuart Gordon
52,Robert Croxson
55,Hunter Lang
57,Samuel Gilmore
68,Simon Curry
69,Christopher Cassella
77,Josh Magee
88,Griffin Victorson
99,Alex Pistolesi
b,r,e,a,k
Missouri S&T,10
00,Lioba Boveleth
02,Ray Mauntel
05,Quinten Volz
06,Paul Knapp
10,Ezekiel Peterson
11,Nicholas Gentry
12,Brendan Carriel
16,Nate Clancy
20,Jared McKay
23,Seth Gudeman
25,Nathan Kamp
27,Cameron Leonard
28,Eric Chavez
32,Kyle Johnson
42,John Markiewicz
44,Lawrence Eastman
b,r,e,a,k
Portland,14
2,Kyle Schraner
4,Nicolai Apenes
5,Jack Dinsmore
10,Braeden Lane
13,Travis Bigelow
17,Carl Justin Hermosura
17,Jacob Apenes
20,Gavin Bullis
23,Samuel Warrick
24,Callum Morham
25,Ben Hecko
28,Tannar Sandaine
29,Miles Lafayette
34,Itan Hernandez-Salazar
47,Jacob Silver
50,Simon Kriech
57,William Foreman
80,Christian Mibach
b,r,e,a,k
Brandeis,3
1,Elan Azrieli
3,Benjamin Beizer
5,Micah Rothkopf
6,Alden Sanford
7,Griffin Stotland
9,Joshua Wan
10,Adam Dean
13,Matt Kolk
14,August Soderberg
18,Noam Gumerman
19,Ethan Sternberg
20,Jacob Smith
24,Benji Kemper
25,Cameron Park
27,Nicholas Simonentti
32,Andrew Marshall
44,Matt Sehgal
47,Adam Rogers
87,Connor Chin
b,r,e,a,k
Xavier,19
0,Benjamin Howard
0,Drew McBrier
0,Jeremy Blatt
0,John Gruter
0,John Reid
0,Jordan Brooks
0,JT Weaver
0,Kemper Ackermann
0,Ross Friar
0,Samuel Fox
0,William Blancato
0,Zachary Kimmett
2,Trevor Russell
4,Logan Murray
06,Andrew Batchelder
10,Reid Peterson
18,Tristan Shafer
22,Nolan DeHate
24,Jacob Dougherty
26,Chris Palermo
50,Matt Gardocki
89,Chris Alber
96,Joseph Baker
b,r,e,a,k
Shippensburg,17
0,Avery Young
0,Baily Supp
0,Christopher Drasher
0,Shane Flynn
8,Austin Moreno
01,Christopher Wurtz
02,Evan Hake
04,Logan Hall
05,Grant Maurer
10,Andrew DiTullio
11,John Looby
14,Noah Templin
16,Ryan Waguespack
18,Robert King
21,Ryan Kolimaga
23,Christopher Lehman
24,Brett Stewart
26,Ian Reid
29,Alex Shutter
32,Zack Hunsberger
88,Hunter Livingston
99,Luke Milhimes
