2020 Queen City Tune Up Youth Tournament,Youth Club U-20 - Boys ,7,3,2020
Pineville,NC,2020-03-07,2020-03-08
https://play.usaultimate.org/events/2020-Queen-City-Tune-Up-Youth-Tournament/schedule/Boys/youth-club-u-20-boys/
Grady High School,1
teamInfo,Gauntlet,"Atlanta, Georgia",http://www.gradyultimate.org,https://www.facebook.com/search/top/?q=grady%20ultimate,https://twitter.com/gradyultimate
coaches,Max Leonard,Sheryar Ali
0,Ariel Simons
0,Benjamin Ortega
0,Devon Haller
0,Forest Dynes
0,George Lefkowicz
0,Cole Parker
0,Jarrett Ely
0,Joe Crawford
0,Jordan Taylor
0,Joshua Brenner
0,Kai Mehra
0,Sam Toole
0,Sam Rose
0,Benton Shevlin
0,Wills Barton
5,Neil Barry
15,Cole Chanler
20,Scott Whitley
28,Bryson Bien
30,Jack Palaian
31,Owen Mork
32,Owen Fucile
33,Kavi Jakes
40,Aidan Meyer
98,Jasper Harrison
99,Daniel Goldman
b,r,e,a,k
Jordan High School,13
teamInfo,Jordan Falcons,"Durham, North Carolina",https://jordanhsultimate.shutterfly.com/,,https://twitter.com/JHSulti
coaches,Michael Avila
0,Benjamin Allen
0,Eric Kim
0,Evan McGinn
0,Henry Kennedy
0,Isaiah Turner
0,Jackson Warman
0,Kahleel Forte
0,Kalen Morrison
0,Matthew O'Connell
0,Raphael Cuenca
0,Roselyn Palmer
0,Sean Aylin
0,Thomas Bruhn
1,Tobias Brooks
5,Brennan Kramling
6,Donovan DeWitt
7,Justin Wieties
10,Isaac Palmer
11,Josh Soler
14,Luke Jackson
16,Jackson DeWitt
17,Dominic Stanley
20,Sebastian Boccieri
27,William Armacost
28,Shaun Deardorff
39,Alex Fiordalisi
97,Pablo Velosa
b,r,e,a,k
University School of Nashville,12
teamInfo,Brutal Grassburn,"Nashville, Tennessee",modules/common/www.usn.org,,
coaches,Mikeie Reiland
0,Luca Smith
0,Luke Kim
0,Nicholas Tesauro
0,Oliver Entrekin
0,Philip Feaster
0,Shai Rice
0,Simon Motley
0,Blake Perdikis
0,David Lewis
0,Lawson Berman
2,Ian Manz
4,Wesley Smail
9,David Luffman
11,Liam Savona
83,Kellen Hill
b,r,e,a,k
Hopkins High School Varsity Boys,8
teamInfo,Hopkins Hurt Varsity Boys,"Minnetonka, Minnesota",modules/common/www.hopkinsultimate.com,modules/common/n/a,https://twitter.com/hopkinsultimate
coaches,Matthew Greenstein
0,Adam Rothman
0,Andre Kristal
0,Ari Geller
0,Brooks Shragg
0,Eli Kotlarz
0,Elliott Rider
0,Jack Borkon
0,Maxwell Wolfe
0,Sam Fiterman
0,Sam Levitt
0,Sam Goldman
0,Yirga Reminick
0,Ryan Baker
11,Noah Levitt
11,Ollie Schachtman
18,Kobi Schear
20,Rafael Leviton
26,Charlie Nirenstein
44,Cole Segal
75,Ryan Kadet
b,r,e,a,k
Carolina Friends School,2
teamInfo,Fighting Quakers,"Durham, North Carolina",modules/common/cfsnc.org,https://www.facebook.com/pages/Carolina-Friends-Fighting-Quakers/515910541841213,https://twitter.com/CFSUlti
0,Aidan Piontak
0,Aidan Shimpi
0,Callum Ashley-Shanahan
0,evan simon
0,Graham Koeberl
0,Jake Eisner
0,Jason Bourne
0,Justin Brader-Araje
0,Lang Law
0,Lucas Greiner
0,Luke Seashore
0,Luke Law
0,Sam Brothers
0,Sawyer Cherry
4,Ben Fuguet
5,Matt Frey
7,Lance Lawida
33,Max Coble
36,Matti Lee
42,Ryan Bliss
44,Daniel Sorscher
49,William Hassell
64,Elias Eichner
95,Noah Bush
b,r,e,a,k
Madison,14
teamInfo,MadHouse,"Vienna, Virginia",,,
coaches,Alexis Planche
0,Anthony Roman
0,Ethan Kim
0,Jackson Walsh
0,Kaylan Moradi
0,Luke Kenney
0,Patrick Aguda
0,Steven Le
1,David Thornton
3,David Ha
6,Josh Elkowitz
7,Jacob Ham
10,Curtis Kim
15,Daniel Bredehorst
25,Nikita Romanov
27,Vinh Thai
55,Benji Feidler
68,Jacob Reimer
89,Adin Yager
b,r,e,a,k
Chapel Hill High School,7
teamInfo,Chapel Hill Ultimate Frisbee,"Chapel HIll, North Carolina",,modules/common/facebook.com/chapelhilltultimate,https://twitter.com/chhs_ultimate
coaches,Ti Harmony,Eric Taylor
0,Christopher LoFrese
0,Christopher Holly
0,Cole Ragsdale
0,Connor McManus
0,Daniel Zhang
0,Eli Fried
0,Frederick Huang
0,Jai Narayan
0,Jake Purves
0,Jerry He
0,Aarov Malhotra
0,Adam Hauf
0,August Keane
0,Kyle Hansen
0,Matthew Lu
0,Samuel Redinbo
0,Seth Fried
0,Shaan Narayan
0,Stephen Hodulik
12,Levi Tapper
13,Nicholas Granados
14,Bodhi Harmony
20,Jusung Park
42,Max Kuhlman
54,Nathan Ludington
87,Aaron Wei
b,r,e,a,k
Lakeside High School,11
teamInfo,Lakeside HS Vikings,"Atlanta, Georgia",,,https://twitter.com/LHS_Squad
coaches,Frederic Perivier
0,Carlo Vanni
0,Chip Seidenberg
0,Eduardo Silviano-Martinez
0,Judson Miller
0,Kevin Rodriguez
0,Matthew York
0,Nicolas Lutz
0,Noah Reiter
0,Theo Williamson IV
0,Weston Becker
0,William Thomas
1,Spencer Pennington
4,Joshua Horvieth
6,Cole Church
7,Benjamin Lutz
11,Nathaniel Vigil
