Presidents' Day Invite 2020,College - Men ,15,2,2020
https://play.usaultimate.org/events/Presidents-Day-Invite-2020/schedule/Men/CollegeMen/
Oregon,1
0,Max Arquilevich
0,Theodore Sither
0,Thorin Haussecker
3,Jet Bristol-Ramsay
3,David Barram
4,Daniel Ritthaler
8,Itay Chang
8,Jack Guidry
9,Colby Chuck
12,Cylas Schooley
15,Raven Miller-Berg
17,Matt Spadaro
19,Steven Pearlman
22,Lukas Ambrose
23,Xander Cuizon Tice
31,Robert Richardson
36,Gabriel Nobis
42,Will Lohre
43,Henry Jackman
50,Graham Whealan
57,Gunter Przystawik
59,Noah Coolman
77,Kit Asterin
88,Duncan Fitzgerald
b,r,e,a,k
California-Santa Cruz,16
0,Andrew Grosso
0,Eli Fay
0,Ethan Kleinman
0,Graham Freifeld
0,Johnny Chen
0,Kai Schniedergers
0,Karthik Pradeep
0,Liam Jay
0,Milo Kagiwada
0,Roland Christ
0,Ben Easton
0,David Woodfin
0,Tate Pieper
1,Joseph Chanin-Meiers
3,Aaron Kees
3,Xaul  Starr
6,Ryan Liu
9,Dylan Burns
14,Justin Tsuchiyama
14,Justin Cheng
16,Sean Hyslop
23,Annan Harray
24,Aaron Mercado
25,Jaxon Davrill
26,Zack Renick
71,Aidan Curry
b,r,e,a,k
California-San Diego,8
0,Christian Pham
0,Stefan Samu
2,Bryce Lozinski
3,Michael Huang
7,Quomel Imani
9,Bernard Suwirjo
10,David Knapp
13,Ethan Li
15,James Kasic
16,Armaan Ali
17,Brennen Mahon
19,Kiran Potula
21,Andrew Muro
37,Wesley Bowen
40,Adam Tran
41,Lucas Lin
42,Yin Lam Lai
43,Andrew Ma
50,Gaoweiang Dong
51,Victor Hernandez-Perez
53,Daniel Pryke
73,James McGuinness
76,Andrew Shen
78,Krishna Gomatam
80,Jacob Rodriguez
86,Alan  Chen
b,r,e,a,k
Southern California,9
0,Austin Quan Woon
1,Mitchell Maruyama
2,John Bush
3,Ricky Kirkpatrick
7,Washington Zhao
8,Dylan Baker
11,Jonathan Jalajas
11,Cy Toriello
14,Robert Mobley
15,Jake Shoyer
17,Dawson Flowers
18,Phillip Yang
22,Chris Doehring
25,Evan Ostrowski
27,Jack Damiani
29,Lorand Cheng
36,Christian Barrett
44,Daniel Rabinovich
47,Diego Frankel
69,James Garvey
72,Hari Sridhara
75,Benjamin Ma
76,Benedict Ng
b,r,e,a,k
Washington,2
1,Manuel Eckert
2,Sam Cook
3,Dante Lopez-Escarez
5,Jakob Steen
6,Robert Crist
7,Gabe Port
8,Nathaniel Wipfler
9,Spencer Lofink
10,Porter Jones
11,Kevin Tellez
12,Tony Venneri
13,Jasper Dean
15,Derek Mourad
16,Kenny Tong
17,Will Simms
18,Matthew Liu
20,Dhruv Chintalapati
21,Lucas Chen
22,Owen Boram
24,Jacob Cohen
27,Peter Johnson
29,Michael Buyco
30,Nels Schimek
34,Elias Baldwin
47,Dana Baker
52,Soren Dahl
73,Chackgarin Brown
77,Nicolas Leitmann-Niimi
b,r,e,a,k
Stanford,10
0,Angel Ortiz
0,Baker Sharp
0,Cameron Kilpatrick
0,Charlie Shors
0,Cody Cook
0,Colin Grant
0,Isandro Malik
0,Jefferson Pruett
0,Jonathan Victorino
0,Juan Carlos Meave Ojeda
0,Langston Nashold
0,Matan Abrams
0,Prithvi Krishnarao
0,Sean Sewell
0,Simon Covington
10,Phillip Cathers
11,Nicolas Rodriguez
16,Sergio Licon
17,James Reed
22,David Mondry
24,Kevin Tien
25,Ri Chen
32,Ryan Ressmeyer
33,Nicholas Hirning
34,Toby Frager
38,John Kulikowski
99,Sam Masling
b,r,e,a,k
Utah,7
0,Zev Gorfinkle
01,Nathan Huff
02,Jace Duennebeil
03,Wiro Wink
04,Kevin Castell
06,Tony Robinson
08,Cole Stenseth
09,Calvin  Jiricko
10,Dylan Keyte
11,Trey Taylor
12,Nicholas Peters
13,Branden Frieden
16,Samuel Hoffman
17,Austin Hasbrook
21,Nat Evans
22,John Mismash
25,Joey Ginsburg 
27,Simon Greenhalgh
32,Dylan Cox
35,Cameron Hartman
36,Will Ginsburg
37,Jarom Brandow
41,Harrison Sucher
50,Patrick  Beckett 
51,Alexander Knock
77,Connor Hess
b,r,e,a,k
San Diego State,15
02,Alejandro Reyes
03,Dominic Garzone
04,Zachary Register
05,Aaron Margolis
08,Quin Buss
09,Kyle Pereira
10,Tazio Rosenberg
12,Michael Grisanti
13,Garrett Medina
17,Brian Hayden-Brewer
18,Joshua Schroeder
19,Daniel  Kenney
21,Theodore Davies
24,Robert Brodskiy
27,Cole Schuster
32,Marew Yousif
39,Noble Schlueter
50,Matthew Jensen
68,Rodman Stuhlmuller
88,Elijah Nobis
99,Luke Hume
b,r,e,a,k
Cal Poly-SLO,3
0,Peter Lenz
2,Chris Kaspar
5,Matt Miller
10,Jeremy Dolezal-Ng
12,Ed Ryon
13,Theodore Watkins
15,Allen Zhai
17,Sander Fogarty
19,Conor Schofield
22,Dodger Middlebrook
23,Jake Thorne
24,Nate Johnson
27,Kenrick Koo
28,Morgan Sommer
30,Seamus Robinson
35,Justin Ting
35,Jack Combs
36,Zach Riley
42,Keaton Bates
52,Andrew Stratford
70,Emmet Holton
80,Tate Hoyer
81,Calvin Brown
b,r,e,a,k
Oklahoma State,11
0,Callahan Morris
0,Cheng Hao Tan
0,Blake Duncan
0,Connor Olson
0,Jonathan Costello
0,Joshua Paul
0,Tyler Williams
0,William Johns
0,Zachary Slayton
1,Josh Cunningham
6,Steven Gaiko
7,John Gasper
12,Chris Greene
23,Ryan Whisenhunt
51,John Athens
55,Matthew Crone
63,Collin Wycoff
69,Caleb Dixon
98,Simon Vickers
99,Alexander McNiel
b,r,e,a,k
Illinois,6
0,Gregory Schwarz
01,Drake Hill
02,Tyler Smiles
03,Christopher Nguyen
04,Asa Bowen
07,Alex Liu
11,Joey Kennedy
13,Reid Martin
14,Aidan Levin
15,Arthur Albarran
18,Nelson Perumpel
20,Patrick Driscoll
22,Lucas Gough
24,Arj Tripathy
27,Jack Joshi
28,Andy Kennedy
40,Rishav Rout
42,Manasven Grover
70,Kevin Zhou
72,Derek Peterson
74,Anthony Ruzzo
82,Brandon Carrel
b,r,e,a,k
California-Davis,14
0,Austin Joseph
0,Benjamin Elliott
0,Brooks Olesek
0,Devin Hom
0,Eric Johnson
0,Everett Quock
0,Jacob Deppmeier
0,Keenan McKelvey
0,Luke Adel
0,Anders Eckburg
0,Sam Vaillancourt
0,Siming Wu
0,Tycho Yacub
1,Thomas Petroff
4,Abrahan Cortes
5,Patricio Cruz y Celis Peniche
13,Sean Hoffman
19,Adam Vera
35,Andrew Meehan
b,r,e,a,k
Colorado,4
0,Alex Atkins
3,Atkin Arnstein
01,Aylen Learned
05,Calvin Stoughton
06,Christopher Larson
08,Daniel Landesman
10,Saeed Semrin
15,Brendan Sheets
17,Nathan Buchholz
17,Seth Wells
20,Jace Pivonka
21,Jason Otsuki
22,Thomas Brewster
24,Mathieu Agee
25,Conor Tabor
26,Daniel Brunker
33,Benjamin Harris
34,Sam Radack
39,Jack Ziemer
42,Jacob Reed
44,Cole Besser
65,Joel Ives
76,Noah Shechtman
77,Miles Bush
83,Walt Johnson
88,Quinn Finer
99,Aston Horton
b,r,e,a,k
UCLA,5
0,Andrew Chen
0,Alex Broering
0,David Dumas
0,Elias Baker Allen
0,Elliot Shin
0,Evan Patel
0,Ian Geertsen
0,Jack Brewer
0,John Campbell
0,Joseph Thian
0,Luca Spycher
0,Nelson Campbell
0,Paul Pfeiffer
0,Reno Wilson
0,Riley Kirkman-Davis
0,Sutton Payne
4,Michael Peng
7,Jakob Kinoy
13,Austin Hwang
14,Derek Vance
15,Bryan  Cloutier
15,Calvin Bird
28,Drew Letvin
44,Bryson Levisay
50,Ram Goli
55,Lorenzo Duvergne
b,r,e,a,k
California-Santa Barbara,13
0,Aaron Parker 
0,Jonathan Vo
2,Stefan Crigler
3,Isaac Hsu
8,Ryan Ridenour
9,Erik Bedrosian
10,Lorenzo Yabut
11,Calvin Dougher
13,Ralph Martini
15,Brice Redmond
17,Robert Odum
19,Liam Ereneta
21,Jason Zeidman
22,Duncan Brin
22,Manu Kondapaneni
23,Patrick Godfrey
23,Grayson Arensdorf
27,Ryan Barry
32,Ryan Oswalt
37,Kyle Johnson
43,Xavier Prochaska
77,Charlie Rous
b,r,e,a,k
Oregon State,12
0,Ike Gilliland
0,Thibault Gourlin
2,Tyler MacMaster
3,Drew Peterschmidt
4,Kaenan Combs
5,Kellen Murran
6,Andrew Lewis
7,James Hynes-Petty
9,Xavier Ferris
10,Sean Duncan
11,Christopher Allen
12,Dan Baumgartner
13,Ian Shibley-Styer
15,Cole Eustis
16,Alexander Wilson 
17,Tobias Bird
18,Conner Stillwell
18,Finn Lawless
20,Drew Gehrke
21,Matthew Young
