Santa Barbara Invite 2020,College - Women ,25,1,2020
Santa Barbara,CA,2020-01-24,2020-01-26
https://play.usaultimate.org/events/Santa-Barbara-Invite-2020/schedule/Women/CollegeWomen/
California-San Diego,1
00,Catherine Lindeman
00,Rachelle  Buske
02,Alexandra Diaz
04,Sara Zhang
05,Jessica Freeman
10,Madison Tenney
14,Jessica Nguyen
16,Lauren Stuart
17,Anna Adams
18,Sofia Lake
20,Maggie Pierce
21,Emily Kunselman
25,Samantha Wool
31,Ava Hanna
35,Shaina Jewett-Wolf
41,Kristine Mendoza
45,Lydia Smith
49,Denika Hallin
66,Pin-Hsuan Chen
69,Catherine Trevino
73,Szuyu Huang
77,Charlotte Sue
92,Lauren Hanna
b,r,e,a,k
Washington,8
0,Abby Hecko
0,Amber Lee
0,Anya Meleshuk
0,Bridget Wipfler
0,Cicely Warnick
0,Emma Pua’a
0,Ikran Elmi
0,Mercedes Minahan
0,Molly Wieringa
0,Peixian Rong
0,Penny Nguyen
0,Sienna Patton
0,Stephanie Phillips
0,Yeh-Sun Lee
1,Inaayat Gill
1,Amy Ly
4,Peyton Pedrozo
6,Robyn Gamboa
02,Alexa Yadama
10,Nicole Chan
11,Amy Nguyen
23,Qiqi Cai
25,Yenni Lee
27,Madeline Kramer
44,Grace Young
51,Kate Crawford
b,r,e,a,k
California,9
0,Abby Klausner
1,Sophia O’Shea
02,Maia Griffith
05,Valerie Hsieh
07,jenifer camarena
10,Bianca Champenois
15,Jenna Wong
18,Anita Mokkapati
19,Sarah Baxendale
20,Claire Toth
27,Cassidy Gilmore
28,Cidney Weng
33,Jenna Krugler
34,Maya Roma
37,Hannah Newcombe
39,Mack Chao
43,Keilani Adachi
63,Iris Chow
77,Ellen Persson
81,Elizabeth Liston
97,Zoe Luke
98,Janelle Lee
b,r,e,a,k
Victoria,16
0,Annarose Kelly
0,Cassandra Lacusta
0,Emily Kay-Leighton
0,Erica Routledge
0,Isabelle Cliche
0,Lucy Bridal
0,Mackenzie Dawson
0,Marina Bridal
0,"Marion, Sze Suan  Choong"
0,Rachel Griffin
0,Rachel  Woo
0,Sophia Jefferson
0,Victoria Gorzitza
0,Xiaomao Wang
1,Monica Devonshire
2,Laura Devonshire
3,Alicia Brolly
4,Kathryn Fortune
8,Lorissa Corrie
11,Taff Oliver
16,Emma Millichamp
17,Sarah Grundy
18,Hanna Atmanspacher-Wirth
21,Zoa George
28,Hannah Ack
36,Juli Ohsada
38,Candace Darling
55,Taryn Webster
87,Kathy Hong
b,r,e,a,k
Wisconsin,3
0,Amy Sullivan
0,Britney Lane
0,Cate Brandt-Fontaine
0,Hannah Rapp
0,Rikke Louise Kjær Knudsen
1,Jackie Welsch
4,Vanessa Villasenor
5,Mia Wieben
6,Rachel Knutson
7,Katie Fan
8,Madeline Sullivan
10,Rachel Wilson
10,Caitlin Murphy
11,Tessa Berry
12,Kaitlynne Roling
14,Courtney Trescher
15,Katharine Lewer
16,Margaret Walker
17,Maya Banks
19,Emily Cohen
21,Sarah Rubin
24,Kamden Stark
25,Karen Hill
46,Dominique  Maderal
59,Logan Gade
b,r,e,a,k
California-Davis,14
02,Cara Burks
03,Dana  Lawrence
04,Sarah Thornton
05,Ellen Yuska
07,Jenna Rickey
08,Emily Goodwin
09,Rani Shah
11,Kelsie Bryant
13,Maura Ziller
15,Julianna Madigan
17,April Lu
18,Camila Sanudo Thomas
19,Jamie Arrillaga
20,Ashley Church
23,Margo Donahue
26,Chloe Diamond
27,Mikayla Matriano
28,Alexandria Bates
32,Sophia Acker
63,Allyn Suzuki
77,Bryn Levitan
94,YaTing Wu
b,r,e,a,k
Utah,11
0,Anna Cassell
0,Lucia Arambula
2,Chanel van Ginkel
8,Maddi Hundley
07,Cameron Stukel
12,Logan Radke
14,Laura Brannan
15,Lauren Burgess
17,Hannah Slind
18,Sage Migon
19,Hannah Bruns
20,Chloe Quinn
21,Aashna Shah
22,Ruby Rodriguez
23,Iszabella Kemp
24,Winter Warchol
27,Allison  Qualls
28,Jess Olsen
33,Camille van Ginkel
37,Clara Dehlin
41,Kyra Khoroujnikova
73,Kara Galloway
b,r,e,a,k
Cal Poly-SLO,6
00,Allison Seifert
00,Amber O’Rourke
00,Annie Joss
00,Katie Johansen
00,Kelly Dickinson
00,Laura McGann
00,Lily Wahleithner
00,Sherita Li
00,Thalia Ward
00,Vanessa Beeler
03,Abigail Brisbin
13,Karoline Wucherer
17,Margaret  Kumler
25,Elizabeth Rayco
27,Melanie Hardell
29,Ruby Sibul
31,Summer Merrill
b,r,e,a,k
Northeastern,4
0,Jane Healy
02,Brianna  Considine
03,Katharine Gilbert
05,Britney DeRoehn
07,Lamia Farah
09,Duschia Bodet
11,Arielle Nelson
12,Katherine Murray
13,Ellen  Harsha 
17,Anna Cullen
19,Isabel Tripp
25,Sophie Shen
28,Catherine Romanova
30,Nancy  Jin 
41,Briana Ross
43,Ashley Wong
46,Sofia Horan
63,Lucy Jin
73,Clara Stewart
81,Jasmine Der
b,r,e,a,k
UCLA,5
00,Olivia Alicea
02,Diana Zhang
03,Stephanie Yen
04,Katherine Jordak
06,Francesca Clarke
06,Malia Smith
07,Maddy Fisher
09,Morgan Baxter
10,Athena Lynch
11,Natalie Gammad
12,Sonia Lele
17,Hannah Daijo
18,Briana Yik
19,Erin Doyle
20,Moorea Henn
21,Arabella Pearson
24,Sydney Monte-Sano
25,Cameron Jewett
26,RT Kan
27,Darby Gaffney
49,Anna Reed
66,Kendall Reichbach
78,Charlotte Terrasson
94,Tanya Bearson
b,r,e,a,k
Stanford,12
0,Carly Rasmussen
0,Christine Chen
0,Hannah Huddleston
0,Jennifer Tashjian
0,Jessie Moore
