Midwest Throwdown 2020,College - Men ,7,3,2020
Columbia,MO,2020-03-07,2020-03-08
https://play.usaultimate.org/events/Midwest-Throwdown-2020/schedule/Men/CollegeMen/
Iowa State,1
00,Michael Stevens
02,Daniel Neese
03,Collin Lamb
08,Joseph Kosterman
09,Josh Poterack 
11,Sam Kerner
13,Evan Ford
14,Will Hager
15,Sam Stark
16,Christopher Anderson
17,Jacob Raatz
19,Austin Lee
25,Chase Lemley
27,Wonsuk Jung
30,Becker Mathie
32,Matt Johnson
33,Peter Miller
37,Jacob Thomae
39,Nate Cinnamon
71,Dayton Wright
72,Thomas Glass
73,Jordan Wright
88,Benton Habel
99,Jacob Badger
b,r,e,a,k
Missouri,16
0,Hunter Pendleton
0,James Karl
0,Jason Brown
0,Jordan Kruessel
0,Justin Davenport
0,Kevin Bowers
0,Kyle Baker
0,Alex Webber
0,Caleb Biggs
0,Erik Ebert
0,Greg  Ryterski
2,Greg Maier
2,Owen Krucoff
10,Nickolas Pappas
16,Peter Helgeson
33,Raymond Waidmann
37,Nathan Sneller
69,Mario Tran
85,Hunter Latson
b,r,e,a,k
Grinnell,32
0,Chris Dickinson
00,Eamon Worden
00,Gabe Ferguson
00,Harold MacArthur
00,Jeremy Trachtenberg
00,Jo Saito
00,Jonny Bachman
00,Keiichiro Watanabe
00,Ishai Melamede
00,Jacob  Cowan
00,Max Pochan
00,Anshul Tambay
01,Keir Hichens
02,Finn Dworkin
10,Simon Dungan-Seaver
13,Jacob Molho
23,Zoe Mahler
34,Henry Firestone
55,Liam Niehus-Staab
70,Max Bachvaroff
b,r,e,a,k
Knox,17
0,Omar Qureshi
01,Joseph Reyes
03,Charles Mennerick
05,Joel Willison
06,August Lindberg
10,Aditya Siddharth
11,Dan Briggs
13,Garrett Trimble
14,Tuan Dang
15,Ben  Ertle
18,Dmitri Chambers
20,Kevin Cox
21,Rudy Koppikar
22,Katsuhiko Kishi
22,Isaac Hughes
24,Alexander Hegg
25,David Zavala
27,An Trieu
28,Justin  Vega
30,Fernando Medrano
37,An Ly Nguyen
56,Michael Fisher
63,Alan Gallo
77,Mark Greaves
83,Juan  Ramirez
89,Connor Weeks
99,Zane Stein
b,r,e,a,k
Carleton College-GoP,2
0,Ben Mellin
0,Brendan Laliberte
0,Bryan Kim
0,Charlie Bushman
0,Colby King
0,Dawson d'Almeida
0,Felix Lion
0,Gavin Young
0,Ian McCarthy
0,Ian Klein
