Presidents' Day Invite 2020,College - Women ,15,2,2020
La Jolla,CA,2020-02-15,2020-02-17
https://play.usaultimate.org/events/Presidents-Day-Invite-2020/schedule/Women/CollegeWomen/
California-San Diego,1
teamInfo,UCSD D-Co Womxn's Ultimate,"San Diego , California",http://www.psychoultimate.com/,https://www.facebook.com/pg/dragoncoultimate/about/?ref=page_internal,@d_co_ultimate
coaches,Kelli Iwamoto
0,Catherine Lindeman
0,Rachelle  Buske
4,Sara Zhang
5,Jessica Freeman
02,Alexandra Diaz
10,Madison Tenney
14,Jessica Nguyen
16,Lauren Stuart
17,Anna Adams
18,Sofia Lake
20,Maggie Pierce
21,Emily Kunselman
25,Samantha Wool
31,Ava Hanna
35,Shaina Jewett-Wolf
41,Kristine Mendoza
45,Lydia Smith
49,Denika Hallin
66,Pin-Hsuan Chen
69,Catherine Trevino
73,Szuyu Huang
77,Charlotte Sue
92,Lauren Hanna
b,r,e,a,k
California,9
teamInfo,Pie Queens,"Berkeley, California",http://www.piequeens.org,https://www.facebook.com/piequeensultimate,https://www.twitter.com/piequeens
coaches,Danielle Ngo,Andrew Berry
0,Abby Klausner
1,Sophia O’Shea
2,Maia Griffith
5,Valerie Hsieh
7,jenifer camarena
10,Bianca Champenois
15,Jenna Wong
18,Anita Mokkapati
19,Sarah Baxendale
20,Claire Toth
27,Cassidy Gilmore
28,Cidney Weng
33,Jenna Krugler
34,Maya Roma
37,Hannah Newcombe
39,Mack Chao
43,Keilani Adachi
63,Iris Chow
77,Ellen Persson
81,Elizabeth Liston
97,Zoe Luke
98,Janelle Lee
b,r,e,a,k
Stanford,8
teamInfo,Superfly),"Stanford, California",http://ultimate.stanford.edu,https://facebook.com/superflyulti,https://twitter.com/SuperflyUlti
coaches,Robin Davis
0,Carly Rasmussen
0,Christine Chen
0,Hannah Huddleston
0,Jennifer Tashjian
0,Jessie Moore
0,Lauren Kong
0,Lily Laugharn
0,Madison Ueland
1,Sidney Stevens
8,Hanna Yip
10,Sesha McMinn
11,Bridget Connor
14,Sarah Kratzer
15,Sarah Bloom
17,Daphne Guo
33,Margaret Coad
50,Maika Isogawa
55,Elena Kamas
84,Hallie Dunham
99,Xinzhi Zou
b,r,e,a,k
Southern California,16
teamInfo,Hellions of Troy,"Los Angeles, California",http://www.uscwomensultimate.com/,,https://twitter.com/USCHellions
0,Catherine Caporicci
2,Anjali Gopinathan
3,Jessica Li
6,Keren Givol
7,Georgia Cardosa
11,Ivy Tsang
15,Toko Weaver
16,Amanda Zhang
17,Juliana Tichota
18,Julie Xue
19,Katherine Montanez
22,Emily Lieberman
23,Clara Zaragoza
24,Jackie Hall
25,Nikki Jafarzadeh
26,Helen Burch
28,Sydney Mayer
40,Karen He
73,Caitlin Buckley
75,Sunshine Liu
77,Alexis Tran
99,Mia Tess
b,r,e,a,k
UCLA,7
teamInfo,BLU,"Los Angeles, California",http://uclaclubsports.com/index.aspx?path=wuf,https://www.facebook.com/UCLABLU,https://www.twitter.com/blultimate
coaches,Alexander Korb,Jackson Dolan,Cheryl Prideaux
2,Diana Zhang
3,Stephanie Yen
4,Katherine Jordak
5,Francesca Clarke
6,Malia Smith
7,Maddy Fisher
9,Morgan Baxter
10,Athena Lynch
11,Natalie Gammad
12,Sonia Lele
17,Hannah Daijo
18,Briana Yik
19,Erin Doyle
20,Moorea Henn
21,Arabella Pearson
24,Sydney Monte-Sano
25,Cameron Jewett
26,RT Kan
27,Darby Gaffney
49,Anna Reed
66,Kendall Reichbach
78,Charlotte Terrasson
94,Tanya Bearson
99,Olivia Alicea
b,r,e,a,k
Western Washington,2
teamInfo,Chaos,"Bellingham, Washington",,https://www.facebook.com/pages/WWU-Chaos-Ultimate/374278315920245,https://twitter.com/WWUchaos
coaches,Alyssa Weatherford
1,Hue Tien
3,Teira Tyau
4,Madison Brodahl
5,Delaney Adams
7,Eleanor Joselyn
8,Tova Breen
9,Talia Frost-Belansky
10,Ruby Cassidy
11,Sonya Morris
12,Olivia Palmer
13,Julia Downing
14,Elizabeth Chiou
16,Samiya Ismail
18,Vail Dark
20,Genisis Kommavongsa
21,Eleanor Heberlein
23,Paige Jeantette-Coca
24,Kayla Pianh
26,Mari Scott
30,Lindsey Wielick
b,r,e,a,k
Cal Poly-SLO,10
teamInfo,SLO Motion,"San Luis Obispo, California",http://cpslomotion.org/,https://www.facebook.com/cpslomotion,
0,Amber O’Rourke
0,Lily Wahleithner
0,Sherita Li
3,Abigail Brisbin
4,Thalia Ward
6,Katie Johansen
9,Laura McGann
10,Allison Seifert
12,Kelly Dickinson
13,Karoline Wucherer
17,Margaret  Kumler
25,Elizabeth Rayco
27,Melanie Hardell
29,Ruby Sibul
31,Summer Merrill
33,Kimmy  Wilson
76,Annie Joss
b,r,e,a,k
Massachusetts,15
teamInfo,Lady Zoo ,"Amherst, Massachusetts",,https://www.facebook.com/pages/Lady-Zoo-Ultimate-Frisbee/124773454891,https://twitter.com/ladyzooultimate
0,Adrena Seferian
0,Annika  Liston 
0,Cate Pasquarello
0,Elise Gaudette
0,Kate Terrell
0,Katie Daniel
0,Keara Flynn
0,Kerran Holmes
0,Kitzia Diaz
