Florida Warm Up 2020 - Weekend 1,College - Men ,14,2,2020
Tampa,FL,2020-02-14,2020-02-16
https://play.usaultimate.org/events/Florida-Warm-Up-2020---Weekend-1/schedule/Men/CollegeMen/
Brigham Young,2
teamInfo,CHI,"Provo, Utah",http://www.byuchiultimate.com/,https://www.facebook.com/ByuMensUltimate,@BYUCHIUltimate
01,Taylor Barton
02,Luke Yorgason
04,Devon Terry
05,Austin Rich
06,Clinton James
07,Brody Dobson
08,Sean Connole
10,Braden Eberhard
11,Daniel Pettingill
12,Justin McKeen
13,Joseph Cash
14,Jackson Gardner
16,Shawn Wilkey
18,Logan Clarke
21,Eric Jamison
33,Joseph Merrill
42,Jacob Zundel
43,Jacob Miller
66,Jordan Kerr
73,Jonathan Merrill
b,r,e,a,k
Tufts,23
teamInfo,Elephant Men,"Medford, Massachusetts",http://www.tuftsmensultimate.org/,,https://twitter.com/tufts_emen
0,Bryce Walsh
0,Caleb Seamon
0,Charles Caron
0,Conrad Walsh
0,Henry Caron
0,Jac Carreiro
0,Jerry  Wang
0,Matthew Shapiro
0,Oliver Feder
0,Qijin Chau
0,Ryan Megathlin
0,Aaron Epstein
0,Samuel Saron
0,Toshihiro Nagase
1,Samson Bienstock
6,Zach Singer
10,Nikhil Bhatia-Lin
11,Anthony Goss
21,Ethan Schreiber
52,Benjamin Kass-Mullet
97,Daniel Bronshvayg
b,r,e,a,k
Carleton College-CUT,4
teamInfo,CUT,"Northfield, Minnesota",http://orgs.carleton.edu/cut/,https://www.facebook.com/CUTrules,https://twitter.com/cutrules
coaches,Philip Bowen,Solomon Yanuck
1,Robert Breyer
2,Michael Walsh
3,Tony Ngo
5,Noah Hanson
6,Edwin Driver
7,Tim Jensen
9,Anders Shenholm
10,Elias Levey-Swain
11,Harrison Wolff Landau
12,Sam McCarty
13,Benjamin Preiss
14,Dillon Lanier
15,Luke Webb
19,Stanley Birdsong
21,Ethan Bloodworth
22,Austin Baxter
23,Alexander Kucich
24,Noah Cohen
25,Justin Washington
29,Jace Dean
32,Andrew Roy
47,Sawyer  Blair
54,Michael Dreger
67,Elijah Babcock
71,Horace  Fusco
81,Eric Wright
84,Liam Holloway-Bidwell
90,Jared Kannel
93,Joe White
b,r,e,a,k
Michigan,14
teamInfo,MagnUM,"Ann Arbor, Michigan",http://www.magnumultimate.com/,https://www.facebook.com/magnUMultimatefrisbee/,https://twitter.com/magnUMultimate
01,Zachary Loyd
02,Max Vogel
03,Elijah Scherz
05,Owen O'Neil
06,Ashwin Pothukuchi
07,Jake Kovalic
08,Jared Schwallie
09,Brian Tretter
10,Ryan Flattery
12,Leonard Miller
13,Eli Weaver
14,Alvin Wang
15,Cheng-Yu Ho
16,Raymond Lu
18,Jeffrey Gao
20,Adam Stautberg
21,Orion Siu
23,Theo Shapinsky
25,Nicholas Colucci
26,Noah Gross
33,James Hill
38,Yipeng Wang
51,Robert Burridge
84,Cian Johnson
87,Pavel Mazza
96,Reuben Glasser
b,r,e,a,k
Texas,20
teamInfo,TUFF,"Austin, Texas",https://texasultimatefrisbee.weebly.com/,https://www.facebook.com/TexasUltimate,https://twitter.com/texas__tuff/
coaches,Casey Hogg
0,Oliver Powers
1,Kolbe Bauer
2,Hayden Rich
3,Saaketh Palchuru
4,Joshua Curtis
5,Charles Smith
7,Christopher Layden
8,Elan McMinn
06,Jacob Sames
09,Gage Edblom
10,Kevin Roux
11,Brian Street
12,Noah Chambers
13,Alexander Hirsch
15,Dylan Deshler
16,Brock Davis
17,Vinay Valsaraj
19,Shane Heath
21,Nicholas Watson
23,Will Goodwin
24,Nathan Marsales
25,John Clyde
26,Sebastien Lauzy
27,Gregory Lowry
27,Bryan Barrientos
32,Zain Asher
35,Matt Chambers
36,Aly Hirani
42,John Hardin
50,Matthew Armour
62,Nicholas Venn
88,Eric Sun
b,r,e,a,k
Brown,3
teamInfo,Brownian Motion,"Providence, Rhode Island",http://www.brown.edu/Athletics/Mens_Ultimate/,https://www.facebook.com/brownultimatefrisbee,https://twitter.com/BMoUltimate
0,Cal Nightingale
0,Peder Schaefer
0,William Steinfeld
2,Ken Noh
4,Jackson de Campos
6,Dylan Villeneuve
7,Griffin Kao
10,Bryan Xian
13,Alex Liu
15,Azeez Adeyemi
18,Nicholas Plotkin
19,Solomon Rueschemeyer-Bailey
22,Martin Trouilloud
22,Asher Lehrer-Small
24,Jacques Nissen
25,Benjamin Toruño
27,Elliott Rosenberg
34,John Randolph
36,Henry Laseter
42,Leo Gordon
68,Talon Johnson
88,Noah Ball-Burack
b,r,e,a,k
Northeastern,16
teamInfo,Huskies,"Boston, Massachusetts",http://www.ultimate.neu.edu/men,https://www.facebook.com/NUMensUltimate,https://twitter.com/NUMensUltimate
01,Noah Kurland
02,Jacob Kaplan
03,Ethan Pusch
04,Sean Wallace
06,Andrew Pollis
11,Jeremy McDavid
13,Jorden Van Emmerik
14,Ben Field
16,Colton Sy
17,Peter Treyz
20,Zach Wolfe
23,Thomas Griffin
27,Simon Carapella
29,Brendan King
30,Mark Kharakh
34,Allen Shen
40,Alex Storrer
44,Michael Busa
45,Matthew Cook
48,Andrew Kim
59,John Vaughn
62,Winston Ge
64,Benjamin Centracchio
70,Owen Cordes
b,r,e,a,k
Texas-Dallas,22
teamInfo,Woof,"Richardson, Texas",,https://www.facebook.com/UTDWOOF/,https://twitter.com/utd_ultimate
0,Benny Rubanov
0,Brian Honea
0,Alexander Ho
0,Jason Dick
0,Jason Hustad
0,Logan Harless
0,Nathan Armour
0,Ryan Poe
0,Tyler Hustad
0,Victor Mao
2,Emmanuel Bilolo
4,Julius Hubby
5,Nand Patel
5,Christian Cortes
12,Eric Chen
13,Christopher Fogel
14,Tristan Ho
22,Colton Green
25,Alvaro Guzman
29,Steven Gomez
55,Eric Kleckner
69,Daniel Urrutia
97,Wesley Miaw
98,Luiz Astorga
b,r,e,a,k
Georgia Tech,10
teamInfo,Tribe,"Atlanta, Georgia",https://gttribe.wordpress.com/,,https://twitter.com/gttribe
coaches,Cate Woodhurst
1,William Lindquist
3,Reid Barry
4,Zephren Collinson
5,Tyler French
6,Raymond Jia
7,Micah Jo
8,Victor Pria
9,Amatheon Bohan
10,Arthur Shim
11,Shez Malik
12,Miguel de los Reyes
13,Matthew Fisher
14,Charlie Orth
15,Mark Farid
16,John Chen
17,William Syre
19,Sam Orth
21,Niven Sie
23,David Adams
24,Conor Brownell
32,Christopher Zuo
40,Alden Rosakranse
55,Stephen Mock
69,Carl Peterson
72,Matthew Dacey-Koo
76,Jeffrey Minowa
96,Logan Bonds
b,r,e,a,k
Massachusetts,13
teamInfo,Zoodisc,"Amherst, Massachusetts",,https://www.facebook.com/UMassUltimate/,https://twitter.com/UMassUltimateM
coaches,Russell Wallack
0,Berett Babrich
0,Jaden Busch
0,Jasper Price-Slade
0,Lyle Berkley
0,Noel Sierra
0,Will Christian
1,Andrew Zhu
2,Reuben Philip
3,Philson Naquines
5,Jacob Radack
6,August Williams
9,Dillon Monti
10,Elijah Mishkind
12,Gabriel Franklin
14,Gregory Oreste
15,Tannor Johnson
18,Sam Green
19,Spencer Pitkin
31,Eddie Scott
33,Jared Scheinberg
42,Liam Gallinagh
47,Ethan Smith
72,Joseph Sadok
77,Yucheng Mo
89,Eugene L'Heureux
96,Alexander Donadio
b,r,e,a,k
Pittsburgh,18
teamInfo,En Sabah Nur,"Pittsburgh, Pennsylvania",http://pittultimate.org,https://www.facebook.com/PittUltimate,https://twitter.com/Pittultimate
coaches,Christie Lawry,Ari Weitzman
0,Aiden Landis
0,Daniel Tometich
0,Leo Warren
0,Maxwell Olesen
0,Michael Ing
0,Michael Sodini
0,Myles Cooper
0,Scott Heyman
0,Will Helenski
7,Christopher Ng
10,Alex Spenceley
12,Kevin Tsui
18,Simon Prushan
19,Mathieu Petit
21,Dillon Garrett
23,Alexander Yang
24,Will Hoffenkamp
27,Nicholas Lagerman
33,Max Thompson
35,Dan Goldstein
37,Noah Weintraub
41,Harry McNamara
46,Tristan Yarter
47,Marcel Oliart
49,Dan Nichols
96,Ryan Moore
b,r,e,a,k
Northwestern,17
teamInfo,NUT,"Evanston, Illinois",https://www.nutultimate.com,https://www.facebook.com/NUTUltimate,https://twitter.com/NUTUltimate
coaches,Max Moore
0,Andrew Kindseth
0,Jack Wheeler
0,Nick Manting
0,Sam Jonas
0,Wyatt DeYoung
1,Benjamin Girard
5,Raul Rosenfeld
7,Keith Bohrer
10,Kevin Zhang
15,Kenneth Allen
16,Nathan Graber-Lipperman
17,Wilson Sprague
17,Andrew Patel
20,Jordan Parry
23,Eric Hochberger
24,Zaddeen Benaissa
32,Kenneth Xuan
