Santa Barbara Invite 2020,College - Men ,24,1,2020
Santa Barbara,CA,2020-01-24,2020-01-26
https://play.usaultimate.org/events/Santa-Barbara-Invite-2020/schedule/Men/CollegeMen/
Cal Poly-SLO,1
teamInfo,SLOCORE,"San Luis Obispo, California",http://slocore.com,https://www.facebook.com/slocoreultimate/,https://twitter.com/CORE_ultimate
0,Peter Lenz
2,Chris Kaspar
5,Matt Miller
10,Jeremy Dolezal-Ng
12,Ed Ryon
13,Theodore Watkins
15,Allen Zhai
17,Sander Fogarty
19,Conor Schofield
22,Dodger Middlebrook
23,Jake Thorne
24,Nate Johnson
27,Kenrick Koo
28,Morgan Sommer
30,Seamus Robinson
35,Justin Ting
35,Jack Combs
36,Zach Riley
42,Keaton Bates
52,Andrew Stratford
70,Emmet Holton
80,Tate Hoyer
81,Calvin Brown
b,r,e,a,k
Dartmouth,8
teamInfo,Pain Train,"Hanover, New Hampshire",http://www.dartmouth.edu/~ultimate/home.html,,https://twitter.com/DMouthPainTrain
coaches,Colby Clarkson
0,Aaron Rosenthal
0,Daniel Shen
0,Erich Woo
0,Ian Gill
0,Jesse VanNewkirk
0,Maxim Freedland
1,Alec Miller
3,Graham Sisson
7,Quinn Hottendorf
8,Connor Coale
9,Stephen Crowe
13,Oliver Chartock
17,Thanh Nguyen Jr
18,Brady McCallister
19,Rohan Bose
22,Garrett Rawlings
23,Henry Wildermuth
24,Benjamin Ashley
44,Theodore Trefonides
88,Connor Haines
b,r,e,a,k
Southern California,9
teamInfo,USC Lockdown,"Los Angeles, California",https://www.uscmensultimate.org/,https://www.facebook.com/uscmensultimate/,https://www.twitter.com/uscmensultimate/
01,Mitchell Maruyama
02,John Bush
03,Ricky Kirkpatrick
07,Washington Zhao
08,Dylan Baker
11,Cy Toriello
11,Jonathan Jalajas
14,Robert Mobley
15,Jake Shoyer
17,Dawson Flowers
18,Phillip Yang
22,Chris Doehring
25,Evan Ostrowski
29,Lorand Cheng
36,Christian Barrett
44,Daniel Rabinovich
47,Diego Frankel
69,James Garvey
72,Hari Sridhara
75,Benjamin Ma
b,r,e,a,k
Tulane,17
