Lehigh Valley Invite,Club - Men ,2,8,2025
Allentown,PA,2025-08-02,2025-08-03
https://play.usaultimate.org/events/Lehigh-Valley-Invite/schedule/Men/Club-Men/
Pittsburgh Temper,1
teamInfo,,"Pittsburgh, Pennsylvania",,https://www.facebook.com/pghtemper/,https://twitter.com/pghtemper
coaches,David Berg
0,Adam Ricci
0,Alex Mullen
0,Ben Pickels
0,Clarke Piatt
0,Henry Everett
0,Joe Molder
0,Maxwell Olesen
0,Michael Dillard
0,Thomas Mazur
0,Will Meyer
0,Will Girard
5,Tyler Riemer
8,Wyatt Krisky
10,Reid Duncan
11,Timothy  Chango Gasset 
12,Drew Girard
24,Will Hoffenkamp
29,JJ McMonigal
31,Lucas Storm
47,Marcel Oliart
48,Jimmy Towle
63,Jude Schmiesing
99,Matthew Viscido
b,r,e,a,k
Florida Untied,4
teamInfo,,"Ocala, Florida",https://www.instagram.com/untiedultimate?igsh=MWVmYTJtcDJ2YjB4cQ==,,https://twitter.com/UntiedUltimate
0,David Witte
02,William OBryan
03,Ricardo DeLeon
05,Justin Montalbano
06,Daniel McNamara
09,Clayton Partlow
10,Michael Arbutine
13,Bhagya Patel
15,Dustin Travaglini
18,Jacob Gaines
19,Bodie Cole
20,Joshua Webb
24,Stephen Krajeski
25,Unmil Patel
26,Scott Sakow
28,Ryan Thomas
29,Andy Chiang
53,Wazan Hoshino
55,Moses Jaffa
55,Bradley  Paul
85,Cody Coates
91,Garrett Knobel
b,r,e,a,k
Garden State Ultimate,5
teamInfo,,"New Brunswick, New Jersey",http://gardenstateultimate.com/,,https://twitter.com/gardenstateulti
coaches,Akshat Rajan
0,Alexander Cretella
0,Dyllon Jeng
0,Eddie Kim
0,David Perry
0,Jeremy Hess
0,John Williams
0,Kyle Ford
0,Leo Cogan-Drew
0,Mark Philipson
0,Nathan Casselli
0,Nicholas Railey
0,Peter Cauchy
1,John Nguyen
6,Ethan Phillips
6,James Bray
7,Vishal Anand
8,Gianluca Pagano
9,Kyle Incollingo
16,Luke Barry
21,Alec Bakholdin
23,Ian Dietrich
24,Doug Hoyer
24,Cole Salomon
37,Evan Sapirman 
39,Christopher Arevalo
41,Aidan Magee
b,r,e,a,k
Chimney,8
teamInfo,,"Cleveland, Ohio",,,
0,Benjamin March
0,David Picone
0,Evan Howey
0,Jacob Rollins
0,Richard Klena
0,Sam King
