Vacationland 2025,Club - Men ,2,8,2025
South Portland,ME,2025-08-02,2025-08-03
https://play.usaultimate.org/events/Vacationland-2025/schedule/Men/Club-Men/
Club M - Manic,6
teamInfo,,"Montreal, Quebec CA",https://clubmultimate.ca,,
coaches,Simon Charette
0,Alexandre Dubois
0,Charles Houle-Parent
0,Elliot Christin
0,Emile Philibert
0,Francois Laplante-Anfossi
0,Gabriel Parent
0,Henri Nault
0,Jaden Verlaan
0,Jonathan Baril
0,Laurent Vautour
0,Laurent Courville
0,Léonard Gingras
0,Louis (ipad) Haviernick
0,Solomon Podorovsky
0,Victor De Broux-Leduc
3,Georges-Emile Cote
6,Jorge Ramirez Ruiz
7,Victor Poitte-Sokolsky
13,Dylan Wu
19,Mathieu Petit
26,Antoine Debien
39,Owen Kolinski
50,Mathieu Joanis
72,Timothy Friesen
b,r,e,a,k
Scoop,3
teamInfo,,"Boston, Massachusetts",,,https://twitter.com/Scoopultimate
coaches,Nathaniel Wicks
0,Adrian Lin
0,Benjamin Kass-Mullet
0,Bodhi Brenner
0,Calvin Wicks
0,Christopher Parinella
0,Dashiell Brenner
0,David Pinto
0,David Owyang
0,Eli Chang
0,Jerry  Wang
0,Luca Duclos-Orsello
0,Skyler Davidman
0,Vivek Manchala
0,Wilson Wu
9,James (Jimmy) Beckman
13,Simon Cafiero
23,Thomas Griffin
24,Michael Klein
31,Jackson McGuinness
79,Matthew Xia
92,Tobey Chang
b,r,e,a,k
Phoenix,1
teamInfo,,"Ottawa, ON, Ontario CA",ottawaopenultimate%20AT%20gmail%20DOT%20com,https://www.facebook.com/ottawa.phoenix,https://twitter.com/phoenixultimate
coaches,Luke Phelan
0,Brandon Adibe
0,Cam Sommerville
0,Felix Leonard
0,Jordan Dauz
0,Mark Fischer 
0,Mike Lee
0,Noah Berube
0,Owen Daigeler
0,Philip Acimovic
0,Roth Mohring
0,Samuel Tremblay-Larochelle
0,Theo Gobeil
10,Geoff Bevan
24,Jonah Munoz
77,Kayle Campbell
83,Maxime Ayad
94,Logan Keillor
95,Jeremy Hill
96,Patrick Mapp
b,r,e,a,k
Lantern,9
teamInfo,,"Boston, Massachusetts",https://www.instagram.com/lanternultimate/?hl=en,,https://twitter.com/lanternultimate
0,Alan Yi
0,Brendan Blaney
0,Calvin Jungreis
0,Cody Karjadi
0,John Repucci
0,JT Kirages
0,Matt Kolk
0,Nathaniel Cramer
0,Paul Bean
0,Pierre Fabris
0,Eliot Fenton
0,Sean Timmons
0,Siddharth Yende
4,William  Ullmann
5,Cameron Park
11,Alexander Fick
12,Michael Carando
35,Russell Katz
37,Dylan Baroody
47,Bryce Markel
63,Griffin Smith
73,Eric Peters
75,Benjamin Ma
b,r,e,a,k
Big Wrench,8
teamInfo,,"Somerville, Massachusetts",,https://www.facebook.com/BigWrenchUlt,https://twitter.com/BigWrenchUlt
0,Charles Marokhovsky
0,Chris Yang
0,Christopher Richmond
0,Christopher Layden
0,Conor McManamy
0,Jack Facey
0,Jacob Taylor
0,Mike Voelpel
0,Noah Baumann
0,Nolan Prince
0,Patrick Ó Súilleabháin 
0,Ronan Callahan
0,Sanjeev Sridhar
0,Stephen Abel
1,Evan Karson
3,Henry Laseter
3,Colin Mclaughlin
11,William Burke
23,Ethan Cardi
30,Lucas Johnson
33,Vincent Fan
39,Brooks Wallace
44,Matt Sehgal
53,David O'Dea
84,Sam Farnsworth
99,Jordan Kaufman
b,r,e,a,k
Red Tide,4
teamInfo,,"Portland, Maine",https://maineultimate.org/p/red-tide?fbclid=IwAR0bDNru2gankJXHGP3ETZUI78rng5ue4-aPUdGmhDgjlY6sqcg5lmuNHkg,https://www.facebook.com/RedTideUltimate,
0,Chuck Cantone
0,Cole Fairfield
0,Justin Strout
0,Karl Hokkanen
2,Stewart Kelley
4,Samuel Laur
5,Noah Backer
5,James Flynn
6,Cole Moore
6,Boden Iris
11,Aidan Hayes
11,Miles Miller
11,Sam McCarty
12,Henry Babcock
13,Charlie Norris
16,Luke Tierney-Trevor
19,Daniel Snider
22,John Sands
23,Davis Ritger
25,Tucker Livingston
29,Josh Musica
33,Ryan Woodhouse
33,Ryan Woodhouse
97,Daniel Bronshvayg
b,r,e,a,k
Magnitude (Quake),7
teamInfo,Quake,"Québec, Quebec CA",,,
0,Alexandre Goulet
0,Charles Beaulieu
0,Charles-André Bérubé
0,Éliot Lemieux
0,Louis Gélinas
0,Nathanaël Le Marois
0,Nathaniel Leonard
0,Olivier Gamache
0,Olivier Chabot
0,Pierre-Alexis Archambault
0,Pierre-Olivier  Roberge
0,Thierry Larochelle
0,Vincent Bouchard
0,Zachary Hébert
9,Louis-Philippe Dubois
08,Philippe Maheux
13,Mathis Bartenstein
15,Jérôme Gervais
16,David Bernier
33,Victor Curodeau
37,Andy Giroux
74,Antoine Lachance
b,r,e,a,k
Shade,2
teamInfo,,"Brooklyn, New York",https://instagram.com/shadeulti,http://gagopakaraoke.com/home,
1,Alan Henzy
2,Jack Rogot
2,Oliver Walke
6,Harper Stanfield
7,Peter Luo
8,Nathan Brown
9,Jasper Beardslee
10,Reece Davidman
11,Scott Xu
12,Griffin Kao
14,Jacob Price
18,Jake Kovalic
21,Paul Anouna
23,Otto Gomez
26,Noah Gross
27,Eric Moore
28,Jared Kim
34,Elias Griffin
42,Ian Layzer
44,Samuel Letcher
47,Elliott Rosenberg
61,Matthew Weintraub
77,Ryan Brown
80,Ian Falck
84,Brian Moore
85,Jacob Coonin
b,r,e,a,k
Colt,5
teamInfo,,"Hartford, Connecticut",,,https://twitter.com/coltimate
coaches,Bryan Jones
2,Simon Cordes
7,James Tibolla
00,Denis Cha
00,Andong Li
00,Colin Dunn
00,Michael Levy
04,Jeremy Bernier
05,Joseph Dwork
10,Adam D'Antonio
11,Eamon Conneely
12,Alexander Manos
13,Ben Chaimberg
15,Holland Florian
17,Christopher Wells
18,Eviatar Ashkenazi
22,Nathan Getz
23,Luke Smith
24,Nitesh Desai
28,Aidan Martin-Weinbaum
30,Daniel Glickman
41,Bobby Elston
43,Hillel Rosenheim
44,Nicholas Lambert
88,Michael Lovisa
b,r,e,a,k
Alibi,10
teamInfo,,"Albany, New York",,,
0,Charlie Heffernan
00,Connor Braddock
00,John Angerame
00,Jonathan Willman
00,Justin Ault
00,Kai LaMothe
00,Kjellen MacBain
00,Matthew Lustbader
00,Matthew Kerendian
00,Sebastian  Espinal
00,Wade Buchheit
00,Mirsad Markovic
00,Jeff Maskalunas
00,Caleb Bashant
00,Devin McKenna
00,Griffin Malcolm
00,Jonathan Kelly
00,Matthew O'Brien
00,Xavier Ortiz-Reyes
00,Leighton Scott
00,Kevin Roux
00,Adam Kohn
00,Orr Teva
24,Miles Berry
36,Will Troop
b,r,e,a,k
BAG,13
