North New England D-III Women's Conferences,College - Women ,13,4,2025
Waterville,ME,2025-04-13,2025-04-13
https://play.usaultimate.org/events/North-New-England-D-III-Womens-Conferences-2025/schedule/Women/CollegeWomen/
Bowdoin,5
teamInfo,Chaos Theory,"Brunswick, Maine",,,@Chaos_the0ry
0,Issie Gale
00,Josie Fischman
00,Kaylie Harlin
00,Mary Henthorn
00,Nora Wunsch
00,Paloma Hsiao-Shelton
00,Tali Serlin
00,Tess Mooney 
00,Ursula Tarrant
00,Annabel Close
00,Asha Adiga-Biro
00,Avery Kyle
00,Brian Tilford
00,Caitlin Panicker
00,Charlotte Carney
00,Chelsea Moody
00,Claire Crawford
00,Eleanor Adams
00,Hazel Sheahan
00,Iris Reyes
15,Zoe Peterson
b,r,e,a,k
Middlebury,1
teamInfo,Middlebury Pranksters,"Middlebury, Vermont",http://sites.middlebury.edu/ultimate/,https://www.facebook.com/MiddleburyPranksters,https://www.twitter.com/Middpranksterz
00,Cece Rhyneer
00,Ruby Salisbury
00,Xintian Ge
02,Kaia Ganzell
03,Sasha Hanna
04,Lucy VanNewkirk
06,Liz Crawford
07,Ella Widmyer
10,Annie Art
11,Yijie Li
12,Sarah Capute
13,Agnes Heffner
14,Izzy Laramee
16,Molly Snow
17,Lily Coughlan
18,Amelia Hayward
20,Nicoletta Coupe
21,Hazel Stringer
24,Freya  Rich
27,Tessa Marker
28,Celeste Alden
44,Lilia Klingler
49,Finley Torrens-Martin
64,Lily Weissman
69,Makenna Bachman
99,Molly Kaplan
b,r,e,a,k
Bates,3
teamInfo,Cold Front,"Lewiston, Maine",https://coldfrontultimate.wordpress.com,,https://twitter.com/coldfront_ulti
00,Ada Knauft
00,Amelia Wright
00,Brinly Teeple
00,Celia Horowitz
00,Claire Barlass
00,Dalia Cape
00,Ellie Schueler
00,Gemma DeCarolis
00,Hana Roggendorf
00,Jillian  Scott-Lewis
00,Lila Hutchins
00,Liv Myers
00,Margot van Duijnhoven
00,Maya Trakhtenberg
00,Reese Hillman
00,Rosalie Brown
00,Sam Rice
00,Sarah Smith
00,Sloan Phillips
00,Susie Butler
00,Whitney Moore
b,r,e,a,k
Dartmouth,4
teamInfo,Dartmouth Ultimate,"Hanover, New Hampshire",https://sites.dartmouth.edu/ultimatefrisbee/daybreak/,,https://twitter.com/dartmouthulti?lang=en
00,Allison Trapani
00,Amelia Oscherwitz
00,Anna Salafsky
00,Archer Noordhoek
00,Arianna Graham-Gurland
00,Caitlin Gong
00,Chiara Kimelia
00,Emma Carpenter
00,Hiba Ali 
00,Isabel Prado-Tucker
00,Isabel Squier
00,Lara Gao
00,Lydia Cramer
00,Madeleine Carr
00,Marina Rodriguez
00,Megan Liu
00,Serena Goldstein
00,Zoella Lin
b,r,e,a,k
Colby,2
teamInfo,Women's,"Waterville, Maine",http://web.colby.edu/ultimate,,
coaches,Jason Oswald
0,Kelly Dayton
0,Emma Houston
00,Guinevere Robbins
00,Katie Bernard
00,Abigail Knapp
00,Annika Bjorklund
00,Caroline Thornton
00,Emma Donnelly
00,Kiara Kawatsure
00,Koto Yamada
00,Laurel Benson
00,Moya Stringer
00,Piper Ullmann
00,Sierra Rothman-Haji
00,Stacy Kim
11,Audrey Lemoine
b,r,e,a,k
s,t,a,g,e,s
pools,Tournament Round Robin
pool,Pool A
Dartmouth,Bowdoin,10,11,"04/12/2025, 07:30",Pool A,Final
Colby,Bates,8,5,"04/12/2025, 07:30",Pool A,Final
Middlebury,Bates,11,2,"04/12/2025, 09:05",Pool A,Final
Colby,Dartmouth,3,8,"04/12/2025, 09:05",Pool A,Final
Middlebury,Bowdoin,9,11,"04/12/2025, 10:40",Pool A,Final
Bates,Dartmouth,8,6,"04/12/2025, 10:40",Pool A,Final
Middlebury,Dartmouth,8,6,"04/12/2025, 12:15",Pool A,Final
Colby,Bowdoin,6,7,"04/12/2025, 12:15",Pool A,Final
Middlebury,Colby,8,2,"04/12/2025, 13:50",Pool A,Final
Bates,Bowdoin,10,7,"04/12/2025, 13:50",Pool A,Final
b,r,e,a,k
