2025 Northeast Men's Regional Championship,Club - Men ,20,9,2025
Devens,MA,2025-09-20,2025-09-21
http://play.usaultimate.org/events/2025-Northeast-Mens-Regional-Championship/schedule/Men/Club-Men/
DiG,1
teamInfo,,"Boston, Massachusetts",https://instagram.com/digultimate/,https://www.facebook.com/digultimate,https://twitter.com/digultimate
coaches,Samuel Lehman
0,Albert Yuan
0,Ben Horrisberger
0,Calvin Stoughton
0,Emmett Young
0,Ethan Fortin
0,Gabriel Colton
0,Jeffrey Babbitt
0,Matthew Rowan McDonnell
0,Nathaniel Dick
0,Orion Cable
0,Peter Boerth
0,Peter Kotz
0,Ryan Dinger
0,sebastian rossi
0,Tobe Decraene
0,Turner Allen
2,Simon Carapella
5,Wyatt Kellman
7,Oscar Graff
9,Jason Tapper
17,Brendan McCann
22,Cole Davis-Brand
28,Declan Kervick
34,Gustav Haflin
37,Gavin Abrahamsson
b,r,e,a,k
Club M - Manic,11
teamInfo,,"Montreal, Quebec CA",https://clubmultimate.ca,,
coaches,Simon Charette
0,Elliot Christin
0,Emile Philibert
0,Francois Laplante-Anfossi
0,Gabriel Parent
0,Guillaume Sabourin
0,Henri Nault
0,Laurent Vautour
0,Laurent Courville
0,Louis (ipad) Haviernick
0,Lukas Hibchen
0,Alexandre Dubois
0,Calvin Coulbury
0,Charles Houle-Parent
0,Maxim Bérard
0,Philippe Kirouac
0,Rafael Herazo
0,Victor De Broux-Leduc
0,Zakary Vermette
2,Daniel Tu
7,Victor Poitte-Sokolsky
19,Mathieu Petit
26,Antoine Debien
39,Owen Kolinski
50,Mathieu Joanis
72,Timothy Friesen
b,r,e,a,k
Scoop,8
teamInfo,,"Boston, Massachusetts",,,https://twitter.com/Scoopultimate
coaches,Nathaniel Wicks
9,James (Jimmy) Beckman
00,Jason (Jay) Clark
00,Jerry  Wang
00,Luca Duclos-Orsello
00,Malachi Raymond
00,Matthew Xia
00,Max Coe
00,Michael Klein
00,Simon Cafiero
00,Skyler Davidman
00,Adrian Lin
00,Alexander Vu
00,Benjamin Kass-Mullet
00,Bodhi Brenner
00,Calvin Wicks
00,Christopher Parinella
00,Ciaran Pratley
00,Dashiell Brenner
00,David Pinto
00,Eli Chang
00,Wilson Wu
23,Thomas Griffin
31,Jackson McGuinness
b,r,e,a,k
DAPPER,14
teamInfo,,"Rochester, New York",,,
0,Alex LaBarge
0,Colin O'Keefe
0,Douglas Urbino
0,Ethan Franz
0,Evan Gorthy
0,Gregory Wakeman
0,Joey Puma
0,John Vanderwege
0,Joseph Mulvehill
0,Jack Lazenby
0,Logan McGee
0,Nicholas Rubino
0,Quinn Daly
0,Robert Vogt
0,Ryan Lehmann
1,Lewis Lewis
2,Ryan McManus
4,Noah Ofri-Akman
5,Ryan  McGuire 
10,Kyle Morgan
11,Jamie Falkovich 
13,Braemen Twitchell
24,Justin Badgett
28,Jack Lowrey
89,Brice Moncada
99,Alex Python
b,r,e,a,k
PoNY,2
teamInfo,,"New York, New York",,https://www.facebook.com/ponyultimate,https://twitter.com/PrideofNY
02,Matt LaBar
03,Solomon Rueschemeyer-Bailey
04,Benjamin Jagt
05,Joshua Stevens-Stein
07,Clark Cofer
08,Harper Garvey
09,Samuel Little
10,Shashank Alladi
11,Ben Dameron
16,Anders Juengst
17,Benjamin Katz
17,Isaac Kaplan
21,Vinay Valsaraj
22,Jacob Cowan
23,Jimmy Mickle
24,Cameron Wariner
25,Drew Schnaudigel
30,Josue Alorro
31,Chris Kocher
34,John Randolph
41,Oliver Fay
44,Scott Heyman
46,Tristan Yarter
66,Jibran Mieser
80,Antoine Davis
82,Marques Brownlee
b,r,e,a,k
Sprout,7
teamInfo,,"Amherst, Massachusetts",,,
coaches,Ben Nelson
02,Jonah Barry
06,Nadav Berkman
08,Tomo Liou
10,Forrest Williams
11,Michael Ising
12,Gabriel Franklin
13,Calan Kirkpatrick
15,Jordan  Lazer
16,Roan Dunkerley
17,Nima Lhamo
19,Christopher Kiepert
20,Rustin Ingold-Smith
21,Ben Ayres
23,Kristof Rohaly-Medved
26,William Thornton
28,Eli Standard
36,Carl Crawford
37,Parker Lin-Butler
38,Leo Narbonne
42,Liam Gallinagh
54,Alex Evangelides
66,Cameron Levine
72,Dylan Frank
81,Geir Hartl
83,Gavin Rice
88,Griffin Gee
b,r,e,a,k
Lantern,12
teamInfo,,"Boston, Massachusetts",https://www.instagram.com/lanternultimate/?hl=en,,https://twitter.com/lanternultimate
0,Alan Yi
0,Brendan Blaney
0,Calvin Jungreis
0,Cody Karjadi
0,Devan Hernandez
0,Eliot Fenton
0,John Repucci
0,JT Kirages
0,Matt Kolk
0,Owen Bogumil
0,Paul Bean
0,Pierre Fabris
0,Miles Schiefer
0,Nathaniel Cramer
0,Sean Timmons
5,Cameron Park
11,Alexander Fick
12,Michael Carando
32,Oliver Kahn
35,Russell Katz
37,Dylan Baroody
47,Bryce Markel
63,Griffin Smith
69,Igor Smola
73,Eric Peters
75,Benjamin Ma
b,r,e,a,k
Magma Bears,13
teamInfo,,"ALL OF NEW YORK, New York",,https://www.facebook.com/WestchesterMagmaBears,https://twitter.com/MagmaBearUlti
0,Adam Newman
0,Andrew Lass
0,Christopher Wong
0,Christopher Novielli
0,Eric Zhang
0,Jacob Margolis
0,Kaizen Conroy
0,Kyle Chylinski
0,Lee Martel
0,Matt Bartley
0,Neal Vasireddi
0,Nicolas Leitmann-Niimi
0,Noam Brenner
0,Sal Pepe
0,Sam Masling
0,William Chung Park
4,Johnny Jiang
6,Frederick Perlman
13,Summer Zheng
18,Micah Derringer
19,Andrew Marshall
21,Andrew Seiden
22,Jordan Chow
35,Adam Wright
77,Kevin Asaro
87,Brandon Chan
b,r,e,a,k
Red Tide,6
teamInfo,,"Portland, Maine",https://maineultimate.org/p/red-tide?fbclid=IwAR0bDNru2gankJXHGP3ETZUI78rng5ue4-aPUdGmhDgjlY6sqcg5lmuNHkg,https://www.facebook.com/RedTideUltimate,
0,Chuck Cantone
0,Cole Fairfield
0,Justin Strout
0,Karl Hokkanen
2,Stewart Kelley
4,Samuel Laur
5,Noah Backer
5,James Flynn
6,Cole Moore
6,Boden Iris
6,Rocco Essex-Linehan
7,Griffin Conley
11,Aidan Hayes
11,Miles Miller
11,Sam McCarty
12,Henry Babcock
13,Charlie Norris
16,Luke Tierney-Trevor
19,Daniel Snider
22,John Sands
23,Davis Ritger
25,Tucker Livingston
29,Josh Musica
33,Ryan Woodhouse
69,Gabriel Smestad
97,Daniel Bronshvayg
b,r,e,a,k
Phoenix,3
teamInfo,,"Ottawa, ON, Ontario CA",ottawaopenultimate%20AT%20gmail%20DOT%20com,https://www.facebook.com/ottawa.phoenix,https://twitter.com/phoenixultimate
0,Felix Leonard
0,Brandon Adibe
0,Cam Sommerville
0,Mateo Marshall
0,Matt O'Brien
0,Melvyn Brichet
0,Mike Lee
0,Paul Mensah
0,Philip Acimovic
0,Roth Mohring
0,Samuel Tremblay-Larochelle
0,Samuel Dupont-Gratton
0,Theo Gobeil
0,Noah Berube
0,Owen Daigeler
10,Geoff Bevan
15,Karl Loiseau
24,Jonah Munoz
30,Greg Ellis
77,Kayle Campbell
83,Maxime Ayad
89,Nick Boucher
94,Logan Keillor
95,Jeremy Hill
96,Patrick Mapp
97,Cameron Kennedy
b,r,e,a,k
Colt,9
teamInfo,,"Hartford, Connecticut",,,https://twitter.com/coltimate
00,Denis Cha
04,Jeremy Bernier
05,Joseph Dwork
