2025 South Central Men's Regional Championship,Club - Men ,20,9,2025
Austin,TX,2025-09-20,2025-09-21
http://play.usaultimate.org/events/2025-South-Central-Mens-Regional-Championship/schedule/Men/Club-Men/
Johnny Bravo,1
teamInfo,,"Colorado, Colorado",,,https://twitter.com/BravoUltimate
coaches,Joseph Durst,Tim Kefalas,Michael Lun
0,Alex Tatum
2,Jay Froude
3,Jackson Cochran
6,Erik Hotaling
7,Jonathan Nethercutt
8,Daniel Landesman
10,Grant Lindsley
11,Hunter May
15,Dennison Bechis
16,Alex Piper
23,Elliot Hawkins
23,Zeke Thoreson
24,Mathieu Agee
27,Tyler Nguyen
30,Sam VanDusen
31,Kai Marshall
33,John Sickles
34,Cody Spicer
46,Nanda Min-Fink
47,Seth Wells
51,Keenan Laurence
59,Noah Coolman
71,Zachary Slayton
75,Matt Jackson
81,Nathan Buchholz
88,Quinn Finer
b,r,e,a,k
ISO Atmo,8
teamInfo,,"Boulder, Colorado",,,
0,Andreas Michalski
0,Brian Ward
0,Christopher Ward
0,James McGuinness
0,Luke Davis
0,Miles Katzen
0,Ryan Allenson
0,Zacary Parkhill
1,Brett Prill
7,Anthony Rice
8,Josh Hein
9,Preston Goulson
11,Aston Horton
12,Caleb Bevers
16,Thomas McPherson
17,Kyle Follmer
24,Jens Martin
25,Chris Fox
25,Brandon Garcia
35,Alexander Brewster
42,Tyler Carr
43,Matthew Pollard
53,Jerry Swider
59,George Abuhamad
69,Samuel Williams
86,Noah Sullivan
b,r,e,a,k
Texas Tea,12
teamInfo,,"Houston, Texas",,,
0,Isaac Baker
0,Jeffrey  Zhou
0,Jesse Hill
0,Joseph Thachet
0,Michael Strack
0,Nathan Machak
0,Darrel  Francis III
0,Rhyan Miller
0,Stephen Strack
0,Trey Wong
0,Wyatt Davies
1,Isaac Fuzat
2,Cameron Guillen
4,Xavier  Daniel 
5,Corey Tolbert
5,Ryan Salters
10,Ibrahim El-sayed
12,Andrew Hipskind
12,Ismail Kassim
13,Brandon  Odell
13,Tyler Loer
20,Andy Wang
21,Javier Flores
22,Piercen Hoekstra
25,Toya Chukwumerije
b,r,e,a,k
BARNSTORM,13
teamInfo,,"Oklahoma City, Oklahoma",,,
0,Alex Santai
0,Cameron White
0,Chris Dellenbaugh
0,Eric Eitrheim
0,Jimmy Ewald
0,John Liaz
0,Garrett Taylor
0,Geoffrey Henry
0,Kyle Thomas
0,Matthew Battles
0,Milton Adina
0,Nirmal Choradia
0,Yuto Hiraki
2,Jonathan Summers
3,Colin Miller
10,David Peterson
