Southwest D-I College Women's Regionals,College - Women ,26,4,2025
Bakersfield,CA,2025-04-26,2025-04-27
https://play.usaultimate.org/events/Southwest-D-I-College-Womens-Regionals-2025/schedule/Women/CollegeWomen/
Stanford,1
teamInfo,Superfly,"Stanford, California",http://ultimate.stanford.edu,https://facebook.com/superflyulti,https://twitter.com/SuperflyUlti
coaches,Robin Davis,Shayla Harris
0,Devy Weir
0,Isabella Walsh
0,Kiran Lucas
0,Lea Wang-Tomic
0,Lillen Montague-Alamin
0,Nicole Lambert
0,Nora Knudsen
0,Patricia Tran
0,Rachel Lit
0,Ruby Gates
0,Sage McGinley-Smith
0,Shaili Mathur
0,Tsz Yan Yip
1,Dora McCotter-Hulett
5,Esther Filipek
7,Brianna Johnson
7,Heather Szczesniak
19,Anika Quon
22,Amelia Hawkins
33,Sorika Weir
43,Harper Baer
b,r,e,a,k
California-Davis,7
teamInfo,Rogue,"Davis, California",http://ucdrogueultimate.weebly.com/,https://www.facebook.com/UCDRogue,https://twitter.com/ucdrogue
01,Kennedy Lain
02,Morgan Strong
03,Lucy Mertz
05,Pamela Sacko
08,Sarah Azrin
09,Mackenna Weems
10,Quinlin Schug
11,Caroline Donohew
12,Breana Marin
13,Leah Cole
14,Kasey Zeng
16,Katelyn Mann
17,April Lu
18,Kelly Kankowski
19,Ria Rajput
21,Katie Angstadt-Leto
22,Emily Denio
23,Alina Smutz
24,Amanda Zabriskie
28,Natalie Chueh
33,Emily Chou
77,Mia Emerson
b,r,e,a,k
California-Irvine,10
teamInfo,Grass Ninjas,"Irvine, California",http://grassninjaultimate.wixsite.com/home,,
2,Naomie Gardette
6,Yi Kei Yan
7,Alvina Chow
8,Reagan Fan
9,Ava Eckburg
13,Dhara Gebo
14,Viviana Moreno
17,Norah Patel
18,Marin Heeren
20,Remy Allen
21,Danika Ronda
28,Savannah Labarda
33,Xinyue Xiao
49,Zoe Wu
88,Yilin Wang
b,r,e,a,k
Cal Poly-SLO (B),16
teamInfo,Motion B,"San Luis Obispo, California",,,
01,Macie Sunseri
08,Annie Hoke
14,Vaila Heinemann
17,Hannah Brown
18,Alysa Klapper
20,Cassie Meyer
21,Olivia Borland
24,Bella Stone
27,Asia Sakura Elizabeth Marcos
30,Maleah Townsend
32,Athena Tran
36,Leah  Silver
37,Alison Poon
38,Lucy Fossa
44,Alexis Rampolla
47,Lillian Clark
53,Dustin Hendrix
73,Kiero Landegger
77,Charlotte Rosen
b,r,e,a,k
California-Santa Cruz,2
teamInfo,Sol,"Santa Cruz, California",,,
00,Abigail Barrett
00,Alexandra Lehrer
00,Carmen Morris
00,Goodness Nwakudu
00,Haruna Krumholz
00,Juliette Delany
00,Kai Agueros
00,Paige Jenkins
00,Rachel  Chang
00,Ruby Gholston
00,Ruby Sutherlin Sovern
00,Sienna Weinstein
00,Tara Advani
00,Viola Deszily
00,Yael Kaplan
00,Zane Bird Smith
00,Lexie Buckley
00,Madeline Trilling
00,Makena Johnson
00,Molly Bingham
04,Justine Martinez
07,Monica O'Brien Saez
11,Gretchen Berndt
23,Katharina Leitner
24,Grace Bradley
55,Marley Standard
b,r,e,a,k
UCLA,9
teamInfo,BLU,"Los Angeles, California",http://uclaclubsports.com/index.aspx?path=wuf,https://www.facebook.com/UCLABLU,https://www.twitter.com/blultimate
coaches,Cheryl Prideaux,Tiffanie Gallo,Malia Smith
0,Crystal DeWeese
3,Willa Campion
6,Zoe Saxer
7,Ziyun Wang
02,Sabrina Belkin
04,Grace Loia-Lopez
10,Minoo Bastani
11,Lise Tucker
12,Julia Kamm
15,Leah Wildmann
17,Zhiyue Jiang
18,Kasey Parks
20,Sylvia Ng
21,Natalie Min
24,Anokhi Luthra
28,Leyao (Ina)  Chang
32,Mya Mitchell
34,Louise Goldman
37,Erina Sam
47,Charlotte Kurre O'Heaney
48,Anneliese Phillips
95,Isabelle Germain
b,r,e,a,k
Southern California,8
teamInfo,Hellions of Troy,"Los Angeles, California",http://www.uscwomensultimate.com/,,https://twitter.com/USCHellions
01,Victoria Lawton
02,Tsz Ching Chen
03,Kelly Lukito
04,Jayne Bottarini
