2025 USA Ultimate D-I College Championships,College - Men ,23,5,2025
Burlington,WA,2025-05-23,2025-05-26
https://play.usaultimate.org/events/2025-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/
Massachusetts,1
teamInfo,Zoodisc,"Amherst, Massachusetts",,https://www.facebook.com/UMassUltimate/,https://twitter.com/UMassUltimateM
coaches,Rustin Ingold-Smith,Dylan Tunnell,Samuel Losen,Jonah Stang-Osborne
01,Nima Lhamo
04,Ethan Lieman
06,Roan Dunkerley
07,Ian Buchanan
08,Tomo Liou
10,Wyatt Kellman
11,Charlie Norris
12,Wesley Killough-Hill
13,Calan Kirkpatrick
15,Arthur Aucoin
16,Nadav Berkman
18,Sam Green
21,Mason Stone
27,Caelan McSweeney
30,Charlie Leightheiser
37,Gavin Abrahamsson
38,Leo Narbonne
39,Carter Hawkins
43,Ethan Schiff
63,Jonathan Coombs
88,Griffin Gee
96,Luca  Harwood
99,Tobias Paperno
b,r,e,a,k
Oregon State,8
teamInfo,Beavers,"Corvallis, Oregon",,https://www.facebook.com/osubeaversultimatedisc,https://twitter.com/OSU_ultimate
coaches,Andrew Buermeyer,Christopher Graham
00,Sam Anderson
02,Sayric Arias
03,Seiji Koenigsberg
04,Ben Thoennes
07,Felix Moren
08,Leo Wolf
09,Challis Holloway
10,Akira Koenigsberg
11,Jack Weinberg
12,Sam Jordan
13,Callahan Bosworth
14,Logan Closson
18,Alesh Fremouw
19,Jackson Henry
21,Ben Lodahl
22,Ben Brochard
26,Forrest Vargyas
27,Elliot Trimbur
27,Ethan Fodor
31,Henry Wayte
37,Quinn O'Connor
42,Collin Kaperick
66,Matt Rix
81,Matthew Gilligan
82,Lucas Henry
97,Leo Renzema
99,Owen Poissant
b,r,e,a,k
Texas,12
teamInfo,TUFF,"Austin, Texas",https://texasultimatefrisbee.weebly.com/,https://www.facebook.com/TexasUltimate,https://twitter.com/texas__tuff/
coaches,Calvin Lin
01,Isaac Fuzat
02,Ty Little
03,Aaron Barcio
04,Rohan Kotha
05,Owen Smith
06,Kellen Watts
09,Rushil Randhar
10,Xavier Fuzat
11,Jules Langert
14,Zachary White
15,Soh Nishiyama
17,Henry Charbeneau
19,Ryan Reinhart
20,Andy Wang
22,Taylor Masterson
23,Ben Thollander
24,Dillon Doubrava
25,John Clyde
27,Jack Joshi
33,Huy Nguyen
34,Mitchell Blaha
37,Aidan Young
71,Pavel Kraus
80,Elliot Ylagan
81,Jake Worthington
96,Talon Balcom
99,Joshua Cremer
b,r,e,a,k
Vermont,13
teamInfo,Chill,"Burlington, Vermont",,https://www.facebook.com/Team.Chill.33/,https://twitter.com/team_chill
0,Maximilian Fontana
01,Jovan Strange
02,Erik Arnold
03,Nico Gabby
07,Max Hemeon
08,Leo Sarandos
09,Dominic Chiodi
10,Forrest Williams
11,Benjamin Wall
13,Cale Ellingson
14,Jackson Leding
15,Jordan  Lazer
16,Seamus Dailey
18,Casey Thornton
19,Beorn Morrow-Caron
21,Luca Stuccio
23,Kristof Rohaly-Medved
27,True Hanson
33,Jack Rice
37,Parker Lin-Butler
42,Ryan Bliss
43,Vance Mader
44,Wyatt Smith
69,Luke Tierney-Trevor
82,Declan Kervick
88,James Bell
b,r,e,a,k
Utah,17
teamInfo,Zion Curtain,"Salt Lake City, Utah",https://www.zioncurtainultimate.com/,https://www.facebook.com/pages/ZCU-Zion-Curtain-Ultimate/162698807137761,https://twitter.com/zioncurtainulti
coaches,Eric Christensen,Nathan Huff
01,Daniel Watson
02,Oscar Brown
04,Henri de St. Germain
05,Rainor Alin
06,Ian Cunningham-Ward
07,Elijah Watchalotone
08,Will Selfridge
17,Connor Lund
18,Joey Ginsburg 
19,Dustin Schrader
22,Isaiah Klepfer
24,George Shelby
30,Grant Newkirk
30,Jack Valentine
34,Malcolm Starr
45,Nate Reavy
54,Bryce Rundell
73,Aiden Coutin
77,Jackson Hammond
82,Andrew Elliott
96,Dane Miller
99,Grayson Rettberg
b,r,e,a,k
Oregon,2
teamInfo,Ego,"Eugene, Oregon",oregonego.com,https://www.facebook.com/OneBigEgo/,https://twitter.com/egotime
coaches,Dylan Freechild,Connor Matthews,Braedon Petrus,Christopher Strub,Trevor Smith
02,Akash McMinnn
03,Marcus Lee
04,Alex Hall-Witt
06,Maksim Zykov-Chisholm
08,Adam Wulkan
09,Marcus Beidler
11,Beckett Sessums
14,Nicholas Cao
15,Chander Boyd-Fliegel
17,Jason Gutstadt
18,Marco Muralles
20,Bryce Jackson
21,Jonah Hammes
23,Julian Saunt
24,Mica Glass
26,Raekwon Adkins
27,Mason  Weybright
28,Max Massey
42,Emile Starkweather
48,Ben Horrisberger
49,Daniel Collier
72,Aaron Kaplan
77,Jackson Heglie
79,Nathan Williams
81,Emmett Warner
89,Isaac Blumklotz
97,Theo Kojan
99,Will Dillender-Kinast
b,r,e,a,k
Georgia,14
teamInfo,Jojah,"Athens, Georgia",https://jojahultimatefrisbee.wordpress.com/,https://www.facebook.com/JojahUltimate,https://twitter.com/JojahUltimate
coaches,Sam Batson,Ishaan Dave
00,Matthew Davidorf
02,Adam Goldstein
03,Morgan Hiers
06,Aidan Downey
08,Jeremy Sanders
10,William Randall
11,Ernesto Clarke
12,Aniketh Muddala
15,Gaby Elkhoury
16,Gabriel Weber
17,Charles Guerrero
18,Colin Kennedy
19,Jacob Croskey
20,Scott Whitley
21,Sam Rose
23,Jack Krugler
30,Cole Chanler
35,Drew Wentworth
73,Gabe Borda
88,Luke Cranor
96,Dane Lynch 
b,r,e,a,k
Northeastern,11
