Atlantic Coast Open 2025,College - Men ,22,3,2025
Axton,VA,2025-03-22,2025-03-23
https://play.usaultimate.org/events/Atlantic-Coast-Open-2025/schedule/Men/CollegeMen/
Lehigh,8
teamInfo,Lehigh,"Bethlehem, Pennsylvania",,,https://twitter.com/lehighultimate
0,Brett Clinton
0,Cal Heathman
0,Chase Roth-Wells
0,Elijah Daly
0,Elliott Kimball
0,Ethan Meron
0,Andrew Yu-Hwang
0,Harry Germain
0,Jake Schachter
0,Lewen Xiang
0,Matthias Culbertson
0,Robert Wilson
0,Vaughn Clark
2,Danny Dilsheimer
4,Brandon Reith
12,Aaron Lam
20,Zachary Weiser
25,Dominic Policarpo
52,Owen Lambinus 
55,Henry Winter
58,Gregory Dardaris
85,Thomas Dyett
b,r,e,a,k
Virginia Tech,1
teamInfo,Burn,"Blacksburg, Virginia",http://vtultimate.wix.com/virginiatechultimate,,https://twitter.com/VTBurn?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
0,Aiden O'Connor
0,Alex Winsness
0,Alper Kutlug
0,Christopher Parinella
0,Ethan Harris
0,Garrett Lash
0,Brandon Behrens
0,Carter Williams
0,Jacob Slade
0,John Durham
0,John Bruther
0,Micah Craine
0,Nicholas Russell
0,Spencer Paragas
0,Trenton Powell
0,Will Meyer
6,Ryan Greenfield
11,Aiden  Reed
15,Daniel Bredehorst
16,Eli Martin
17,Christopher Lopez
19,Piyush Komali
23,Jacob Loveranes
25,Andrew Holladay
33,Kennon Arnold
52,Erik Graulich
69,Jack Sinsheimer
69,Luke Kenney
89,Jacob Sigeti
b,r,e,a,k
RIT,9
teamInfo,RIT Spudheds,"Rochester, New York",,http://www.facebook.com/ritspudheds,http://www.twitter.com/spudheds
0,Adam Rigdon
0,Andrew Wagner
0,Declan Sales
0,Ethan Silver-Riskin
0,Ethan Denlinger
0,Bailey Sweetser
0,Ian Thompson
0,Joseph  Carney
0,Logan Kelly
0,Max Deng
0,Michael McNeil
0,Nathan Begly
0,Noah Van Scoy
0,Paul Anzelone 
0,Ricardo Flores
0,Rio Coursen
0,Kevin Botsis
0,Stephen Sampson
0,Tucker Routenberg
0,Tyler Gardner
1,James Jordan
2,Ryan McManus
7,Patrick Collins
10,Liam Jensen
14,Kameron Kuszlyk
28,Jack Lowrey
30,Ethan Iannicelli
32,Isaac McClelland
34,Adrian Ricketts
47,Anthony Patti
48,Alden Birkett
57,Bryce Roman
67,Cooper Pinaud
b,r,e,a,k
Wake Forest,17
teamInfo,"Well Oiled Machine, Baby","Winston-Salem, North Carolina",http://groups.wfu.edu/ultimate/,https://www.facebook.com/groups/64778716459,https://twitter.com/WFUltimate
0,Aaron Nataline
0,Ben Pestana
0,Bryson Tener
0,Elliot Miller
0,Ethan Rodriguez
0,Gavin Godfrey
0,George Lane
0,Henry Wolfe
0,Jackson Baker
0,Jackson Phelan
0,Jake Spain
0,Jiahua Lyu
0,Josh Chu
0,Lion Liang
0,Mark Tribble
0,Matthew Behm
0,Miguel Burgos
0,Nate Phadnis
0,Russell Stewart
0,Spencer Caouette
0,Tarek Youssef
0,Torren Lewis
0,Ty Bogdanovich
0,Cole Jennings
0,David Maschler
8,Aidan Norris
17,Donovan DeWitt
18,Kieran Petrunich
27,Matthew Kulynych
35,Holden Schmidt
96,Caden Quinn
b,r,e,a,k
George Washington,16
teamInfo,George Washington Men’s Club Ultimate,"Washington, District of Columbia",,,https://twitter.com/Gdub_Ultimate
coaches,Jackson Gode,Bridgette Heine
0,Alexander Winnett
1,Levi Crossan
3,Connor Walsh
4,Joshua Lench
6,Keaton Dudley
9,Jonah DiGiacomo
02,Ben Brown
11,Koen Kyer
12,John Ronel
15,Raphael Kellner
17,Evan Campbell
18,Lucas Lesburg
22,Zachary Brody
23,Charles Walters
24,Daniel Davis
25,Myles Wasserman
27,Travis Lee
28,Moses Mann
30,Maxwell Katz
32,Chris Briggs
37,Dill Eisendrath
56,Mason Levitt
78,Eytan Carolan
