South Central D-I College Men's Regionals,College - Men ,26,4,2025
Tulsa,OK,2025-04-26,2025-04-27
https://play.usaultimate.org/events/South-Central-D-I-College-Mens-Regionals-2025/schedule/Men/CollegeMen/
Colorado,1
teamInfo,Mamabird,"Boulder, Colorado",http://www.mamabird.com/,https://www.facebook.com/University-of-Colorado-Mamabird-361160030582581,https://twitter.com/CUMamabird
coaches,Jonathan Nethercutt,Akane Kleinkopf
00,Curtis Pakgross
00,Omar  Semrin
00,Tobias Brooks
00,Will Barnouw
01,Zeke Thoreson
02,Zach Weiss
03,Thomas Tasker
04,Finn Dougherty
05,Daniel Bauman
06,Axel Hartzog
07,Gaurav Prasad
08,Levi Tapper
09,Rami Rifaat
10,Alex Yu
11,Ezra Thoreson
12,Benton Shevlin
13,Daniel Williams
14,Sam Kilgore
15,Geoffrey Tucker Kalmus
21,Zackary Bacon
22,Nicholas Kleinhelter
23,Elliot Hawkins
27,Lukas Alexander
34,Ethan Burgess
42,Ryan Allenson
46,Nanda Min-Fink
58,John Baggenstoss
66,Ryan Shigley
72,Max Van Sickle
89,Juan Castillero
91,Joe Michaud
b,r,e,a,k
Denver,8
teamInfo,Sourdough,"Denver, Colorado",https://denversourdough.wixsite.com/du-sourdough,,
00,Andrew Lukasewycz
00,Jacob Russell
00,John Migchelbrink
01,Justin Blake
03,Zach Braunstein
05,Jason Kaplan
07,Tobias Holme
09,Jack Sanda
10,Gavin Stevens 
11,Mason Charney
12,Cooper Antin
13,Avery Fowler
14,Dalton Ward
16,Noam Halpern
21,Carver Ward
22,Egan Doherty
45,Zac Wise
52,Alexander Fleming
95,Noah Alleman
b,r,e,a,k
Saint Louis,11
teamInfo,Archangel,"St. Louis, Missouri",,,https://twitter.com/Archangel_SLU
00,Adam Zabel
00,Alex Davis
00,Ardian Hoxhaj 
00,Biraj Pokhrel
00,Brian Weigus
00,Brian Leesman
00,Caleb Yatchak
00,Carson Enge
00,Conor Corcoran
00,Daniel Juergens
00,Derian Ryker
00,Gavin Martin
00,Grant Gorman
00,Grant Thornberry
00,Henry Davis
00,Ian Roudebush
00,Jared Thornberry
00,Martín Olmedo
00,Max Yue
00,Rahul Chetty
00,Russel Hymel
00,Samuel Liu
00,Sean Gillen
00,Shane Grippi
00,Tamish Sapkota
00,Trenton Schultz
00,Willow Parker
17,Matthew Kolnik
b,r,e,a,k
Arkansas,14
