Santa Barbara Invite 2025,College - Women ,24,1,2025
Goleta,CA,2025-01-24,2025-01-26
https://play.usaultimate.org/events/Santa-Barbara-Invite-2025/schedule/Women/CollegeWomen/
Cal Poly-SLO,16
teamInfo,SLO Motion,"San Luis Obispo, California",https://cpslomotion.wixsite.com/home,https://www.facebook.com/cpslomotion,https://twitter.com/cpslomotion?lang=en
02,Madelyn Cruz
03,Megan Wong
05,Brooke Nishida
06,Molly Middlebrook
07,Mackenzie Bice
09,Mary Jane Hartman
10,Zoe klement
11,Nora Snyder
12,Poppy DeArmond-MacLeod
13,Sydney Alexander
15,Corrina  Blakemore
16,Hanna Lee
19,Tucker Donahue
22,Cece Hildreth
23,Margo Donahue
25,Katherine Jackson
26,Molly Sandler
28,Charis Gray
29,Louisa Rudo
33,Stella Romeo
35,Ella Blaney
50,Lia Romeo
64,Bryn Harper
66,Sofia Daniels
88,Lauren  Sprague
b,r,e,a,k
California-Santa Barbara,6
teamInfo,Burning Skirts,"Goleta, California",,https://www.facebook.com/BSkirts/,https://twitter.com/BSkirts?lang=en
01,Emaline Alikian
02,Sofia Eden
03,Riley Raker
04,Kailani Latimer
06,Aya Smoot
07,Carrie Teichrow
08,Laura Blume
09,Mikayla Seidler
11,Cora Reese
12,Grace Craig
13,Cindy Yang
14,Devin Quinn
15,Gabby Wang
16,Kaia Emery
17,Catrina Sada
18,Ella Khoury 
20,Tara Escobar
22,Helen Sweeney
23,Ariana O'Shea
27,Danielle Michiels
30,Olivia Crump
33,Emma Crump
36,Jillian Fischer
44,Daisy Cuthbert
60,Amelia Whitacre
88,Marlaina Lascano
b,r,e,a,k
Brigham Young,11
teamInfo,CHI,"Provo, Idaho",,,
0,Becky Stevens
0,Carly Nash
0,Errolyn Slaugh
0,Karinn Sharp
0,Lindsey Barlow
0,Mahalie Barlow
0,Margaret Davis
0,Michelle Haddock
0,Olivia Munns
12,Tami Lee
16,Nicole Merrill
49,Tara McBride
81,Autumn Porter
b,r,e,a,k
British Columbia,1
teamInfo,Thunderbirds,"Vancouver, British Columbia CA",http://www.recreation.ubc.ca/sport-clubs/ultimate-w/,https://www.facebook.com/UBCWomensUltimateSC/,https://twitter.com/ubcwomensulti
coaches,Edward Guo,Jonathan He
02,Abigail Grunenberg
03,Claire Weng
07,Noor Al-Tabbaa
09,Shaelyn Woo
12,Audrey Nichols
13,Nina Tsai
15,Ella Bolan
17,Madison Ong
19,Mandy Li
