Northeast Classic 2025,College - Men ,29,3,2025
Middletown,NY,2025-03-29,2025-03-30
https://play.usaultimate.org/events/Northeast-Classic-2025/schedule/Men/CollegeMen/
Penn State (B),1
teamInfo,Revolution,"Ewing, New Jersey",http://www.tcnj.edu/~frisbee/revolution/index.php,,https://twitter.com/TCNJ_Revolution
0,Aaron Zimmer
0,Aidan Mullarkey
0,Brian Dettlinger
0,Brian Devlin
0,Christian Cota
0,Colby Browning
0,Ethan Krempel
0,Jake Garza
0,John Van Horn
0,Joseph Pappone
0,Joshua Coleman
0,Nayan Patel
0,Philip Aufiero
0,Raymond Wright
0,Robert Rallo
0,Sean Willi
0,Matthew Moradian
0,Yarden Merin
4,John Supple
8,James Fencik
10,Matt Demareski
13,Marco Guadagno
18,Shawn McStravock
27,Cormac Riley
31,Nathanael Moore
36,Macy Desmond
b,r,e,a,k
Middlebury (B),11
teamInfo,Branksters,"Middlebury, Vermont",https://go.middlebury.edu/prankstersultimate,https://www.facebook.com/MiddleburyPranksters,https://twitter.com/Branksters69
0,Adam Burchell
0,Adrian Toland
0,Aidan Garcia
0,Anthony Pezza
0,Ben Walker
0,Charles Witter
0,Chris Clyne
0,David Hixon
0,Eric Asherman
0,Evan Yurko
0,Kieran Cross
0,Max Blumenthal
0,Maxwell Tankersley
0,Nathaniel Belman
0,Nathaniel Rubens Goldfarb
0,Paul Minock
0,Quinn Riordan
0,Riley Foushee
0,Ryan Carron
0,Seamus Flannery
0,Theodore Howard
0,Thomas Walsh
b,r,e,a,k
West Chester (B),12
teamInfo,B,"West Chester, Pennsylvania",,,
0,Aidan Duffy
0,Griffin Wentzel
0,Mason Conti
8,Eli Moore
9,Charlie Carlton
17,CJ Puia
20,Aidan Walsh
25,Lucas Kluender
26,Erich Daringer
28,Kade Markussen
31,Joseph Montanaro
34,Charles DeWane
44,Cody Rosier
47,Kevin Pribadi
49,Tate Shortlidge
52,Chase Zemitis
55,Ryan Carter
62,Ben Hirshey 
82,Benjamin Klosowsky
88,Michael Garcia
91,Thomas Burke
b,r,e,a,k
Hofstra,14
teamInfo,Flying Dutchmen,"Hempstead, New York",,,@HUFDUltimate
0,Christopher  Shea 
0,Julia Mills
0,Matthew Arshad
0,Parker Hipp
0,Robert Shea
0,Finn Mathews
0,Jake Olney
0,Sam Gibney
0,Steven Samuel
0,Will Jones
3,Robert Beanland
5,Eevie Silvia
38,Caleb Rockhill
57,Joseph Cicione
63,David Addison
b,r,e,a,k
Stevens Tech,17
teamInfo,Stevens Tech,"Hoboken, New Jersey",,,
coaches,Paul Demopoulos,Kieran Baguiwet
0,Anthony Smoaks
0,Benjamin Herring
0,Caeleb Chendorain
0,Elliott Iwaki
0,Oscar Schlimer
0,Ryan Breen
0,Kara Long
0,Luke Evanego
7,Charles  Canata
18,Mihir Savalia
24,Jerson Yang
25,Samuel Strassburger
27,Aidan Ouckama
28,Jack Morrison
29,Alexander Lupia
31,William Hines
b,r,e,a,k
Vermont (C),18
teamInfo,Chill B,"Burlington, Vermont",,https://www.facebook.com/Team.Chill.33/,https://twitter.com/team_chill?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
0,Adam Smith
0,Andrew Ventura
0,Ethan Riddell
0,Jack Giese
0,Jacob McCoy
0,Lior Cohen
0,Mateo Bolen
0,Max Schibel
0,Sorin Kacmarczyk
0,William Brew
7,Grady Nautel
b,r,e,a,k
SUNY-Albany (B),21
teamInfo,SCAM,"Albany, New York",,,
0,Antonio  Crespo Jr
0,Benjamin Brussovansky
0,Benjamin Rosenberg
0,Godwin Wilson-Livingstone
0,Joseph Baker
0,Kiera O’Brien
0,Makiah DesJardins
0,Matthew Burns
0,Nicole Griff
0,Ryan Peterson
0,Thane Simera
0,William Maier
0,Xander Adames
12,Grey Torres-Chan
21,Alex Castracane
25,David Green
28,David Mugulusi
34,Rowan Cataldo
41,Dylan Orlando
49,Connor Allen
b,r,e,a,k
Rowan,15
teamInfo,Ruf Riders,"Glassboro, New Jersey",https://www.instagram.com/rowan.ultimate/,https://www.facebook.com/RowanUltimate,https://twitter.com/Rowan_Ultimate
0,Brennan Coulton
0,Chazz Ruiz
0,Colin Graves
0,Ian Gustavson
0,Miles Dawson
0,Oliver Conrad
0,Stephen  Fasolo 
1,Kyle Cahill
6,John Hayes
7,Lucas Thomas
10,Robert Callahan
11,Nicholas Raguseo
13,Anthony  Callahan
14,Ryan McManus
17,Francis Luby
18,Christopher Cocciadiferro
22,Ryan Cook
24,Benjamin Idzahl
25,Liam Mitchko
28,Logan Trayner
31,Timothy Jennings
33,Brendan Engelhardt
99,Russell Williams
b,r,e,a,k
SUNY-Binghamton (B),16
teamInfo,SUNY-Binghamton B,"Binghamton, New York",https://sites.google.com/binghamton.edu/binghamtonultimate/,https://www.facebook.com/binghamtonultimate/,
0,Matthew D'Angelo
04,Rory Jacobs
08,Aidan Goode
11,Austin Cincotta
14,Matthew Tibbals
15,Lucas Hopkins
17,Christopher Milito
18,Samuel Levine
23,Caleb Huchro
25,Robert Olbon
26,Jaron Rosenberg
27,Mert Yolseven
28,Ved Patel
32,Christopher Leon
37,Caleb Carpenter
41,Cavan Hicks
48,Lyle Haber
50,Daniel Colon
52,Noah Capello
63,Jack Lawler
65,Nicholas Ciavarella
69,Ryan Ragaini
75,Jake Fostvedt
80,Gregory Fava
88,Matthew Stancampiano
b,r,e,a,k
Siena,19
teamInfo,Siena Saints,"Albany, New York",,,
0,Conner Whalen
0,Gabriel Philipp
0,Hannah Ruddy
0,Jonathan Richardson
0,Justin  Durand
0,Keira Musial
0,Matthew  Lizzo
0,Milo Zlatev
0,Owen Grabicki
0,Patrick Collins
0,Russell Silberger
0,Victoria Cusato
14,Samuel Garno
15,Lilia Collard
85,Jayden Sleight
b,r,e,a,k
Pennsylvania Western,20
teamInfo,Haggis,"Edinboro, Pennsylvania",,https://www.facebook.com/HaggisUltimate/,https://twitter.com/haggisultimate
0,Karina Wismer
0,Lucas Weismiller 
0,Morgan  Harris
0,Nicholas Simonette
0,Olivia Waters
0,Ronald Ratliff
0,AJ Bendure
0,Elley Eastman
2,Derek Johnson
4,Austin Leisher
7,Jordan Napierkowski
9,Sullivan Nelson
17,Virginia Jeffrey
24,Joseph  Carreras
b,r,e,a,k
s,t,a,g,e,s
pools,Pool
pool,Pool A
Penn State (B),SUNY-Cortland,0,0,"03/29/2025, 09:00",Pool A,Scheduled
SUNY-Albany,Haverford,0,0,"03/29/2025, 09:00",Pool A,Scheduled
Penn State (B),Haverford,0,0,"03/29/2025, 10:30",Pool A,Scheduled
Ithaca,SUNY-Cortland,0,0,"03/29/2025, 10:30",Pool A,Scheduled
SUNY-Cortland,Haverford,0,0,"03/29/2025, 12:00",Pool A,Scheduled
SUNY-Albany,Ithaca,0,0,"03/29/2025, 12:00",Pool A,Scheduled
Penn State (B),SUNY-Albany,0,0,"03/29/2025, 13:30",Pool A,Scheduled
Ithaca,Haverford,0,0,"03/29/2025, 13:30",Pool A,Scheduled
Penn State (B),Ithaca,0,0,"03/29/2025, 15:00",Pool A,Scheduled
SUNY-Albany,SUNY-Cortland,0,0,"03/29/2025, 15:00",Pool A,Scheduled
pool,Pool B
Vassar,SUNY-Geneseo,0,0,"03/29/2025, 09:00",Pool B,Scheduled
Army,Cornell (B),0,0,"03/29/2025, 09:00",Pool B,Scheduled
Vassar,Cornell (B),0,0,"03/29/2025, 10:30",Pool B,Scheduled
Army,SUNY-Geneseo,0,0,"03/29/2025, 10:30",Pool B,Scheduled
Vassar,Army,0,0,"03/29/2025, 13:30",Pool B,Scheduled
SUNY-Geneseo,Cornell (B),0,0,"03/29/2025, 13:30",Pool B,Scheduled
pool,Pool C
Skidmore,Middlebury (B),0,0,"03/29/2025, 09:00",Pool C,Scheduled
College of New Jersey,West Chester (B),0,0,"03/29/2025, 09:00",Pool C,Scheduled
Skidmore,College of New Jersey,0,0,"03/29/2025, 10:30",Pool C,Scheduled
Middlebury (B),West Chester (B),0,0,"03/29/2025, 10:30",Pool C,Scheduled
Skidmore,West Chester (B),0,0,"03/29/2025, 12:00",Pool C,Scheduled
College of New Jersey,Middlebury (B),0,0,"03/29/2025, 12:00",Pool C,Scheduled
pool,Pool D
Hofstra,Vermont (C),0,0,"03/29/2025, 09:00",Pool D,Scheduled
Stevens Tech,SUNY-Albany (B),0,0,"03/29/2025, 09:00",Pool D,Scheduled
Hofstra,Stevens Tech,0,0,"03/29/2025, 12:00",Pool D,Scheduled
Vermont (C),SUNY-Albany (B),0,0,"03/29/2025, 12:00",Pool D,Scheduled
Hofstra,SUNY-Albany (B),0,0,"03/29/2025, 13:30",Pool D,Scheduled
Stevens Tech,Vermont (C),0,0,"03/29/2025, 13:30",Pool D,Scheduled
pool,Pool E
Rowan,Siena,0,0,"03/29/2025, 10:30",Pool E,Scheduled
SUNY-Binghamton (B),Pennsylvania Western,0,0,"03/29/2025, 10:30",Pool E,Scheduled
Rowan,Pennsylvania Western,0,0,"03/29/2025, 12:00",Pool E,Scheduled
SUNY-Binghamton (B),Siena,0,0,"03/29/2025, 12:00",Pool E,Scheduled
Rowan,SUNY-Binghamton (B),0,0,"03/29/2025, 13:30",Pool E,Scheduled
Siena,Pennsylvania Western,0,0,"03/29/2025, 13:30",Pool E,Scheduled
b,r,e,a,k
brackets,Bracket
bracket,Championship
b,r,e,a,k
clusters,Saturday Showcase 
cluster,Crossover
Vassar,College of New Jersey,0,0,"03/29/2025, 15:00",,Scheduled
Skidmore,Army,0,0,"03/29/2025, 15:00",,Scheduled
SUNY-Geneseo,West Chester (B),0,0,"03/29/2025, 15:00",,Scheduled
Middlebury (B),Cornell (B),0,0,"03/29/2025, 15:00",,Scheduled
b,r,e,a,k
