D-III River City Showdown 2025,College - Men ,28,2,2025
Richmond,VA,2025-02-28,2025-03-02
https://play.usaultimate.org/events/D-III-River-City-Showdown-2025/schedule/Men/CollegeMen/
Franciscan,1
teamInfo,Fatal,"Steubenville, Ohio",,https://www.facebook.com/franciscanfatalultimate/?fref=ts,
0,Luke Forrester
9,Sam Derendorf
01,Justin Wallace
03,Patrick Fontenot
04,Andrew Carmody
10,James Collins
13,John Cordier
14,Joseph Duerr
15,Nick Canavan
17,Taylor Lange
19,Augustine Schmiesing
21,Anthony Lynch
24,John McDonald
24,Peter Free
27,Brendan Vander Woude
35,Jacob Mayers
36,Maximilian Schmiesing
40,Joe Redmond
44,Nathaniel Scott-Avery
51,Matthew Gregor
58,David Stamp
63,Jude Schmiesing
76,Billy Assaf
98,Luke Updike 
b,r,e,a,k
North Carolina-Asheville,16
teamInfo,UNC Asheville Mudpuppy,"Asheville, North Carolina",,https://www.facebook.com/bulldogultimateunca,https://twitter.com/UNCAshUltimate
coaches,Andrew Mouw
0,Raekwon  Razor
00,Spencer Brotherton
02,Spencer Chandler
03,Forrest Nottingham
04,Hugo Warshauer
08,Atticus Head
09,Gavin Wilgus
10,Owen Stout
11,Jackson Carawan
13,Dawson Mazanek
14,Travis Turner
19,Kyle Bernstein
21,Simon Segovia-Welsh
35,Jackson Stanley
44,Adam Pohl
47,Ethan Rhodes
71,John Deaver
72,Brandon Bass
95,Kevin Stegall
b,r,e,a,k
Kenyon,9
teamInfo,SERF,"Gambier, Ohio",,,https://twitter.com/kenyonserf
0,Aidan Martin-Weinbaum
0,Alexander Goldin
0,Elias Kradel
0,Jack Ross
0,Liberty Evans
0,Max Fishman
0,Paul Snyder
0,Samuel VanderWeele
0,Travis Smith
0,Victoria  Kerrigan
2,Henry Wopschall
3,William Margeson
4,Griffin Meyer
6,Aidan Cullen
10,Nicolas Williams
11,Liam Savona
12,August Greer
14,Henry Markwardt
15,Tobias Hughes
18,Ryan Yarcusko
19,Nicholas Weber
23,Nicholas Forsyth
28,Adam Blum
30,Finn Anders
69,Kyle Boozer
95,Conor Kennealy
99,Micah Arenstein
b,r,e,a,k
Michigan Tech,8
teamInfo,DiscoTech,"Houghton, Michigan",,,https://twitter.com/DiscoTechUlti
coaches,Michael Merwin
1,Donn Bacon
2,Ben Resar
