Jersey Devil 2025,College - Men ,22,3,2025
Princeton,NJ,2025-03-22,2025-03-23
https://play.usaultimate.org/events/Jersey-Devil-2025/schedule/Men/CollegeMen/
Northeastern (C),7
teamInfo,Salty C Dogs,"Boston, Massachusetts",https://web.northeastern.edu/clubsports/ultimate-frisbee-m/,https://www.facebook.com/NUMensUltimate,https://twitter.com/NUMensUltimate
0,Alexander Ingare
0,Arjun Vellimedu
0,Austin Philp
0,Benjamin Seidman
0,Cooper Rivard
0,Elijah Sandler
0,Jasper Kennedy
0,Jordan Flores
0,Kaushal Jha
0,Kevin Leong
0,Logan Boyers
0,Lucas Pastor
0,Michael Gold
0,Nicholas Payson
0,Rex McCurdy
0,Rohan Sheth
0,Ryan Berry
0,Sebastian Neff
0,Srivibhu Yerneni
0,Zachary Ryan
7,James Hopkins
19,Varun McIntyre
31,Matthew Rock
55,Ethan White
69,Tyler Smithtro
b,r,e,a,k
Penn State (B),2
teamInfo,LoveTap,"University Park, Pennsylvania",,,https://twitter.com/LovetapDisc
0,Alan Maher
0,David Levitt 
0,Ethan Levin
0,Jan Sames
0,Joshua Freshly
0,Luke Stretch
0,Terry McGinty
0,Tyler Baglieri
1,Gabriel Rosenberg
5,Ryan Connor
8,Michael Nipper
11,Brian Medrow
12,Ryan Kempster
15,Jeremy Mack
23,Harrison Findley
24,Ajani Knorr
26,Ryan McGurrin
26,Daniel Nipper
27,Hunter Allen
45,Noah Coyne
48,Ethan Dunmire
b,r,e,a,k
Lehigh (B),5
teamInfo,Lehigh-B,"Bethlehem, Pennsylvania",,,https://twitter.com/BehighUnited
0,Elliot Padrick
0,Elliott Kimball
0,Ethan Lesser
0,Jacob Rush
0,Jakob Schlosser
0,Joe Dupree
0,Nathan Ippolito
0,Nathaniel Finley
0,Patrick Tillinghast
0,Matthew Bergin
0,Matthew Weber
0,Will Trend
0,Zachary Griffin
9,Luke Walmsley
79,Ryan Cleary
88,Nate Goren
b,r,e,a,k
Villanova,1
teamInfo,Main Line Ultimate,"Villanova, Pennsylvania",http://villanovaultimate.weebly.com,,https://twitter.com/VUMainLine
0,Sam Cockrell
2,Nicholas Guenther
4,David Pinkowsky
5,Conner Morris
7,Ryan Murphy
8,Zachary Wagner-Pizza
06,Tommy Cruz
10,Evan Schwarzmann 
11,Ethan Lewis
13,Evan Stockmal
17,Ethan Anders
20,Joseph Kalamarides
21,Jordan Humdy
26,Nicholas Guillet
27,Carl Soderman
33,Max Allen
