2025 Southeast Mixed Regional Championship,Club - Mixed ,20,9,2025
Winston-Salem,NC,2025-09-20,2025-09-21
http://play.usaultimate.org/events/2025-Southeast-Mixed-Regional-Championship/schedule/Mixed/Club-Mixed
Toro,1
teamInfo,,"Durham, North Carolina",,https://www.facebook.com/ToroUltimate/,https://twitter.com/ToroUltimate
coaches,Matthew Raskind,Michael Meilstrup
01,Jinny Riedel
02,Claire Bidigare-Curtis
04,Zac Byrnes
07,Grayson Sanner
08,Maya Powell
09,Jacob Mouw
11,Player Pierce
12,Katie Backus
14,Dayla Woller
15,Carmen Tormey
16,Anil Driehuys
17,Tatiana Proksch
18,Jacob McGoogan
21,Julia Hoffmann
23,Caitlin Gross
24,William Coffin
28,Claire Revere
29,Elijah Long
30,Andrew McKelvey
32,Annie Bocko
34,Matthew Wilson
43,Marcus Rovner
45,Brett Matzuka
85,Owen Stout
88,Madeleine Pletzke
99,Georgia Tse
b,r,e,a,k
Roma Ultima,8
teamInfo,,"ATL, Georgia",https://www.instagram.com/romaultima/,,
1,Spencer Pennington
01,Megan Jarriel
02,Cori Bradham
03,Karsen Brantley
04,Malia Ellard
06,Morgan Dale
07,Jonathan Su
08,Jordyn Churchwell-Garcia
09,Sarah Lang
10,Matthew Wang
11,Walter Ellard
12,Aidan Meek
13,Nicholas Smith
14,Ashleigh Dunlop
16,Gloria Wu
22,Jon Ross Ingley
23,Ivan Khoo
25,Robert Bradham
28,Chris Gmeiner
47,Anna Graham
50,Miles Lally
52,Ian VanOrder
72,Annalise Paul
76,Jeffrey Minowa
88,Jasmine Yap
b,r,e,a,k
Pyro,14
teamInfo,,"Huntsville, Alabama",https://www.instagram.com/huntsville_pyro?igsh=MWl5a3lzYmVxZHV0MQ%3D%3D&utm_source=qr,,
coaches,Horace Wilson
0,Grace Blevins
0,Landon Hunter
0,Mary-Hannah Jenkins
01,Jason Price
02,Holly Sillivant
03,Josh Brown
04,Mary Cagle
06,Matt Williams
08,Kendall Brown
09,E'lana Parnell
11,Conner Lough
13,Sandy Taylor
18,Alec Minnicks
19,Robert Alongi
22,Zoey Rape
23,Elias Pilgrim
33,Reyn Pilgrim
36,Chris Walls
37,Joseph Branson
40,Alejandro Guerrero
54,Elijah McKinley
78,Andrew Rake 
80,Sarah Woodard
88,Thomas O'Donnell
95,Stacy Solomon
