Presidents' Day Invite 2025,College - Men ,15,2,2025
La Jolla,CA,2025-02-15,2025-02-17
https://play.usaultimate.org/events/Presidents-Day-Invite-2025/schedule/Men/CollegeMen/
Oregon,1
teamInfo,Ego,"Eugene, Oregon",oregonego.com,https://www.facebook.com/OneBigEgo/,https://twitter.com/egotime
coaches,Braedon Petrus,Dylan Freechild,Connor Matthews,Trevor Smith
4,Alex Hall-Witt
8,Adam Wulkan
9,Marcus Beidler
14,Nicholas Cao
15,Chander Boyd-Fliegel
17,Jason Gutstadt
18,Marco Muralles
21,Jonah Hammes
23,Julian Saunt
24,Mica Glass
26,Raekwon Adkins
27,Mason  Weybright
28,Max Massey
42,Emile Starkweather
45,Beckett Sessums
48,Ben Horrisberger
72,Aaron Kaplan
77,Jackson Heglie
81,Emmett Warner
89,Isaac Blumklotz
99,Marcus Lee
99,Bryce Jackson
99,Daniel Collier
99,Akash McMinnn
99,Nathan Williams
99,Theo Kojan
99,Will Dillender-Kinast
b,r,e,a,k
Northeastern,8
teamInfo,Huskies,"Boston, Massachusetts",http://www.ultimate.neu.edu/men,https://www.facebook.com/NUMensUltimate,https://twitter.com/NUMensUltimate
coaches,Dan Hourigan,Timothy Bobrowski,Angela Zhu
01,Skyler Davidman
02,David Owyang
03,Benjamin Saterbak
04,Krish Vasisht
05,Matias Ng
06,Isaiah Jones
08,Sunay Patel
09,James (Jimmy) Beckman
10,Ben Chamis
11,Peter Boerth
12,Ramsey Elder
13,Jackson McGuinness
14,Sean Jaffe
15,David Pinto
17,Samuel Freedman
18,Ciaran Pratley
21,Dallon Archibald
22,Jack Simmons
23,James McElheny
24,Michael Katz
30,Nathaniel Cramer
31,Griffin Majer
32,Jackson biggs
47,Landon Schopp
91,Kalten Toone
b,r,e,a,k
California-Santa Barbara,13
teamInfo,Black Tide,"Santa Barbara, California",,https://www.facebook.com/black.tide.50?fref=ts,https://twitter.com/UCSB_Ultimate
0,Kaden Nguyen
2,Derek Rojas
4,Everett Grass
5,Tyler Janous
6,Colin Baylis
9,Finn Marti
10,Daniel Hwang
11,Brendan McGuinness
14,Maxwell Fong
15,Michael Demonteverde
17,Dakota Bonilla
20,Lennon Brandt
21,Steven Olson
22,Luke Weaver
23,Alex Cheng
24,Austin Thornburgh
26,Rowan King
27,Phillip Loo
30,Elijah Geduldig
36,Joah Siegel
38,Ryan Grossklaus
42,Nathan Johnson
55,Cameron Lay
69,Sam Nosler
88,John Harllee
99,Wyatt Dunn
b,r,e,a,k
California-San Diego,12
teamInfo,Air Squids,"San Diego, California",,,
0,Aidan Reedy-Schneider
0,Ari Mendel
0,Bodhi Brenner
0,Bradley Zanteson
0,Charlie Wilson-Jackson
0,Cireus Eghtessadi-Reed
0,Cullen Bruner
0,Daniel Bonkowsky
0,David Schwartz
0,Eli D'Amico
0,Ghislain Demeester
0,Ivan Fisher
0,Janeil Guada
0,John Loftus
0,Jonathan McGurrin
0,Oscar Marzocco
0,Param Shah
0,Tom Duraisingh
0,Trey Scheid
0,Tyler Kurpanek
0,Tyler Bourke
0,Tynan Sander
0,Nate Becker
17,Nico Nonemaker
22,Ethan Wang
64,Nikhil Banwar
69,Max Gibson
69,Nadeem Kamel
b,r,e,a,k
Colorado,2
teamInfo,Mamabird,"Boulder, Colorado",http://www.mamabird.com/,https://www.facebook.com/University-of-Colorado-Mamabird-361160030582581,https://twitter.com/CUMamabird
coaches,Akane Kleinkopf
1,Tobias Brooks
1,Zeke Thoreson
3,Thomas Tasker
4,Finn Dougherty
5,Daniel Bauman
6,Axel Hartzog
7,Gaurav Prasad
8,Levi Tapper
9,Rami Rifaat
10,Alex Yu
11,Ezra Thoreson
12,Benton Shevlin
13,Daniel Williams
14,Sam Kilgore
15,Geoffrey Tucker Kalmus
17,Curtis Pakgross
20,Will Barnouw
21,Zackary Bacon
22,Nicholas Kleinhelter
23,Elliot Hawkins
26,Omar  Semrin
27,Lukas Alexander
34,Ethan Burgess
42,Ryan Allenson
46,Nanda Min-Fink
58,John Baggenstoss
66,Ryan Shigley
72,Max Van Sickle
89,Juan Castillero
91,Joseph Michaud
b,r,e,a,k
Victoria,7
teamInfo,Vikes,"Victoria, British Columbia CA",www.uvicultimate.com,https://www.facebook.com/UVictimUltimate,https://twitter.com/uvictimultimate
0,Alex Longe
0,Benjamin Grieser
0,Carter Dundass
0,Dylan Cochrane
0,Hunter Cochrane
0,James Edgell
0,Kane Harper Tubbs
0,Lochlan Margison
0,Marcel Studer
0,Max Kapuscinski
0,Nathan Dailly
0,Ryan  Loui-Ying
0,Taishi Fukuda
0,Taiyo Forsyth
0,Tyler  Jones
1,Nyle Lebbell
1,Desmond Burns
3,Richard Mcleod 
8,Gregory Bian
12,Markus Hernandez
14,Ian Robinson
19,Tasman Millen
27,Ian McLaren
53,Benjamin Savage
55,Ben Baird
69,Max Pettenuzzo
88,Ben Lefevre
b,r,e,a,k
Stanford,14
teamInfo,Stanford Men's Ultimate Team,"Stanford, California",,,
coaches,Christian Cortes
0,Alex Ecker
0,Alexander Belfiore
