2025 Mid-Atlantic Men's Regional Championship,Club - Men ,20,9,2025
Frederica,DE,2025-09-20,2025-09-21
http://play.usaultimate.org/events/2025-Mid-Atlantic-Mens-Regional-Championship/schedule/Men/Club-Men/
Philadelphia Pacmen,1
28,Marcus Lee
30,David Bloodgood
31,Christian Boxley
32,Andrew Roy
33,Jared Bennett
37,Miles Grovic
45,Jeff Wodatch
52,Gus Norrbom
57,Jasper Tom
73,Frederick Farah
81,Sean Mott
b,r,e,a,k
Crypt,7
teamInfo,,"Richmond, Virginia",https://linktr.ee/rvacrypt,https://www.instagram.com/rvacrypt/,https://twitter.com/rvacrypt
coaches,Andy Routzahn,Trent Tolley
01,Corey Vaccaro
09,Alexander Williamson
10,Mehmet Kutlug
12,Sam Bean
13,Caleb Riener
15,Thomas Edwards
17,Andrew Byers
18,Eric Harnisher
19,James Dangler
20,Dylan Hitt
21,Akram Abudheer
22,Matthew Taleghani
23,Ryan Reynolds
24,Trent Cooper
27,Jericho Payne
35,Clay Rosselot
41,Michael Chisholm
47,Alper Kutlug
56,Owen Donovan
57,Matias Pineiro
64,Kai Jensen
66,Nicholas Gigliotti
69,Joe Spaeth
77,Ben Doniger
81,Colin Doescher
95,Ryan Lowe
b,r,e,a,k
Pittsburgh Stealers,9
teamInfo,,"Pittsburgh, Pennsylvania",,,@stealerspitt
0,Adam Assaad
0,Allen Rakers
0,Aman Guruacharya
0,Colin Daines
0,Daniel Tometich
0,Jared Kartschoke
0,Paul Michael Healy
0,William Litchholt
2,Joseph Rowley
4,Joshua Morton
9,Joe Dosch
12,Max Sprigg-Dudley
17,Chris Chang
18,Elliot Hare
18,Peter Ricci
19,Aidan Catalano
23,Eliot Duncan
25,Graham Barton
29,Everitt Meer
56,James Alzona
72,Jake Sperry
97,Jacob Szafranski
b,r,e,a,k
s,t,a,g,e,s
pools,Clipped Pools
pool,Pool A
Philadelphia Pacmen,Rebels,13,3,"09/20/2025, 11:15",Pool A,Final
Rumspringa,MOB Ultimate,13,7,"09/20/2025, 11:15",Pool A,Final
Philadelphia Pacmen,Rumspringa,13,4,"09/20/2025, 13:00",Pool A,Final
MOB Ultimate,Rebels,12,13,"09/20/2025, 13:00",Pool A,Final
pool,Pool C
Pittsburgh Temper,Hazard,13,5,"09/20/2025, 11:15",Pool C,Final
Oak Grove Boys,John Doe,13,6,"09/20/2025, 11:15",Pool C,Final
Pittsburgh Temper,Oak Grove Boys,9,13,"09/20/2025, 13:00",Pool C,Final
John Doe,Hazard,13,8,"09/20/2025, 13:00",Pool C,Final
pool,Pool D
Vault,EZ,13,1,"09/20/2025, 11:15",Pool D,Final
Garden State Ultimate,Town Hall Stars,11,8,"09/20/2025, 11:15",Pool D,Final
Vault,Garden State Ultimate,13,6,"09/20/2025, 13:00",Pool D,Final
Town Hall Stars,EZ,11,6,"09/20/2025, 13:00",Pool D,Final
b,r,e,a,k
pools,Pool B
pool,Pool B
Truck Stop,Pittsburgh Stealers,13,1,"09/20/2025, 09:30",Pool B,Final
Crypt,Pittsburgh Stealers,13,9,"09/20/2025, 11:15",Pool B,Final
Truck Stop,Crypt,13,2,"09/20/2025, 13:00",Pool B,Final
b,r,e,a,k
brackets,Brackets
bracket,1st Place
Philadelphia Pacmen,Truck Stop,9,15,"09/21/2025, 12:00",1st Place,Final
Philadelphia Pacmen,Vault,15,7,"09/20/2025, 14:45",Semis,Final
Truck Stop,Oak Grove Boys,15,6,"09/20/2025, 14:45",Semis,Final
bracket,2nd Place
Philadelphia Pacmen,Vault,0,0,"09/21/2025, 14:00",2nd Place,Scheduled
Vault,Oak Grove Boys,15,12,"09/21/2025, 12:00",2nd Semis,Final
Vault,Pittsburgh Temper,15,13,"09/21/2025, 10:00",2nd Quarters,Final
Rumspringa,Oak Grove Boys,7,15,"09/21/2025, 10:00",2nd Quarters,Final
Pittsburgh Temper,Crypt,13,5,"09/20/2025, 16:30",2nd Pre-Qs,Final
Rumspringa,John Doe,15,6,"09/20/2025, 16:30",2nd Pre-Qs,Final
Pittsburgh Temper,Town Hall Stars,11,6,"09/20/2025, 14:45",2nd First Rd,Final
Rebels,Crypt,11,13,"09/20/2025, 14:45",2nd First Rd,Final
Rumspringa,Pittsburgh Stealers,1,0,"09/20/2025, 14:45",2nd First Rd,Final
John Doe,Garden State Ultimate,13,11,"09/20/2025, 14:45",2nd First Rd,Final
bracket,5th Place
Pittsburgh Temper,Rumspringa,0,0,"09/21/2025, 12:00",5th Place,Scheduled
bracket,7th Place
Crypt,John Doe,9,12,"09/21/2025, 10:00",7th Place,Final
bracket,9th Place
Garden State Ultimate,Town Hall Stars,0,0,"09/21/2025, 12:00",9th Place,Scheduled
Rebels,Garden State Ultimate,13,15,"09/21/2025, 10:00",9th Semis,Final
Town Hall Stars,Pittsburgh Stealers,15,11,"09/21/2025, 10:00",9th Semis,Final
EZ,Garden State Ultimate,7,15,"09/20/2025, 16:30",9th Quarters,Final
Town Hall Stars,Hazard,13,8,"09/20/2025, 16:30",9th Quarters,Final
MOB Ultimate,Pittsburgh Stealers,11,13,"09/20/2025, 16:30",9th Quarters,Final
bracket,11th Place
Rebels,Pittsburgh Stealers,12,0,"09/21/2025, 12:00",11th Place,Final
b,r,e,a,k
pools,13th-15th Consolation Pool
pool,Pool C
Hazard,MOB Ultimate,11,10,"09/21/2025, 10:00",Pool C,Final
EZ,MOB Ultimate,0,0,"09/21/2025, 12:00",Pool C,Scheduled
EZ,Hazard,0,0,"09/21/2025, 14:00",Pool C,Scheduled
b,r,e,a,k
