Heavyweights 2025,Club - Men ,12,7,2025
Aurora,IL,2025-07-12,2025-07-13
https://play.usaultimate.org/events/Heavyweights-2025/schedule/Men/Club-Men/
Colonels,1
99,Lucas Frede
b,r,e,a,k
Scoop,13
teamInfo,,"Cleveland, Ohio",,,
0,Bryce Mashimo
0,Daniel Fleming
0,Denton Ryan
0,Derek Lin
0,Griffin Slesinger
0,Henry Weismann
0,james brennan
0,Jason Zhou
0,Lekh Murthy
0,Ethan Sloat
0,Mason Clay
0,Nathan Trudell
0,Samuel Qin
0,Trevor Knierim
0,Zach Shell
5,Pete Digre
7,Gavin Latona
7,Cale Everroad
19,Michael Atkinson
21,Ben Alexander
25,Alexander Hunkins
25,Dominic Policarpo
55,Samuel Marshall
76,Logan Heck
77,Vonterio Duncan
b,r,e,a,k
WOMP,7
teamInfo,,"Centennial Park, Tennessee",,,
01,Daniel Gerregano
02,Geofrey Friedman
03,Cameron Thompson
06,Will McAfee
08,Cameron Guidry
09,Adam Wang
11,Kai Mehra
12,Philip Throckmorton
15,Jake Shoyer
17,Aaron Jolly
18,Collin Dabbieri
19,William Dickens
20,Mikeie Reiland
23,Charles Kidd
31,Jack Barrow
33,Jordan Hill
34,Daniel Lynch
85,Aaron Wilder
99,Giri Peters
b,r,e,a,k
Chimney,4
teamInfo,,"Cleveland, Ohio",,,
0,Benjamin March
0,David Picone
0,Evan Howey
0,Jacob Rollins
0,Sam King
0,Vlad Estrin
4,Jacob Bultman
9,Christopher Auman
02,Malachi Marshall
11,Matthew Sullivan
12,Simon Korotzer-Mariani
22,John  Iannetta 
23,Chris Graber
28,Ryan Ward
29,Daniel Shen
41,Noah Saidel
51,Andrew Thompson
77,Ian Knaus
b,r,e,a,k
DeMo,14
teamInfo,,"Des Moines, Iowa",,,https://twitter.com/demoultimate
0,Adam Levine
0,Andrew McCartan
0,Brett DeHoogh
0,Camden Boyde
0,Ellis Perniel
0,Ethan Levine
0,Jacob  Shockley
0,Jaden Alamsya
0,Tanner Goetsch
0,Taylor Beron
0,Tom Verdoorn
3,Richard TeKippe
8,Joseph Kosterman
9,Scott Wilson
11,Piers Collier
13,Nadir Nimry
15,Matthew Baird
16,Colin Stroehle-Durrah
16,Daniel Tarasi
17,Timothy Swanson
33,Austin DeHoogh
35,Caleb Lundeen
45,Devon Lord
69,Neal Patel
87,Nicholas Wood
b,r,e,a,k
Zoo Animals,24
teamInfo,,"Kalamazoo, Michigan",,,
1,John Peterson
02,Ben Resar
10,James Pekel
11,Joshua Kozlowski
11,Ryan Schwartz
12,Alex Dugas
16,David LaDuke
17,Michael Huang
22,Austin Chapin
23,Isaac Hannewald
25,Dallas Fisher
33,Quinten Burlew
64,Tomokai Timmer
77,Grant Ruschak
82,Isaac Van Doornik
96,Daniel Laritz
b,r,e,a,k
NOMAD,17
teamInfo,,"Edina / St. Louis Park , Minnesota",https://www.nomadultimate.com/home,,
0,Alex Theriot
0,Clayton Horstman Olson
0,Drew Mast
0,Erik Lindell
0,Ethan Galles
0,Kason Olson
0,Luca Alvarez
0,Max Muench
0,Nate Benishek
0,Neale Grage
3,James Harvey
9,Andrew Yakes
11,Eli Lessin Burris
16,Jay Lonetree
17,Aaron Casey-Fix
22,Boden Oelhafen
33,Brett Duncan
44,Graham Imholte
66,Clayton Rabe
68,Maclain  Everson-Rose 
b,r,e,a,k
Tanasi,5
teamInfo,,"Tennessee, Tennessee",,,https://twitter.com/TanasiUltimate
0,Braden Beebe
0,Camden Eslick
0,Alex Stevenson
0,Jeffrey Flanagan
0,Matthew Peterson
0,Neil Taylor
0,Pryce Bevins
0,Steele Davies
0,Sterling Grant
0,Timothy Lumsdaine
0,Graham Barrett
0,James Kloss
0,William Stickles
2,Anthony Hoenie
7,Daniel Robinson
10,Jackson Bushore
10,Zeke Plewniak
11,Jacob Felton
14,Colin Flowers
18,Yanni Killebrew
20,David Wilkins
21,Carson Chamberlain
24,Jacob Guzi
28,Charles Cianciolo
80,William Fleming
95,Jared Beazley
b,r,e,a,k
Zoboomafoo,6
teamInfo,,"Madison, Wisconsin",https://www.instagram.com/zoboomafrisbae/,,
0,Hayden West
0,Nicholas Gohar
1,Kendrick Koehler
3,Charles Camilli
5,Joseph Nelson
8,Samuel Erickson
9,Ryan Munger
11,Jacob Calbaum
12,Jack Dipaolo
14,Will Hager
15,Justin Rummelhart
19,August Williams
22,Aaron Stettner
22,Nolan Baxendell
23,Noah Pollack
24,Max Junga
27,Jacob Meves
33,Ian Westerberg
39,Sam Pieper
44,Alex Kreuger
47,Matteo Meyer
77,Max Sponseller
88,Kieran Mandli
91,Michael Merwin
99,Daniel Lang
b,r,e,a,k
Roundhouse,16
teamInfo,,"Chicago, Illinois",,,
0,Andrew Kindseth
0,Ari Wechsler
0,Evan Dobson
0,Jackson Kiedaisch
0,Jacob Ward
0,Jaden Simpson
0,Jake Fujiwara
0,James Karl
0,Kushal Kothapalli
0,Kyle Roke
0,Matthew Conroy
0,Nate Pascale
0,Owen Schleif
0,Theo Conroy
7,Chad Villhauer
9,Marshal Paz
11,Aadit Bhatia
11,Daniel Ruskay-Kidd
14,Shea Sturtevant
19,Griffin Kelley
22,Asher Gottlieb
23,Spencer Weldon
24,Anthony Scibelli
31,Hederik Kosten
37,Luke Owen
74,Anthony Ruzzo
b,r,e,a,k
Minnesota Superior U20B,25
teamInfo,,"Blaine, Minnesota",https://minnesotaultimate.org,,
coaches,Roman Pham,Molly Schwartz
0,Antonio Cervantes
0,Luke Hobday
0,Odin Bowen
2,Cade Ranua
3,Harper O'Dowd
4,Ian Funk
4,Jack Hodgson
5,Henry Wineberg
7,Noah Abbas
8,Niko Flynn Rollin
9,Timothy Parsons
12,Teddy Rich
16,Charlie Acosta
17,Isaac Van Sistine
22,Malik Williams
23,Isaac Boardman
31,Farmaan Abu
42,Rowan Flood
52,Alex Manson
88,Leo Kirsch
96,Marco Herrera
99,Truett Jones
b,r,e,a,k
Diesel,15
teamInfo,,"Ann Arbor, Michigan",,,https://twitter.com/DieselUlti
0,Benjamin Clark
0,Brendan Clancy
0,Landon Gardella
0,Matteo Capodivacca
0,Robert Cann
3,Whitney Gertlar
9,Alexander Nessel
12,Andrew Vieregge
42,Noah Schwalb
44,David Hubbard
89,Samantha Brenz
b,r,e,a,k
s,t,a,g,e,s
pools,MEN'S PP
pool,Pool A
Colonels,Shift,15,6,"07/12/2025, 09:00",Pool A,Final
OPE,Timber,13,15,"07/12/2025, 09:00",Pool A,Final
Colonels,OPE,15,6,"07/12/2025, 10:45",Pool A,Final
Scythe,Timber,8,15,"07/12/2025, 10:45",Pool A,Final
Timber,Shift,14,11,"07/12/2025, 12:30",Pool A,Final
Scythe,OPE,12,11,"07/12/2025, 12:30",Pool A,Final
Colonels,Timber,13,12,"07/12/2025, 14:15",Pool A,Final
Scythe,Shift,10,13,"07/12/2025, 14:15",Pool A,Final
Colonels,Scythe,0,0,"07/12/2025, 16:00",Pool A,Scheduled
OPE,Shift,0,0,"07/12/2025, 16:00",Pool A,Scheduled
pool,Pool B
Trident,Conspiracy Theory,15,4,"07/12/2025, 09:00",Pool B,Final
Fuse,Mischief,15,5,"07/12/2025, 09:00",Pool B,Final
Trident,Fuse,15,12,"07/12/2025, 10:45",Pool B,Final
Cozy Boys,Mischief,15,8,"07/12/2025, 10:45",Pool B,Final
Mischief,Conspiracy Theory,9,13,"07/12/2025, 12:30",Pool B,Final
Cozy Boys,Fuse,10,15,"07/12/2025, 12:30",Pool B,Final
Trident,Mischief,15,7,"07/12/2025, 14:15",Pool B,Final
Cozy Boys,Conspiracy Theory,0,0,"07/12/2025, 14:15",Pool B,Scheduled
Trident,Cozy Boys,0,0,"07/12/2025, 16:00",Pool B,Scheduled
Fuse,Conspiracy Theory,0,0,"07/12/2025, 16:00",Pool B,Scheduled
pool,Pool C
ISO Atmo,Rubicon Rapids,15,5,"07/12/2025, 09:00",Pool C,Final
Scoop,STL Moonar,9,12,"07/12/2025, 09:00",Pool C,Final
ISO Atmo,Scoop,15,7,"07/12/2025, 10:45",Pool C,Final
Knights of Ni,STL Moonar,15,7,"07/12/2025, 10:45",Pool C,Final
STL Moonar,Rubicon Rapids,11,12,"07/12/2025, 12:30",Pool C,Final
Knights of Ni,Scoop,12,6,"07/12/2025, 12:30",Pool C,Final
ISO Atmo,STL Moonar,15,6,"07/12/2025, 14:15",Pool C,Final
Knights of Ni,Rubicon Rapids,15,7,"07/12/2025, 14:15",Pool C,Final
ISO Atmo,Knights of Ni,0,0,"07/12/2025, 16:00",Pool C,Scheduled
Scoop,Rubicon Rapids,0,0,"07/12/2025, 16:00",Pool C,Scheduled
pool,Pool D
Chimney,Zoo Animals,15,6,"07/12/2025, 09:00",Pool D,Final
DeMo,NOMAD,12,10,"07/12/2025, 09:00",Pool D,Final
Chimney,DeMo,15,9,"07/12/2025, 10:45",Pool D,Final
WOMP,NOMAD,15,4,"07/12/2025, 10:45",Pool D,Final
NOMAD,Zoo Animals,11,15,"07/12/2025, 12:30",Pool D,Final
WOMP,DeMo,15,6,"07/12/2025, 12:30",Pool D,Final
Chimney,NOMAD,15,2,"07/12/2025, 14:15",Pool D,Final
WOMP,Zoo Animals,15,3,"07/12/2025, 14:15",Pool D,Final
Chimney,WOMP,0,0,"07/12/2025, 16:00",Pool D,Scheduled
DeMo,Zoo Animals,0,0,"07/12/2025, 16:00",Pool D,Scheduled
pool,Pool E
Tanasi,Minnesota Superior U20B,15,5,"07/12/2025, 09:00",Pool E,Final
Diesel,Roundhouse,10,15,"07/12/2025, 09:00",Pool E,Final
Tanasi,Diesel,15,3,"07/12/2025, 10:45",Pool E,Final
Zoboomafoo,Roundhouse,13,10,"07/12/2025, 10:45",Pool E,Final
Roundhouse,Minnesota Superior U20B,14,11,"07/12/2025, 12:30",Pool E,Final
Zoboomafoo,Diesel,15,8,"07/12/2025, 12:30",Pool E,Final
Tanasi,Roundhouse,15,5,"07/12/2025, 14:15",Pool E,Final
Zoboomafoo,Minnesota Superior U20B,15,10,"07/12/2025, 14:15",Pool E,Final
Tanasi,Zoboomafoo,0,0,"07/12/2025, 16:00",Pool E,Scheduled
Diesel,Minnesota Superior U20B,0,0,"07/12/2025, 16:00",Pool E,Scheduled
b,r,e,a,k
brackets,M BP
bracket,M CHAMPIONSHIP BRACKET
bracket,M 3RD PLACE GAME
bracket,M 5TH PLACE BRACKET
bracket,M 7TH PLACE GAME
bracket,M UPPERCUT BRACKET
bracket,X UPPERCUT 3RD PLACE GAME
bracket,M SOUTHPAW BRACKET
bracket,M SOUTHPAW 3RD PLACE GAME
b,r,e,a,k
pools,M CONS PP
pool,X HOOK
pool,X JAB
pool,X KNOCKOUT
b,r,e,a,k
