Southwest D-I College Men's Regionals,College - Men ,26,4,2025
Bakersfield,CA,2025-04-26,2025-04-27
https://play.usaultimate.org/events/Southwest-D-I-College-Mens-Regionals-2025/schedule/Men/CollegeMen/
Cal Poly-SLO,1
teamInfo,SLOCORE,"San Luis Obispo, California",http://slocore.com,https://www.facebook.com/slocoreultimate/,https://twitter.com/CORE_ultimate
0,Joseph Thachet
4,Marley Sussman
5,Alex Yannelli
6,Keaton Orser
7,James Whealan
8,Max Gade
9,Dodger Middlebrook
10,Cody  Leveau 
10,Oliver Faase
11,Ari Pincus
12,Martin  Doherty
14,Rafael Castillo
15,Anton Orme
16,Dakota Chou
17,Ian Spick
17,Nico Laurenson
24,Jamieson Rear
25,Hayden King
26,Benson Cady
27,Wyatt Colburn
32,Kole Ketner
34,Owen Gresko
36,Malachi Merriam
45,Alex Nelson
50,Kyle Lew
64,Micah Fong
72,Ian Ang
b,r,e,a,k
Grand Canyon,8
teamInfo,Lopes,"Phoenix, Arizona",https://clubsports.gcu.edu/club-sports/ultimate-frisbee/,https://www.facebook.com/gculopesultimate/,https://twitter.com/GCUUltimate
0,Admiral O’Reilly
0,Andrew Hayse
0,Ben Morse
0,Brandon Alatorre
0,Carson Russell
0,Carter Hallahan
0,Ezekiel Taylor
0,Gannon McShane
0,Jack Downing
0,Jake Cumberland
0,Joseph Robertson
0,Lukas Czarnota
0,Luke Schoolland
0,Luke Hoven
0,Marvin Garcia Gomez
0,Paul Lewis
0,Ryan Tosh
0,Simon Hill
0,Trevor Gurski
0,Eli Schaberg
1,Martin Mason
1,Declan Norris
12,Bryan Fuglestad
19,Blaise Clum
20,Cael Kubly
29,Everitt Meer
33,Jonah  Rominski
b,r,e,a,k
Arizona State,14
teamInfo,Prime,"Tempe, Arizona",https://arizonastateultimate.com/,,https://twitter.com/ASU_Ultimate
0,Matthew Dankwerth
2,Braden Distel
3,Brennan Sharp
6,Connor Garrison
8,Kyle Cagno
9,Evan Perry
13,Hibiki Jige
14,Alessandro Marcolini
15,Alvin Miles
17,Alex Van Der Geest
18,Josh Tait
24,Harrison Tucker
25,Tyler Pearson
31,Hederik Kosten
33,Hudson Mazzanti
35,Trevor Walrath
37,Luke Owen
51,Aloha Das
72,Cameron Welp
86,Kianu Dolce
b,r,e,a,k
San Diego State,11
teamInfo,Federales,"San Diego, California",,,https://twitter.com/SDSUFederales?s=20
2,Camden Lunceford
8,Veshay Ranchhod 
10,Teo Camacho
11,Christian Vicars
13,Gavin Henry
14,Calvin Fletcher
15,Nathan Young
16,Landon  McDowell
17,Tzu-Jen Su
23,Nicholas Hon
24,Owen Bettencourt
25,Conor Murphy
26,Jake Hooper
33,Michael Corcoran
35,Jake Weaver
48,Joshua Frojelin
55,Riley Magrini
56,Alex Bindschadler
71,Jake Dellisant
77,Jaka Starman
80,Chase Ketterling
88,Ethan DeForest
94,Braeden Langell
99,Kyle Loutzenhiser
b,r,e,a,k
California-Santa Cruz,2
teamInfo,Slugs,"Santa Cruz, California",https://www.instagram.com/slugultimate/,https://www.facebook.com/slugultimate,https://twitter.com/slugultimate
0,Cole Mires
0,Declan Fee
0,Ethan Rogers
0,Gabriel Schwartz-Ketchner
0,Milan Moslehi
0,Nirel Barthelom
0,Ryan Weng
0,Seamus Shogren
0,Selim Jones
0,Thai Villaluna
0,Toby Warren
0,Kien Warren
0,Weston Collard
0,William Snyder
1,Charlie Jia
3,Finnegan Barr
7,Cyrus Isaacs
11,Devin Acuna
12,Davin Sieu
19,Jackson Friday
21,Benjamin Pratt
27,Samuel Kaplan
44,Aidin Terris
45,Tyler Weng
72,Sam Jo
75,Bodie Shargel
77,Mario Ambrose
b,r,e,a,k
UCLA,7
teamInfo,Smaug,"Los Angeles, California",https://instagram.com/smaugultimate,,https://twitter.com/smaugultimate
00,Ashton Jin
00,Ian Tsai
00,Marshall Wildmann
00,Luca Adams
03,Loic Billaut
05,Jacob Snodgress
08,Ethan Klein
11,Luke Davis
12,Jackson Kim
15,Clayton Entrekin
20,Mateo Nacusi
21,Isaiah Hernandez
26,Calvin Wicks
29,Theo Conroy
30,Tomasso AbramsonWard
31,Alden Reals
33,Micah Thomas
34,Daniel Lai
35,Samuel Torres
44,Kieran Fain
55,Marcos Young-Bowers
78,Zachary Rosen
88,Alexander Clare
b,r,e,a,k
Santa Clara,12
