2025 Elite-Select Challenge,Club - Women ,16,8,2025
Indianapolis,IN,2025-08-16,2025-08-17
https://play.usaultimate.org/events/2025-Elite-Select-Challenge/schedule/Women/Club-Women/
Schwa,1
teamInfo,,"Portland, Oregon",https://www.oregonschwa.com/,https://www.facebook.com/schwaultimate,https://twitter.com/SchwaUltimate
0,Anna Reed
0,Aubri Bishop
0,Claire Sharman
0,Claudia Tajima
0,Eliana Norton
0,Emma Bartlett
0,Leana Girton
0,Madeleine Franz
0,Morgan Caldwell
0,Opal Burruss
0,Rachel Hess
0,Helen Burruss
0,Zoe Luke
0,Mara Hindery-Glasinovic
3,Arenaria Cramer
4,Natalie Hancock
7,Shea Brennan
9,Brenna Bailey
14,Julianna Galian
20,Kristin (Charlie) Eide
21,Samaya Madrone
23,Chloe Yamasaki-Liske
23,Abbe  Domenick 
72,Ezra Weybright
92,Michiko Ishii-Magnant
99,Noelle Takahashi
b,r,e,a,k
Pop,7
teamInfo,,"Minneapolis, Minnesota",http://popultimate.wordpress.com/,https://www.facebook.com/popultimate,https://twitter.com/PopUltimate
coaches,Donald Wood
0,Allegra Johnson McKee
0,Amelia Zdechlik
0,Anik Regan
0,Clara Gale
0,Elise Gallup
0,Elleythea Smith
0,Emily Mulhern
0,Frankie Saraniti
0,Greta Friedrichs
0,Julia Hill
0,Julia Mueller
0,Marilyn Bolte
0,Melissa LaFrance
0,Shelby Meyer
0,Stephanie Wood
0,Carly Eckstrom
8,Jing Jing Munson
8,Haley Challgren
9,Sara  Helm
13,Elly Fireside-Ostergaard
16,Lisa Barnes
19,Juliana Jordan
19,Isabel Demo
b,r,e,a,k
LOL,16
teamInfo,,"Oakland, California",,,
69,Alexandra Stambaugh
69,Alicia Dantzker
69,Candice Tse
69,Chip Chang
69,Darragh Kawaoka
69,Emily Tucci
69,Emily Stanger
69,Gianna Tesler
69,Hannah Bernhardt
69,Heather Waugh
69,Iris Leung
69,Jennie Zumbusch
69,Jenny Wang
69,Krisztina Finn
69,Lauren Carden
69,Linh Hoang
69,Megan Molteni
69,Ness Fajardo
69,Rachel Habbert
69,Sally Mimms
69,Sarah Carnahan
69,Julia Johnson
b,r,e,a,k
Outrage,10
teamInfo,,"Ann Arbor, Michigan",,,
coaches,Maya Grumeretz
0,Anna Kilbourn
0,Clare Abdallah
0,Constanza Capriles
0,Jennifer Perry
0,Jocelyn Richison
0,Lucie Roy
0,Megan Lee
0,Riley Dickson
0,Sophia Keins
0,Yewande Taiwo
4,Lauren Quiroga
16,Alex Barton
18,Sydney Miller
19,Amy Turner
19,Aiva Zoldan
22,Julia Richardson
24,Julia Weinert
24,Charlotte Wilson
91,Samantha Phillips
b,r,e,a,k
Parcha,2
teamInfo,,"Pittsburgh, Pennsylvania",https://pittsburghclubw.wixsite.com/pghclubw,https://facebook.com/PghClubW/,https://twitter.com/pghparcha
coaches,Edward Peters,Sam Schurer
0,Ashlyn Salvage
02,Makenzie Priest
03,Domenica Sutherland
04,Emily Heyman
05,Celina Zhao
06,Celeste Picone
07,Maria Stang
08,Rachel Hidek
09,Claire Stout
11,Sara Liang
13,Sam Leong
16,Jessie Chan
17,Annelise Peters
19,Kayla Emrick
21,Allison Milligan
22,Madison Pisone
