2025 Capital Men's Sectional Championship,Club - Men ,6,9,2025
Fredericksburg,VA,2025-09-06,2025-09-07
http://play.usaultimate.org/events/2025-Capital-Mens-Sectional-Championship/schedule/Men/Club-Men/
Vault,1
teamInfo,,"Hampton, Virginia",,,https://twitter.com/vaultultimate
0,Jacob Slade
1,John Durham
2,Jarrod Banks
3,Tyler Husband
4,Casey Mann
5,Dane Warner
7,Steven Wartinbee
8,Jacky Chung
9,Sean Plunkett
10,Joshua Lightner
11,Josh Solomon
12,Xavier Schafer
14,Ben Anderson
16,Zachary Burpee
19,Jacob Herz
20,David Zimmerman
22,Rami Paust
23,Jacob Loveranes
25,Torrin Stokes
27,Cal Nightingale
30,Kevin O'Malley
31,Alex Turney
36,David Shields
48,Ryan Weaver
88,Vincent Zhong
98,Kees Humes
b,r,e,a,k
Yacht Club,10
teamInfo,,"NEWPORT NEWS, Virginia",,,
0,Charles Gartner
0,Douglas Patrick
0,Esteban Olivares
0,Franklin Jackson
0,Grant Anderson
0,Joseph Schlossberg
0,Leonardo Tapia
0,Luke Elliott
0,Nathan Emmatty
0,Palmer Bogdan
0,Ryan  Hinton
0,Rye Strand
0,Tim Slade
0,William Fisher
2,Ben Slade
3,Andrew Sobol
11,Adam Bronstein
17,Nalin Theodore
31,Lucas Aberg
34,Hans Wirkkala Burkholder
39,Joseph Baldi
92,Zachary Fox
b,r,e,a,k
Puzzles,7
teamInfo,,"DC, District of Columbia",,,
0,Alvin Matute
0,Charles Stimpson
0,Keith Mellendorf
0,Khyle Eastin
0,Leif Hansen
0,Patrick Liu
0,Raphael Parens
0,Robert (Robbie) Gillies
0,Russell Scrivens
0,Scott Wheeler
1,Zachary Hall
1,John Kerr
2,Bradley Tinney
2,Sam Schultz
3,Jeremiah Leblanc
3,Keven Moldenhauer
29,Matthew Dennin
44,Cole Snavely
69,Liam Dunn
81,Mike Randow
b,r,e,a,k
HB Woodlawn Flatball Club,16
teamInfo,,"Arlington, Virginia",,,
0,Alexander Minchenkov
0,Arvand Fiske
0,Gerald  Torrez
0,Grant Wardian
0,Henry Phoel
0,Henry Gould
0,Ian Dowler
0,Jack Stratton
0,James Smialowicz
0,Jamie Riggs
0,Robbie Baker
0,Sean Reich
0,Zachary Gilbreth
0,Abraham Roisman
17,Alex MacGregor
73,Alex Wilcox
88,Alexander Hodges
b,r,e,a,k
Oak Grove Boys,2
teamInfo,,"ARLINGTON, Virginia",,https://www.facebook.com/OakgroveBoys/,https://twitter.com/OakGroveBoyz
0,Daniel Hartsoe
0,Farhan Khan
0,Xavier Maxstadt
7,Timothy Sheehan
7,Joe Novak
9,Dennis Maclaine
9,Dillon Monti
10,Josh Lane
