2025 Capital Mixed Sectional Championship,Club - Mixed ,6,9,2025
Fredericksburg,VA,2025-09-06,2025-09-07
http://play.usaultimate.org/events/2025-Capital-Mixed-Sectional-Championship/schedule/Mixed/Club-Mixed
Revival,1
teamInfo,,"Richmond, Virginia",,https://www.facebook.com/RevivalFlatball,
0,Brittany Taylor
0,Ellie Cymrot
3,Jacob Harnage
7,David Slade
8,Kris Harrison
9,Sarah Spall
11,Michael Snead
12,Tyler Davis
13,Keys Pattie
14,Victoria Higgins
17,Cullen Monahan
18,Matthew Neeley
22,James Godwin
23,Matthew Beaudet
24,Tim Jackson
25,Crystal Lowery
29,Rachel Shannon
31,Hannah Elledge
33,Emma Cole
40,Bart Turney
43,Nolan Randolph
44,Keila Strick
64,Victoria Davis
77,Maria del Carmen Lafita Navarro
80,Jonathan Bledsoe
87,Griffin Lang
b,r,e,a,k
Ant Madness,5
teamInfo,,"Washington, District of Columbia",,,https://twitter.com/antmadness
2,Joanna Greenberg
3,Brian Doherty
5,Lucas Reichert
6,Elizabeth Ward
6,Luke Hatchl
7,Owen Maskelony
9,Meaghan McSorley
00,Rachel Barkan
00,Vivaswath Naini
11,Lucy Rath
12,Sally Simpson
14,Jordan Tippitt
14,Fia Hargil
19,Bridgette Heine
20,Katrien Hinderdael
21,Nathaniel Stevenson
31,Claire Sorensen
32,Lucy Elliott
33,Nicholas Yoon
35,Oren Lieber-Kotz
44,Shannon Sullivan
45,Delana Sobhani
46,Gabriel Lobet
66,George Hoak
84,Andrew Hardy
90,Brendan Selby
b,r,e,a,k
LORD,10
teamInfo,,"Fairfax, Virginia",,,
8,Isabella Chan
03,Katherine Yen
06,Kevin Zhang
07,Brett Coulter
08,Jeffrey He
09,Daniel Son
13,Paulina (Syd) Kirk
14,Sneha John
16,Isabella Vergona
17,Jacob Shade
18,Ryan Heenan
20,Vikas Vannappagari
21,Samuel Fitzhugh
23,Jessica Tow
27,Lorelei Dean
29,Tre Williams
31,Christine Fanning
33,Justin Ledinh
37,Anna Xu
43,Christopher Barnett
47,Paul Pham
56,Corey Furukawa
66,Phoebe Kirk
71,Grace Galen
78,Leo Pierson
88,Jack Chisenhall
b,r,e,a,k
Swing Vote,17
teamInfo,,"Washington, District of Columbia",,,@SwingVoteDC
coaches,Gabriella  Everett
0,Alice Debevoise
0,Austin Wolf
0,Brendan Hamlin
0,Eleanor Brosowsky
