New England D-I College Men's Regionals,College - Men ,3,5,2025
S Portland,ME,2025-05-03,2025-05-04
https://play.usaultimate.org/events/New-England-D-I-College-Mens-Regionals-2025/schedule/Men/CollegeMen/
Massachusetts,1
teamInfo,Zoodisc,"Amherst, Massachusetts",,https://www.facebook.com/UMassUltimate/,https://twitter.com/UMassUltimateM
00,Calan Kirkpatrick
00,Mason Stone
00,Nadav Berkman
00,Wesley Killough-Hill
01,Nima Lhamo
04,Ethan Lieman
06,Roan Dunkerley
07,Ian Buchanan
08,Tomo Liou
09,Jae Lee
10,Wyatt Kellman
11,Charlie Norris
15,Arthur Aucoin
18,Sam Green
27,Caelan McSweeney
30,Charlie Leightheiser
37,Gavin Abrahamsson
38,Leo Narbonne
39,Carter Hawkins
43,Ethan Schiff
63,Jonathan Coombs
88,Griffin Gee
95,Taylor Hanson
96,Luca  Harwood
99,Tobias Paperno
b,r,e,a,k
Vermont (B),8
teamInfo,Chill Dev,"Burlington, Vermont",,https://www.facebook.com/Team.Chill.33/,https://twitter.com/team_chill?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
00,Andrew Leutz
00,Bryce Lublin
00,Evan Farnand
00,Grady Nautel
00,Grant Goodale
00,Isaac Wood-Lewis
00,Daniel Steinman
00,Duncan Barnes
00,Jasper Turner
00,Lior Cohen
00,Lanhjamin Tran
00,Rawlins Collard
00,Tate Mullin
00,Wyatt Stoughton
07,James Tinker
08,James Owen
11,Arbin Tamang
13,Linus Mehring
14,Mateo Bolen
15,Samuel Holmes
16,Ethan Wolf
19,Matthew Owen
27,Teddy Hanley
29,James Bellizia
37,Peter Carlson-Belanger
69,Charlie Clark
72,Krane Davis
95,Asher Levy
b,r,e,a,k
Rhode Island,11
teamInfo,RIUT,"Kingston, Rhode Island",,https://www.facebook.com/MensRIUT/,https://twitter.com/mensriut?lang=en
0,Corey Vasko
00,Evan Trombley
00,Evan Fallon
00,Jason Berube
00,Joshua Klemm
00,Luke Jensen
00,Matias Hazbon
00,Michael Downing
00,Mike Amighi
00,Riley Franklin
00,Thomas Vinagre
00,Aaron Iwanski
00,Aidan Sykes
00,Alexander  Kiriaki
00,Armando Feldman
00,Ben Yeager
00,Brandon McPhee
00,Brian Szewczyk
00,Carson Paull
00,Chase Flint
00,Connor Ham
22,Brad Fowler
b,r,e,a,k
MIT,14
teamInfo,Grim Beaver,"Cambridge, Massachusetts",http://mens-ult.mit.edu,https://www.facebook.com/pages/MIT-Mens-Ultimate/129768873797702,https://twitter.com/MITultimate
00,Andrew Okyere
00,Andy Zheng
00,Bowen Wang
00,Ethan Phan
00,Evan Smith
00,Felix Prasanna
00,Isaac Rajagopal
00,J Briseno Tapia
00,Jacob Daitzman
00,Kyle Roke
00,Nelson Zheng
00,Raymond Feng
00,Rich Wang
00,Sean Cheng
00,Vincent Fan
00,Yusuf Young
00,Zachary Perry
07,Kevin Wu
09,Chukwuemekalum Echezona
14,Justin Chen
b,r,e,a,k
Northeastern,2
teamInfo,Huskies,"Boston, Massachusetts",http://www.ultimate.neu.edu/men,https://www.facebook.com/NUMensUltimate,https://twitter.com/NUMensUltimate
00,Jack Simmons
00,Jackson biggs
00,Jackson McGuinness
00,Kalten Toone
01,Skyler Davidman
02,David Owyang
03,Benjamin Saterbak
04,Krish Vasisht
05,Matias Ng
06,Isaiah Jones
08,Sunay Patel
09,James (Jimmy) Beckman
10,Ben Chamis
11,Peter Boerth
12,Ramsey Elder
14,Sean Jaffe
15,David Pinto
18,Ciaran Pratley
21,Dallon Archibald
23,James McElheny
24,Michael Katz
30,Nathaniel Cramer
31,Griffin Majer
47,Landon Schopp
83,Samuel Freedman
b,r,e,a,k
Maine,12
teamInfo,Snositi,"Orono, Maine",https://www.instagram.com/umosnositi/,,
00,Justin Strout
01,Danny Curran
02,Rylan Siegel
04,Joe Jacobson
06,Ryan O'Sullivan
07,Brendan Stone
08,Oscar Gustafson
10,Nathaniel Smith
11,Joe Brod
13,Ryan Thompson
15,Matisse Moser
16,Porter Towne
17,Dylan Ralph
18,Ryan Cain
21,Quinn Chessa
22,Jesse Lower
22,Tyler Moore
25,Gordon Foye
35,Levi Pelletier
44,Jack Dunning
66,Jackson Dubois
86,Nial Rigas
b,r,e,a,k
Dartmouth,7
teamInfo,Pain Train,"Hanover, New Hampshire",https://sites.dartmouth.edu/ultimatefrisbee/paintrain/,,https://twitter.com/DMouthPainTrain
0,Jackson Gerard
00,Jackson Scarbrough
00,Jake Olson
00,James Flaggert
00,Javier Baluyut
00,Jonathan Lewis
00,Josiah Angehr
00,Kristian Feed
00,Linus Law
00,Mac Aube
00,Micah Angehr
00,Oliver Kirsch
00,Oliver Smith
00,Omar Sharief
00,Simeon Hartman
00,Tom Sankovitz
00,Walker Ball
00,William Chapin
00,Alexander Fick
00,Ben Kleinman
00,Benjamin Zhao
00,Benjamin Jenkins
00,Cameron Cowperthwaite
00,Charis Spence
00,Drew Loughnane
00,Eben DeSilva
00,Henry Moore
00,Isaiah Bradner
b,r,e,a,k
Massachusetts  (B),13
teamInfo,Umass Amherst Developmental,"Amherst, Massachusetts",,,https://twitter.com/ZoodiscD
00,Aditya Shanbag
00,Brayden Begian
00,Caleb Bird-Richards
00,Carter Stevens
00,Cedar Noonan
00,Connor Geary
00,Daniil Koval
00,Emmett Jereb
00,Fen deNiord
00,Halaf Montarroyos
00,Hayden Bouley
00,Henry Loftus
00,Ian McKenna
00,Ian Marshall
00,Isaac Silberman
00,John Park
00,Max Gledhill
00,Max Doisneau
00,Maxwell Schneider
00,Naoya Miyamoto
00,Peter May
00,Rowan Ferguson
00,Ryan Murphy
00,Ryan Hilton
00,Ryan Lynch
00,Timothy Corkery
00,Xiao Yang
00,Zachary Guswa
b,r,e,a,k
Tufts,3
teamInfo,Elephant Men,"Medford, Massachusetts",http://www.tuftsmensultimate.org/,,https://twitter.com/tufts_emen
00,Benjamin Rowland
00,Oscar Graff
00,Talyx Hochstein
02,Alexander Vu
03,Naveen Bleakney-Eastman
04,William Chesney
05,Zak Rizvi
06,Silas Grossman
09,Ethan Smith
10,Rohin Gast
12,Ian Knightly
13,Spencer Anderson
14,Owen Jones
16,Nate Brophy
17,Sachin Zachariah
18,Joe Rosenberg
19,Dahlin Allport
22,Simon Cordes
23,Peter Kuypers
24,Tucker Livingston
27,Tobias Potts-Drew
49,Wilson Wu
57,Nayan Talwalkar
81,Ram Sundaram
90,Dorsey Strasburger
99,Eliav Malone
b,r,e,a,k
McGill,6
teamInfo,MUT,"Montreal, Quebec CA",https://mcgillultimate.com/,https://www.facebook.com/mcgillultimateteam/,https://twitter.com/mcgillultimate?lang=en
00,Malcolm Kolinski
01,Ryan Marshall
03,Maia List
03,Ruben Hari
06,Niko Bardacke
08,Aidan Mckibben
09,Andre Savard
10,Kai O'Donnell
11,Oscar Hébert-Creeggan
13,Dylan Wu
16,Vlad Zimmerl
17,Siddharth Ghali
18,Daniel Mao
20,Nathan Wu
22,Emmett Andrews
