2025 Northwest Men's Regional Championship,Club - Men ,20,9,2025
Salt Lake City,UT,2025-09-20,2025-09-21
http://play.usaultimate.org/events/2025-Northwest-Mens-Regional-Championship/schedule/Men/Club-Men/
Rhino,1
0,Samuel Harrington
0,Zach Heiden
1,Nathaniel Griffith
2,Jack Nelson
2,Tyler MacMaster
7,Evan Mack
11,Jonah Talmadge
11,Connor Klitgaard
42,Quinn Alaeddine
51,Charlie DeKlotz
67,Matt Rix
81,Ryan Wolfe
82,Lucas Henry
b,r,e,a,k
Dark Star,5
teamInfo,,"Eugene, Oregon",http://www.darkstarultimate.com,,https://twitter.com/eugenedarkstar
0,David Barram
0,Elias Casper
0,Emmett Warner
0,Jackson Heglie
0,James Palmiter
0,Jason Simms
0,Julian Saunt
0,Julian Reeves
0,Kaenan Combs
0,Alex Howard
0,Ben Thoennes
0,Braedon Petrus
0,Mason  Weybright
0,Vaughn Dillender-Kinast
0,Will Dillender-Kinast
3,Seiji Koenigsberg
4,Scott Radlauer
6,Conner Stillwell
12,Dan Baumgartner
13,Callahan Bosworth
14,Nicholas Cao
18,Zac Scheuerman
23,Archer Gordon
28,Kyle Hancock
62,Quinn Buermeyer
78,Oliver Hughes
b,r,e,a,k
SOUF,6
teamInfo,,"Seattle , Washington",,,
0,Akash Shrestha
0,Derin Cropp
0,Joshua Robancho
0,Justin Jones
0,John Le
0,Matthew Wyatt
0,Matthew Liu
0,Nathan Siegel
0,Nobi (Masao) Lorenz
0,Quinnan Mack
0,Roman Tanen
0,Zachary Sanders
1,Isaac Woldemariam
2,Jalil Morris
2,Jinyao  Zhou
7,Langley Fitzpatrick
7,Jacob Mulugeta
8,Martin Le
9,Marcus Beidler
9,Abraham Gebreyesus
10,Alan Huang
12,Jordan Smith
14,Jared Tellez
44,Delano Muongchan
48,Vince Nguyen
77,Austin Hasbrook
b,r,e,a,k
Cache Valley High Ground,10
teamInfo,,"Logan, Utah",,,
0,Zach Larsen
01,Elijah Huber
02,Zach Balls
03,Kysen Lyons
04,Boston Musgrave
06,Tucker Jewkes
08,Benjamin Hoffman
09,Dallin Opperman
10,Cullen Landry
12,Ryan Martin
14,Skyler Jones
16,Truman Phillips
17,Jackson Egbert
20,Ryan Beck
21,Scott Jackson
27,Jacob Hoffman
43,Spencer Seedall
45,Alan Poulsen
48,Thomas Newton
69,Brad Ellis
77,Aidan Vogel
88,Christian Berger
95,Brock Hyatt
99,Jared Waite
b,r,e,a,k
Lil’ Huckers,16
teamInfo,,"South Jordan, Utah",,,
0,Braeden Smith
0,Cade Barnes
0,Collin Barron
0,Conner Thompson
0,Dallin Bird
0,David Soper
0,Derik Knighton
0,Ethan Nguyen
0,Garrett Konopka
0,Jackson Allen
0,Jonas Kirk
0,Jordan Barrus
0,Josh Wright
0,KJ Park
0,Benjamin Crowther
0,Nguyen Nguyen
0,Russell Haight
0,Sam Lancaster
2,Spencer Barney
7,Tanner Nielson
12,Matthew Ashton
21,Richard Wilcox
21,John Kessel
32,Tyson Kossin
34,Malcolm Starr
45,Benjamin Ashton 
b,r,e,a,k
PowderHogs,9
teamInfo,,"Salt Lake City, Utah",,,https://twitter.com/powderhogs
0,Carter Franklin
0,Nathaniel Whitten
0,Travis Wright
03,Trey Riera-Gomez
04,Will  Hopkins
10,Ezra Kennedy
13,Eli Wolk
18,Joey Ginsburg 
20,Zachary Hillard
20,Russ Barr
22,John Mismash
24,Matt Fredrickson
27,Sean Stackhouse
32,Noah Li
33,Benjamin Payson
37,Aiden Coutin
45,Nate Reavy
54,Mike Merzel
61,Timothy Predmore
70,Lucas Reavy
77,Patrick Eikens
80,Hayden Lyu
82,Andrew Elliott
93,Taylor Williams
97,Phineas Johnson
99,Jason McKeen
b,r,e,a,k
Junco,12
teamInfo,,"Portland, Oregon",https://www.instagram.com/portlandjunco/,,https://x.com/flocked_in
0,Benjamin Travers
0,Jack Hochberg
0,Jack Carol
0,Jericho Stern
0,Jesse Wang
0,Leo Finley
0,Martis Artis
0,Mattia Cassell
0,Peter Huizenga
0,Ryan Schluter
8,Ben Eichel
9,Jedi Casas
05,Logan Chantelois
10,James Shaw
13,Levi Stahl
17,Carl Justin Hermosura
19,Owen Heh
24,Nam Vo
26,Colton Clark
31,William Beck
32,Hal Robinson
34,Sam Gordon-Koven
42,Julian Kägi
45,Topher Olson
80,Mayo Costanza
91,Little Dipper
b,r,e,a,k
AFC Rumble,13
teamInfo,,"Edmonton, Alberta CA",,,
0,Alexander Nichols
0,Bryan Kuo
0,Daniel Jee
0,Jaeden Hsu
0,Jordan Vogel
0,Josh Meron
0,Justin Keough
0,Justin Siah
0,Keith Letendre
0,Landon Lavoie
3,Bryn McDougald
10,Mario Moran
13,Porter Boily
17,Jared Wunder
22,Quin Greenaway
28,Connor Chapeski
30,Korey Kobylka
42,Cole Niawchuk
45,David Hochhalter
81,Robert Staniforth
b,r,e,a,k
Wretched Refuse,14
teamInfo,,"Lehi, Utah",,,
0,Aleksei Felt
0,Benjamin McBride
0,Brock Jensen
0,Clark DeFranco
0,Daniel Whitlock
0,Jacob Boyce
0,Jared Sorensen
0,Jarom Brandow
0,Jeron Dastrup
0,Joseph Cash
0,Joshua Rust
0,Kaden Froebe
0,Koven Card
0,Mason Gordon
0,McKay Snell
0,RJ Christensen
0,Ryan McCready
5,Sam Pugh
7,Alexander Gerber
9,Brad McKeen
11,Taylor Barton
15,Lincoln Petersen
23,Bryce Kerr
27,Brandon Jordan
27,Trevor Wai
99,Dan Doxey
b,r,e,a,k
Sawtooth,11
teamInfo,,"Boise, Idaho",https://boiseultimatescene.com/sawtooth,https://www.facebook.com/Sawtooth-Boise-Ultimate-619500648417608/,https://twitter.com/SawtoothUlti
0,Alex Scherrer
0,Andrew Stevenson
0,Benjamin Wilson
0,Blake Purnell
0,Emmett Poole
0,Jason Burner
0,Killian Nichols
0,Mason Collins
0,Matt Stegemann
0,Scott Kaltenecker
0,Trenton Pearsall
3,Victor Wu
4,John Martin
7,Mathew Gossard
8,Matt Lieggi
12,Ian Breyer
13,James Dahl
21,Brendon Hudnell
23,Mike Beacham
24,Lucas Skidmore
28,Daniel White
31,Tanner Cleveland
47,Daniel Kwok
55,Julian Collins
71,Harper Poole
b,r,e,a,k
Switchback,7
teamInfo,,"Seattle, Washington",https://switchbackultimate.com/,,https://twitter.com/Switchback_Ulti
02,Phoenix  Laliberte
03,Jacob Richey
06,Maxwell Sheffield
07,Bailey Wu
08,Samuel Hinson
10,Sean Duncan
14,Michael Fielden
16,Thomas Simms
17,Max Bommarito
18,Daman Mulye
19,Jonas Golden
20,Calvin Dodge
24,Steven Benaloh
26,Arthur Abbate
28,Connor Hanify
32,Souma Yabuki
36,Louie Bertoncin
37,Jack Landrigan
42,Nolan Stoppel
48,Elias Hinson
52,Soren Dahl
53,Jorre Dahl
71,Sahaj Olivar
92,Jacob Keister
95,Brendan Bogel
b,r,e,a,k
Seven Gills,15
teamInfo,,"Kirkland, Washington",,,
0,Andrew Phillips
0,Benson Cady
0,Christopher Lin
0,Cole Lewis
0,Cory Oskardmay
0,Gabriel Diamond
0,Griffin Laliberte
0,Markus Olson
0,Sean Killilea
0,Spencer Nelson
0,Thomas Fenedick
0,Tobias Wepman
0,Zach Sadow-Hasenberg
3,Alex Rossmeissl
13,Will Carter
15,Graham Peck
19,Russell Murnen
20,Jean Salaya
28,Rafael McCauley
35,Dylan Singh
42,Peter Eklund
47,Zoli Ishikawa-szabo
63,Alex Becker
74,Ethan Kelley
75,Jeremy Doyle
88,Hayden Zaske
b,r,e,a,k
s,t,a,g,e,s
brackets,1st Place
bracket,1st Place
Rhino,Sockeye,15,12,"09/21/2025, 10:30",1st Place,Final
Rhino,Shrimp,15,7,"09/20/2025, 15:00",Semis,Final
Furious George,Sockeye,7,15,"09/20/2025, 15:00",Semis,Final
Rhino,Portland TremOR,15,8,"09/20/2025, 11:00",Quarters,Final
Dark Star,Shrimp,11,15,"09/20/2025, 11:00",Quarters,Final
Furious George,SOUF,15,5,"09/20/2025, 11:00",Quarters,Final
Cache Valley High Ground,Sockeye,4,15,"09/20/2025, 11:00",Quarters,Final
Rhino,Lil’ Huckers,15,4,"09/20/2025, 09:00",Pre-Quarters,Final
Portland TremOR,PowderHogs,15,11,"09/20/2025, 09:00",Pre-Quarters,Final
Dark Star,Junco,15,10,"09/20/2025, 09:00",Pre-Quarters,Final
Shrimp,AFC Rumble,15,9,"09/20/2025, 09:00",Pre-Quarters,Final
Furious George,Wretched Refuse,15,9,"09/20/2025, 09:00",Pre-Quarters,Final
SOUF,Sawtooth,13,11,"09/20/2025, 09:00",Pre-Quarters,Final
Switchback,Cache Valley High Ground,13,15,"09/20/2025, 09:00",Pre-Quarters,Final
Sockeye,Seven Gills,15,3,"09/20/2025, 09:00",Pre-Quarters,Final
b,r,e,a,k
brackets,2nd Place
bracket,2nd Place
Shrimp,Furious George,0,0,"09/21/2025, 10:30",Round 5,Scheduled
Shrimp,AFC Rumble,15,11,"09/21/2025, 08:45",Round 4,Final
Dark Star,Furious George,11,14,"09/21/2025, 08:45",Round 4,Final
Cache Valley High Ground,AFC Rumble,11,15,"09/20/2025, 15:00",Round 3,Final
Dark Star,Switchback,15,10,"09/20/2025, 15:00",Round 3,Final
Cache Valley High Ground,Lil’ Huckers,15,9,"09/20/2025, 13:00",Round 2,Final
AFC Rumble,SOUF,15,11,"09/20/2025, 13:00",Round 2,Final
Sawtooth,Dark Star,7,15,"09/20/2025, 13:00",Round 2,Final
Switchback,Portland TremOR,14,10,"09/20/2025, 13:00",Round 2,Final
Lil’ Huckers,PowderHogs,14,10,"09/20/2025, 11:00",Round 1,Final
Junco,AFC Rumble,11,14,"09/20/2025, 11:00",Round 1,Final
Wretched Refuse,Sawtooth,11,12,"09/20/2025, 11:00",Round 1,Final
Switchback,Seven Gills,15,9,"09/20/2025, 11:00",Round 1,Final
b,r,e,a,k
brackets,13th Place
bracket,13th Place
PowderHogs,Wretched Refuse,15,14,"09/21/2025, 10:30",13th Place,Final
PowderHogs,Junco,12,10,"09/21/2025, 08:45",Round Name,Final
Wretched Refuse,Seven Gills,15,9,"09/21/2025, 08:45",Round Name,Final
b,r,e,a,k
brackets,5th Place
bracket,5th Place
AFC Rumble,Dark Star,0,0,"09/21/2025, 10:30",5th Place,Scheduled
b,r,e,a,k
brackets,7th Place
bracket,7th Place
Cache Valley High Ground,Switchback,0,0,"09/21/2025, 10:30",7th Place,Scheduled
b,r,e,a,k
brackets,9th-12th Place
bracket,9th-12th Place
Lil’ Huckers,SOUF,10,15,"09/21/2025, 08:45",9th-12th Place,Final
b,r,e,a,k
brackets,9th-12th Place (2)
bracket,9th-12th Place (2)
Sawtooth,Portland TremOR,7,13,"09/21/2025, 08:45",9th-12th Place (2),Final
b,r,e,a,k
brackets,15th Place
bracket,15th Place
Junco,Seven Gills,0,0,"09/21/2025, 10:30",15th Place,Scheduled
b,r,e,a,k
