2025 Select Flight Invite East,Club - Men ,12,7,2025
Fredericksburg,VA,2025-07-12,2025-07-13
https://play.usaultimate.org/events/2025-Select-Flight-Invite-East/schedule/Men/Club-Men/
Pittsburgh Temper,7
teamInfo,,"Pittsburgh, Pennsylvania",,https://www.facebook.com/pghtemper/,https://twitter.com/pghtemper
coaches,David Berg
0,Aiden Landis
0,Alex Mullen
0,Andrew Dietrich
0,Clarke Piatt
0,Morey Averill
0,Thomas Mazur
0,Will Girard
0,Maxwell Olesen
0,Henry Everett
5,Tyler Riemer
8,Wyatt Krisky
10,Reid Duncan
10,Robin Maillard
11,Timothy  Chango Gasset 
12,Drew Girard
24,Will Hoffenkamp
26,Connor Newell
29,JJ McMonigal
31,Lucas Storm
47,Marcel Oliart
48,Jimmy Towle
49,Dan Nichols
63,Jude Schmiesing
65,Michael Dillard
84,William McGlynn
99,Matthew Viscido
b,r,e,a,k
Shade,10
teamInfo,,"Brooklyn, New York",https://instagram.com/shadeulti,http://gagopakaraoke.com/home,
0,Jack Conroy
1,Alan Henzy
2,Oliver Walke
5,Leopold Fell
6,Harper Stanfield
7,Peter Luo
9,Jasper Beardslee
11,Scott Xu
14,Jacob Price
17,Curtis Pakgross
18,Jake Kovalic
21,Paul Anouna
23,Otto Gomez
26,Noah Gross
27,Eric Moore
28,Jared Kim
29,Evan Walter
32,Cullen MacDowell
35,Deven Amann-Rao
47,Elliott Rosenberg
80,Ian Falck
84,Brian Moore
85,Jacob Coonin
95,Colin Kochenash
b,r,e,a,k
GOAT,1
teamInfo,,"Toronto, Ontario CA",http://goatultimate.wix.com/main,https://www.facebook.com/GOATultimate,https://twitter.com/GOATultimate
coaches,Kevin Lee
0,Harry Norris
0,James McClean
0,Keith McRae
0,Kelvin Huang
0,Kevin Jay
0,Nam Ho
0,Araav Sehgal
0,David Petsinis
0,Noah Nishizaki
0,Owen Robinson
0,Toms Abeltins
0,Adam Turcotte
1,Tom Blasman
2,Eric Zhuang
3,Andrew Carroll
9,Jaret Meron
12,Nathan Hsieh
12,Remi Ojo
13,Kai Huang
69,Luc Comire
b,r,e,a,k
Drought,16
teamInfo,,"Phoenix, Arizona",https://www.instagram.com/drought.ultimate?igsh=MXJ6c3pxenhuMmQzcw==,,https://twitter.com/DroughtUltimate
02,Steven Niemczynski
03,Thomas Verner
07,Tymur Vidyakin
