2025 Commonwealth Cup Weekend 2,College - Women ,22,2,2025
Axton/Martinsville,VA,2025-02-22,2025-02-23
https://play.usaultimate.org/events/2025-Commonwealth-Cup-Weekend-2/schedule/Women/CollegeWomen/
Vermont,1
teamInfo,Ruckus,"Burlington , Vermont",,https://www.facebook.com/UVMRuckus/,https://twitter.com/ruckusultimate
coaches,Daron Byerly,Sara Jacobi,Elizabeth Leon
0,Ava Jensen
0,Ella Leding
0,Grace Thompson
0,Nevaeh Parrish
0,Willa Morales
5,Dylan Wilcox
6,Caroline Stone
8,Mae Browning
9,Meribel Collin
10,Isabelle Alfano
14,Tatum Cubrilovic
15,Layla  Wissink
16,Haley  Hemeon
17,Riley Knupp
18,Ella Polli
19,Annie Pozzy
21,Ella Monaghan
23,Nika Rockafeller
34,Claire Kimbrell
37,Lauren Clayter
38,Rita Narbonne
44,Emily Pozzy
47,Callen Lin-Butler
b,r,e,a,k
Georgia Tech,5
teamInfo,Wreck,"Atlanta, Georgia",https://wreckultimate.wordpress.com/,https://www.facebook.com/gtwrecku/,@GTWreckU
0,Anna Lisner
0,Audrey Boardman
0,Eva Flom
0,MacKenzie York
0,Makena  Bongcaron 
0,Sapna Stanley
0,Sarai Colorado-landero
0,Sherry Adadi
0,Sophie Michelsen
6,Shayda  Torab 
8,Elfin Wiriyan
14,Ashleigh Dunlop
17,Victoria Malcolm
25,Katherine Sanders
36,Ruoshi Gao
41,Gloria Wu
49,Gennie Mansi
66,Mary Smith
70,Caitlin Aycock
b,r,e,a,k
Ohio State,4
teamInfo,Fever,"Columbus, Ohio",https://www.scarletfeverulti.com/,www.facebook.com/OSUFever,https://twitter.com/FeverUltimate
0,Vivian Wang
1,Meg Zeng
3,Isabel Brunner
4,Jada Pressman
5,Adelaide Oman
6,Zoe Wolfe
7,Anna Goulson
11,Annie DiClemente
16,Elizabeth Burkhardt
17,Kourt Carr
19,Eva Smith
23,Molly Stefan
24,Hannah Grace Morrison
28,Kayla Wonsick
31,Spencer Law
33,Bea Sull
35,Lauren Klein
36,Abby Thompson
37,Kayla Hamm
42,Hanna Andersson
54,Arden Piepho
77,Quinn Kingsley
88,Siheng Deng
b,r,e,a,k
American,8
teamInfo,Dirty Ladies,"Washington, District of Columbia",http://audirtyladies.weebly.com/,https://www.facebook.com/AUDirtyLadies,https://twitter.com/AUDirtyLadies
0,Casey Hiss
0,Emilia Fischer
1,Katelyn Miller
3,Margo Flanagan
4,Claudia Flamm
6,Mia McCarthy
9,Eva Turner
10,Sarah  Luglio
13,Anna Huener
14,Kate Spaulding
16,Sarah Golder
19,Mary Hermann
