2025 USA Ultimate D-III College Championships,College - Women ,17,5,2025
Burlington,WA,2025-05-17,2025-05-19
https://play.usaultimate.org/events/2025-USA-Ultimate-D3-College-Championships/schedule/Women/CollegeWomen/
Wesleyan,1
teamInfo,Vicious Circles,"Middletown, Connecticut",,https://www.facebook.com/vishiswhy/,https://twitter.com/divacupzone
coaches,Keith Raynor
01,Amelia  Platt
02,Sofia Canoutas-Nadel
04,Olivia Bordon
06,Milo Brown
07,Elizabeth Littell
08,Ruby Kauffman-Rosengarten
10,Kayla Harrison
11,Natalie Sweet
12,Lola Murnighan
13,Alexandra Raskin
14,Olivia Benton
15,Chloe Pacetti
16,Leza Rooks
17,Maggie Brown
20,Sara Larson
23,Nola Busansky
24,Tae Weiss
27,Scout Noble
31,Rongrong Weng
38,Susannah Cornell
42,Ella Spitz
45,Mackenzie Bunnell
47,Maya Salzman
50,Nora Jacobsen
55,Mae Wrigley
b,r,e,a,k
Mount Holyoke,12
teamInfo,Daisy Chain,"South Hadley, Massachusetts",,https://www.facebook.com/mhcult,https://twitter.com/mhcdaisychain
coaches,Paige Howell,Taylor Simpson
00,Charlotte Moynihan
02,Mamie Mulder
03,Flora Sanderson
07,Madeline Wychocki
11,Sonja Gray
13,Celine Falcon-Geist
14,Mia Pashoukos
15,Molly Potts
18,Sofia Solis
19,Eliza Williams-Derry
23,Adalaide Tholen
24,Sofia Roth
30,Jamie  Eldridge 
34,Eva Taberski
36,Anna Thornton
42,Hjordis Aho
91,Claire Willett
b,r,e,a,k
Davenport,8
teamInfo,Davenport University,"Grand Rapids, Michigan",https://dupanthers.com/sports/ultimate-frisbee,https://www.facebook.com/profile.php?id=61551657640493,https://twitter.com/du_womensulti
coaches,Jessica Creamer,Joseph Cubitt
00,Amber Collins
02,Natalie Prentice
05,Jade Remacle
07,Grace McCann
08,Kara Higgins 
11,Nicole Carvalho
13,Leilani Lepe
14,Jocelyn Richison
17,Draya Valente
18,Addison Hardin
20,Avery Smith
21,Kylee Sipkema 
22,Brianna Rodriguez
24,KayAnna Williams
25,Yasmin Banares
26,Mya Maycroft
35,Dayna Templeton
58,Lanie O'Neill
b,r,e,a,k
Richmond,13
teamInfo,Richmond Redhots,"Richmond, Virginia",,https://www.facebook.com/RichmondRedhotsWomensUltimateFrisbee,https://mobile.twitter.com/richmondredhotz
coaches,Sean Plunkett
00,Keira Linnane
01,Rhiannon Harris
02,Emma Seto
03,Emma Alatzas
04,Catie  Geraghty 
05,Maggie McFerran
06,Zoe Epstein
08,Jolie Martin
09,Arianna Kightlinger
10,Danna Aguilar
12,Camden Thomason
14,Brennan Seltzer
15,Lucy Sevetson
17,Abigail Fuller
20,Sydney Tellis
21,Luiza Pessoa
