Ski Town Classic 2025,Club - Mixed ,16,8,2025
Salt Lake City,UT,2025-08-16,2025-08-17
https://play.usaultimate.org/events/Ski-Town-Classic-2025/schedule/Mixed/Club-Mixed
Sego,1
teamInfo,,"Salt Lake City, Utah",,,
0,Alexander Knock
0,Anna Zucchero
0,Ashley Ludack
0,Connor Lund
0,Deanna Bozone
0,Ellie Finigan
0,Eva Hayes
0,Jack Valentine
0,Jared Scheinberg
0,Meghan Campano
0,Morgan  Williams 
0,Rachel Oram-Brown
1,Zach Wolfe
2,Snog Russnogle
3,Jay Kinzel
4,Eugene L'Heureux
6,Josiah Peck
14,Ben Field
16,Ben Guthrie
17,Laura Brannan
18,Mckenzie Finigan
24,Ethan Peck
28,Mack Hodges
31,Jenni Ladutko
42,Liz Bunderson
69,Kevin Versteeg
b,r,e,a,k
Karma,8
teamInfo,,"Tucson, Arizona",,,
0,Christina Arnoldy
0,Christopher Clowers
0,Daniel Negash
0,Elysia Bottcher
0,Evangeline Erickson
0,Hannah Youngwirth
0,Hayden Pfaff
0,Joseph Lindsay
0,Joseph Wu
0,Leanne Palisoc
0,Lindsay Berryhill
0,Madison Hiu
0,Amy Swartz
0,Bethany Tolsma
0,Rebecca Hildenbrand
0,Rebekah Rossman
0,Stephen Sobansky
0,William Chan
3,James Weinstein
5,Caleb Conley
8,Brian Palomo
35,Nicholas Bontrager
38,Nathaniel Cabrera
43,Paul Carmichael
60,Joe Sobansky
b,r,e,a,k
"All Jeeps, All Night.",9
teamInfo,,"Boulder, Colorado",alljeepsallnight.com,,
0,Christopher Akers
0,Claudia Kramer
0,David Sinick
0,Alexandra (Ola) Czastkiewicz
0,Becca Wainess
0,Jordan Swenson
0,Maya Otsuki
0,Megan Burns
0,Michael Stefferson
0,Sarah Litz
0,Stella Gardner
0,Tate Williams
0,Lena Nyblade
0,Marlee Akerson
0,William Warren
3,Matthew Maclay
5,Addison Hanson
9,Theo Kuhn
11,Killian Burns
13,Hill Balliet
33,Ollie Peterson
35,Britta Bergstrom
b,r,e,a,k
Sky-90,16
teamInfo,,"Missoula, Montana",https://www.instagram.com/missoula_sky90?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,,
0,Ellie Burger
0,Joel Martinez
0,Justin Harrington
0,Phillip Tillman
0,Susan Truong
9,Aspen Nord
11,Timmy Glanville
13,Ashley Sinclair
16,Will Mottram
23,Owen Gauthier
29,James Meyer
33,Cian McGinn
37,Shelbie White
42,Aren Jorgensen
47,Nina Vermolen
81,Ty Lynch
b,r,e,a,k
Moontower,2
teamInfo,,"Austin, Texas",https://www.instagram.com/moontowerultimate/,https://www.facebook.com/moontowerultimate/,https://twitter.com/moontowerulti
0,Danielle Rowe
4,Mike French
03,Matt Goldberg
05,Jakob Steen
07,Daniel Murray
08,Peter Lin
09,Marshall Payne
10,Catherine Romanova
11,Claire Gust
12,Reshmi Patel
13,Agatha Scales
14,Robert Connelly
15,Lian McGuire
16,Ana Cristina Mussiett
17,Jess Browder-Long
18,Tanner Moore
19,George McDonald
23,Luis Torres
24,Megan Palladino
28,Andrew Gruninger
32,Kate Weidmann
34,Madison Tomasek
42,Jonathan Callahan
66,Kaitlin Schaible
78,Jake Lasley
81,Mackenzie Bailey
b,r,e,a,k
Mango,10
teamInfo,,"San Francisco, California",https://www.instagram.com/mangoultimate/,,
0,Akash Karanam
0,Cate Brandt-Fontaine
0,Danlin Lillemark
0,Gabriela Hamm
0,Lauren Simitz
0,Lila Brady
0,Matthew Kissmann
0,Neal Ma
0,Nishant Mandapaty
0,Rachel Widner
0,Rebecca Cawkwell
0,Rebecca Plotnick
0,Ryo Kather
0,Samuel Warren
0,Sara Doyle
0,William Pearce
3,Kyra Pesso
3,Will  Barnett
8,Anton William Cwik
31,Ken Wei Tan
34,Tessa Cortez
41,Declan Bernal
87,Charlie Capron
b,r,e,a,k
Green Chiles,7
teamInfo,,"Denver, Colorado",https://www.instagram.com/greenchilesultimate/,,
0,Gretchen Mathiason
0,Sydney Pomish
0,Wren Vogel
02,Thomas Parry
03,Hannah Dryke
05,Stephen Lin
07,Kelly Moses
10,Nico Cappella
11,Augy Cohn
12,Patrick  Morgan
13,Maggie Graves
14,Pope Rauch
17,Will Eckert
20,Matt Cornish
24,Grayson  Anderson
27,Ginie Eckert
27,Allison  Qualls
30,Mark Kharakh
31,Matt Slowinski
39,Arden Randazzo
41,Mary Kurzweil
51,Sarah Fee
55,Max Cormier
71,Kriselle Tubongbanua
85,Elena Miyasato
b,r,e,a,k
Phlagstaff Ultimate,15
teamInfo,,"Phoenix , Arizona",,,
0,Ashley Stahl
0,Austin Roach
0,David  Frongillo
0,Alex Killingsworth
0,Kaya Trepp
0,Maxwell Sewell
0,Rebecca Manns
0,Sonya (Sunny) Harris
0,Zuzu Pasch
4,Jake Anderson
9,Dylan George-Sills
12,Andrew Ishikawa
17,Erin Donahue
17,Mike  Hall
34,Trevor Smith
37,Sarah Hoffmann
53,Matt Bauer
56,Alix Goldstein
80,Maia Nguyen
b,r,e,a,k
Space Ghosts,3
teamInfo,,"Arvada, Colorado",,https://www.facebook.com/profile.php?id=100089552481541,https://twitter.com/SpaceGhostsUlti
4,Shane Abeshaus
7,Stan Whitcomb
02,Alexander Nichols
05,Caleigh Moore
06,Steven Campillo
08,Erin Berg
09,Presley Philipp
10,Shane McDevitt
17,Jonathan Spencer
18,Alanna Pipkin
21,Ellie Stanish
22,William Wilcox
24,Megan Peters
25,Brendan Schwalm
26,Becky Nevin
28,Addy Eder
33,Carissa Lee
41,Austin Workman
44,Angel Weng
48,Chloe Carlstrom
57,Benjamin Israel
87,Brian Moore
99,Kevin Dunne
b,r,e,a,k
Firefly,11
teamInfo,,"San Francisco, California",www.fireflyultimate.com,facebook.com/fireflydisc,
0,Abby Chen
0,Abe McKay
0,Alex Parikh-Briggs
0,Alex Klein
0,Alexander Tovar
0,Amanda Cornfeld
0,Billy Davies
0,Caleb Kumar
0,Humberto Gonzalez
0,Ivana Monson
0,Juliane Renaker
0,Liz Piro
0,Lydia Auch
0,Sidney Stevens
0,Tommy Wang
0,Vinci Chen
0,Zachary Ormsby
