2025 East Plains Mixed Sectional Championship,Club - Mixed ,6,9,2025
Fairborn,OH,2025-09-06,2025-09-07
http://play.usaultimate.org/events/2025-East-Plains-Mixed-Sectional-Championship/schedule/Mixed/Club-Mixed
UNION,1
84,Sarah San Pedro
b,r,e,a,k
Queen City Gambit,6
teamInfo,,"Cincinnati, Ohio",,,
0,Aaron Ho
0,Aislinn DeSieghardt
0,Camilo Barrera
0,Cori LaMere
0,Kimberly Cooper
0,Maddie Clark
0,Mallory Clark
0,Ryan Hummel
0,Travis Lynch
0,Wesley  Sexton
3,Connor Shirley
4,Sam Moushey
9,Jake Blue
14,Adele McCune
18,Adam Tardio
18,Lydia Riddell
19,Nate Montgomery
20,Dave Richmond
21,Morgan Novean
25,Josh Keyser
25,Nick Siegert
27,Jacob Royster
32,Lexi Yearout
37,Grace Heldwein
63,Katherine Fry
80,Jason Haehl
b,r,e,a,k
Columbus Cohesion,13
teamInfo,,"Columbus, Ohio",,,
0,Alaina Lowery
0,Dorothy Wittel
0,Jonathan Cross
0,Kyler Waites
0,Norah Marshal
0,Taylor Britain
1,Ethan  Bishop 
2,Rea Hederman
5,Ethan  Knecht 
6,David Perkins
7,Karina Cross
9,Michael Kopechek
10,Keri Kopechek
11,Isaac Hubble
12,Natalie Fancher
13,Henry Wollerman
15,Charis Marshal
16,Damara Steiner
19,Eva Smith
23,Caleb Correia
27,Alex Hughes
64,Nate Dikeman
77,William Sheridan
86,Michael Lee
88,Siennah Phoung
b,r,e,a,k
Melonheads,11
teamInfo,,"Byron Center, Michigan",,https://www.facebook.com/profile.php?id=61573638674323,
02,Juraj Hurny
03,Julia Jones
04,Corie Auger
05,Sharon Hecker
08,Joe Kowalkowski
11,Jacklyn Hallett
12,Lucie Roy
14,Megan  Huggett
15,Rebekah Van Zoest
18,Eric Kas
20,Avery Smith
22,Bridget Bevins
23,Tamara Kas
33,Justin Kragt
44,Megan Grygiel
46,Anthony Heath
47,Christopher O'Brien
51,Joseph Cubitt
66,Dora Henry
67,Aidan Williams 
69,Isaac Hagedorn
77,Zach Dix
84,Michael Weber
87,Chandler Carey
88,Jesse Otten
95,Kaciana Champlin
b,r,e,a,k
s,t,a,g,e,s
brackets,Pool Play (Clipped)
bracket,Pool A.1
UNION,Lightning,15,5,"09/06/2025, 11:00",R2 A.1,Final
UNION,Cowti,15,2,"09/06/2025, 09:00",R1 A.1,Final
Lightning,Crash,15,13,"09/06/2025, 09:00",R1 A.1,Final
bracket,Pool A.2
Cowti,Crash,5,15,"09/06/2025, 11:00",R2 A.2,Final
bracket,Pool B.1
Steamboat,Columbus Chaos,15,5,"09/06/2025, 11:00",R2 B.1,Final
Steamboat,Corns of Wrath,15,3,"09/06/2025, 09:00",R1 B.1,Final
Columbus Chaos,Thunderpants the Magic Dragon,14,12,"09/06/2025, 09:00",R1 B.1,Final
bracket,Pool B.2
Corns of Wrath,Thunderpants the Magic Dragon,5,15,"09/06/2025, 11:00",R2 B.2,Final
bracket,Pool C.1
Twist,Toast!,15,7,"09/06/2025, 11:00",R2 C.1,Final
Twist,OUtlaws,15,5,"09/06/2025, 09:00",R1 C.1,Final
Toast!,Pixel,15,10,"09/06/2025, 09:00",R1 C.1,Final
bracket,Pool C.2
OUtlaws,Pixel,12,9,"09/06/2025, 11:00",R2 C.2,Final
bracket,Pool D.1
Trex Mix,Queen City Gambit,10,15,"09/06/2025, 11:00",R2. D.1,Final
Trex Mix,Columbus Cohesion,15,10,"09/06/2025, 09:00",R1 D.1,Final
Queen City Gambit,Melonheads,15,13,"09/06/2025, 09:00",R1 D.1,Final
bracket,Pool D.2
Columbus Cohesion,Melonheads,4,15,"09/06/2025, 11:00",R2 D.2,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place
UNION,Steamboat,0,0,"09/07/2025, 11:00",R6 1st Place,Scheduled
UNION,Toast!,15,1,"09/06/2025, 15:00",R4 1st Place,Final
Twist,Steamboat,8,15,"09/06/2025, 15:00",R4 1st Place,Final
UNION,Columbus Chaos,15,1,"09/06/2025, 13:00",R3 1st Place,Final
Toast!,Queen City Gambit,13,9,"09/06/2025, 13:00",R3 1st Place,Final
Twist,Melonheads,14,9,"09/06/2025, 13:00",R3 1st Place,Final
Lightning,Steamboat,5,15,"09/06/2025, 13:00",R3 1st Place,Final
bracket,2nd Place
Twist,Queen City Gambit,0,0,"09/07/2025, 09:00",R5 2nd Place,Scheduled
Lightning,Toast!,11,14,"09/07/2025, 09:00",R5 2nd Place,Final
Columbus Chaos,Queen City Gambit,10,12,"09/06/2025, 15:00",R4 2nd Place,Final
Melonheads,Lightning,11,13,"09/06/2025, 15:00",R4 2nd Place,Final
bracket,4th Place
bracket,6th Place
Columbus Chaos,Trex Mix,0,0,"09/07/2025, 09:00",R5 6th Place,Scheduled
OUtlaws,Melonheads,0,0,"09/07/2025, 09:00",R5 6th Place,Scheduled
Crash,Trex Mix,8,15,"09/06/2025, 15:00",R4 6th Place,Final
OUtlaws,Thunderpants the Magic Dragon,11,10,"09/06/2025, 15:00",R4 6th Place,Final
Crash,Corns of Wrath,15,7,"09/06/2025, 13:00",R3 6th Place,Final
Pixel,Trex Mix,3,15,"09/06/2025, 13:00",R3 6th Place,Final
OUtlaws,Columbus Cohesion,14,11,"09/06/2025, 13:00",R3 6th Place,Final
Cowti,Thunderpants the Magic Dragon,3,15,"09/06/2025, 13:00",R3 6th Place,Final
bracket,8th Place
b,r,e,a,k
brackets,Consolation
bracket,10th Place
Crash,Thunderpants the Magic Dragon,0,0,"09/07/2025, 11:00",R6 10th Place,Scheduled
bracket,13th Place
Pixel,Columbus Cohesion,0,0,"09/07/2025, 11:00",R6 13th Place,Scheduled
Corns of Wrath,Pixel,8,12,"09/06/2025, 15:00",R4 13th Place,Final
Columbus Cohesion,Cowti,15,9,"09/06/2025, 15:00",R4 13th Place,Final
bracket,15th Place
Corns of Wrath,Cowti,0,0,"09/07/2025, 11:00",R6 15th Place,Scheduled
b,r,e,a,k
