Old Capitol Open 2025,College - Men ,29,3,2025
Cedar Rapids,IA,2025-03-29,2025-03-30
https://play.usaultimate.org/events/Old-Capitol-Open-2025/schedule/Men/CollegeMen/
Colorado Mines,1
11,Nate John
13,Jonathan Schlaefer
29,Liam Fretland
42,Lorenz Shih
88,Samuel Whempner
b,r,e,a,k
Wisconsin-Milwaukee,3
teamInfo,Black Cat,"Milwaukee, Wisconsin",,https://www.facebook.com/BlackCatUltimate?ref=br_tf,@BlaCkatUltimate
0,Cooper Kleibor
0,Hayden West
2,Tafika-Kenan Valhmu
3,Gwen Johnson
5,Jonny Holstead
6,Colin Szczap
8,Asa Hatcher
10,Ian Treacy
12,Liam VandeZande
13,Xavier Schultz 
16,Joseph Mueller
17,Connor Schuberth
18,Abraham Frolichstein-Appel
19,Ryan Waller
22,Dylan Heater
23,Zach Vosberg
30,Austin Junk
30,Ray Wheaten
34,Eric Swartz
36,Sam Stocklein
69,Benjamin Michalak
94,Charles Waechter
b,r,e,a,k
Grinnell,8
teamInfo,Grinnellephants,"Grinnell, Iowa",,,https://twitter.com/Grinnellephants
0,Fergus Braun
0,Jacob Unzicker
0,Jeronimo Camargo Ochoa
0,Joseph Barrows
0,Nathan Starhill
0,Niko Vamvakides
0,Nolan McGrane-Moffitt
0,Paul Spang
0,Ryan Lewis
0,Sam Bigham
0,Samuel Gerardi
0,Benjamin Shulman
0,Carter Ottele
0,Colby Jaros
0,David Rhoades
0,Dominic D’Ascenzo
0,William Norry
1,Theo Bonin
17,Eli Boeding
31,Duncan Lambert
b,r,e,a,k
St John's (Minnesota),9
teamInfo,Minnesota) (BAM,"Collegeville, Minnesota",,https://www.facebook.com/pages/Saint-Johns-Ultimate/169796783097127,https://twitter.com/SJUultimate
0,Colin Glynn
0,Dylan Perrill
0,Graham Imholte
0,Henry Pirner
0,Isaac Johnson
0,Kason Olson
0,Luke Pfeifer
0,Max Meyer
0,Noah Zent
0,Tristin Thillmany
0,Austin Laing
0,Benjamin Mimick
0,Carter Versaevel
0,Charlie Auge
8,Chenxu Yu
b,r,e,a,k
Wisconsin-La Crosse,4
teamInfo,BadLUC,"La Crosse, Wisconsin",https://uwlmyorgs.collegiatelink.net/organization/mensultimate,https://www.facebook.com/UWLaCrosseUltimateClub/?ref=aymt_homepage_panel,https://twitter.com/ultimateluc?lang=en
0,Declan Dahm
0,Elijah Binder
0,Eric Bal
0,Ethan Ishaug
0,Evan Exo
0,Graham McKenzie
0,GRIFFIN WIERZBA
0,Jack Weibeler
0,Alex Eilers
0,Andrew Burns
0,Lucas Strauss
0,Lucas Granec
0,Russell Jackson
0,Zach  Sanders
2,Ashton Briquelet 
6,Owen Anderson
7,Nick Seitz
8,Nick Bell
10,Justin Mangan
17,Jannon Tan
18,Alex Fifield
23,Matt Sniff
25,Ryan Koelbl
69,Joey Kratzer
84,Tate Goretzki
b,r,e,a,k
Northern Iowa,10
teamInfo,AmmUNItion,"Cedar Falls, Iowa",https://sites.google.com/site/ammunitionultimate/home,https://www.facebook.com/UNI.ultimate,https://twitter.com/UNIUltimate
0,Jordan Mills
0,Lane Wunderlich
0,Elliot Drew
0,Hollis Bode
0,Sean Sheets
0,Thomas Manternach
3,Carson Boyer
9,Devin Spahn
39,Trevor Rial
61,Owen Blumhagen
69,Brendan Finley
69,Isaac Timm
91,Phillip Hanlon
96,Dan Eades
b,r,e,a,k
Minnesota-Duluth,7
teamInfo,Northern Lights,"Duluth, Minnesota",,https://www.facebook.com/lights33,https://twitter.com/UMD_Lights
0,Ben Donahue
0,Brady Gumz
0,Charlie Johnson
0,Diego Umana
0,Eli Aldridge
0,Fintan Lucy
0,Gunnar Moore
0,Hawkins Moore
0,Jake Lindell
0,Joseph Carland
0,Stuart Milne
0,Titus Scribner
0,Tommy Walsh
0,Tyler McBride
3,Thomas Donahue
4,Garrett Erickson
7,Alexander Vasil
8,Henry Liebl
16,Alex Hubley
17,Joe Hendrickson
20,Cory Kurkowski
21,Joseph Peterson
26,Jack Fritschel
69,Reagan Nguyen
81,Hayden Buss
b,r,e,a,k
DePaul,17
teamInfo,DUC,"Chicago, Illinois",http://www.instagram.com/depaulultimate,,https://twitter.com/depaultimate
0,Evan Lutz
0,Mikkal Hvidsten
0,Piere Joyner
2,Carter Altruda
4,Jackson Bear
5,Elias Smith
6,Lachlan Bond
7,Daniel Finney
9,Levi Taylor
11,Lucius Johnson
11,Matthew Chapin
13,Sean Hoch
15,Jaden Simpson
21,Reece Bastyr
22,Chuck Rogers
24,Matthew Berryman
25,Shea McKeough
28,Eli Hoffmann
35,Carson Malone
38,Peter Milburn
47,Alex Kielbasa
51,Aiden Rathmann
80,William Hollis
99,Giri Peters
b,r,e,a,k
Luther,16
teamInfo,LUFDA,"Decorah, Iowa",https://www.luther.edu/mens-ultimate/,https://www.facebook.com/lutherultimate,https://twitter.com/LutherLUFDA
0,Minh Le
02,Karlton Anderson
03,Benjamin Vogel
04,Sebastian Flores
05,Peter McBride
07,Carter Sommerness
09,Eli Miller
11,Tanner Peters
13,Muhammad Mughees Akbar Warraich
14,Sean Medcalfe
20,Huy Nguyen
28,Charles Jetton
32,Liam Edberg
33,Simon McDonald
44,Zachary A Watson
97,Mark McCollor
b,r,e,a,k
Iowa (B),21
teamInfo,HUCititis,"Iowa City, Iowa",https://sites.google.com/site/iowahawkeyeultimateclub/home?authuser=0,https://www.facebook.com/UofIowaUltimate/,https://twitter.com/hbvultimate
0,Aidan Zander
0,Jamison Stone
0,Nathan Kurtz
4,Conan Kisor
20,Aidan Shumaker
21,Max Baum
25,Alec Melendez
28,Vincent Pappas
29,Eddie Morelock-Hopson
30,Carter Veen
40,Jackson Hoewing
49,Benjamin Hiniker
b,r,e,a,k
St Thomas,15
teamInfo,Purple Reign,"Saint Paul, Minnesota",,,
0,Alexander  Hawkins
0,Charlie Gilbert
0,Clara Schimnowski
0,Drew Mast
0,Eric Nowak
0,Gavin Storms
0,Gregory Wasinski
0,Isaiah Horsager
0,Jack Karlen
0,Lukas Andrle
0,Max Stewart
0,Natalie  Seng
0,Olivia Bonk
0,Owen Dam
0,Theodore Wogstad
0,Vivian Roers
0,White Cullen
5,Aidan Huber
10,Leo Klein
11,Thomas Liechty
11,Joel Thomas
14,Talen Greeson
14,Odin Lee
16,Stephen Halva
18,Nora Schimek
18,Brendan Kelley
21,Mateo Wegner
22,Eleanor Cummings
25,Spencer Baker
42,Michael Vogel
46,Nathan Kostynick
69,Albert Dohrer
74,Kenneth Richards
87,Alex  Cahill
b,r,e,a,k
Washington University (B),18
teamInfo,Contraband,"St. Louis, Missouri",https://sites.wustl.edu/contraband/,,https://www.twitter.com/wucontraband
0,Alexander Huang
0,Avi Holzman
0,Ben Hoette
0,Benjamin Modiano
0,Benny Septer
0,Ethan Engelman
0,James Richard
0,Joseph Lynch
0,Kellen Zoberi
0,Owen Rice
0,Samuel Leopold
0,Thomas Biggs
0,Weldon Smith
0,Zachary Lew
43,JP Torack
b,r,e,a,k
Wisconsin-Milwaukee (B),22
teamInfo,BLACKOUT,"Milwaukee, Wisconsin",,https://www.facebook.com/BlackCatUltimate/,
0,Aaron George
7,Brandon Cheeseman
8,Luke Sabel
9,Kenneth Brandt
18,Owen Brummel
19,Cregan Berst
22,Keegan Rahaman
25,Jose Lovato Romero
28,BIjay Panta
33,Adam Ustby
44,Ben Westerman
69,Samuel Gargulak
b,r,e,a,k
Wisconsin-Platteville,14
teamInfo,Udderburn,"Platteville, Wisconsin",,https://www.facebook.com/uwpultimate,https://twitter.com/udderburn
00,Addison Fenrick
03,Alex Friede
04,Braden Lendosky
07,Brody Behrens
09,Colin Ashdown
10,Matthew Montano
11,Daniel Montano
17,Lucas Johnson
24,Luther Anderson
28,Tony Kaseman
29,Will Knueve
33,Logan Bruck
42,Zach Blotz
56,Joe Friede
62,Miles Inman
72,Aidan Dreger
87,Jackson Vondrak
96,Vinson Sherman
98,Ian Kelly
b,r,e,a,k
Carthage,19
teamInfo,Carthage Blitz,"Kenosha, Wisconsin",,https://www.facebook.com/groups/246330382070418/,https://twitter.com/CarthageBlitz
0,Annika Zemek
0,Chris Neumann
06,Andrew Cline
10,Aiden Friedman
13,Brendan Wienecke
14,Ethan Anderson
18,Andrew Kirchhoff
22,Aiden Figueroa
23,Daniel Plutchak
97,Audrey Horwath
b,r,e,a,k
Iowa State (B),23
teamInfo,BSUC,"Ames, Iowa",,,
0,Hugh Thompson
0,Hunter Rose
0,John Symeonidis 
0,John Mountain
0,Nathan Cole
0,Nick Lehmann
0,Noah Brooks
7,Jayden Freeman
11,Marshal Groves
13,Nathaniel Ferguson
28,Alexander Ireland
31,Liam Ryan
76,Brayden Schmitz
95,Mitchell Wood
b,r,e,a,k
Nebraska,13
teamInfo,Cornfed Ultimate,"Lincoln, Nebraska",https://unl.campuslabs.com/engage/organization/men-s-ultimate-club,,https://twitter.com/cornfedultimate
0,Austin Phinney
0,Jack Drobny
0,James Head
0,Nathan McCoy
0,Riley Bry
0,Samuel Malick
0,Zane Mrozla-Mindrup
5,Ian Tuck
19,Bryce Endecott
24,Kobe  Bray
27,Myles Wedic
32,Luke Walsdorf
69,Jordan Johnson
85,Peyton Thurman
b,r,e,a,k
Minnesota (C),20
teamInfo,Minnesota C,"Minneapolis, Minnesota",,,
coaches,Samuel Raths,Bela Konkoly,Michael Schnall
0,Benjamin Dockerty
0,Blake Sheridan
0,Caleb Fravel
0,Conner Matuza
0,Archer Anderson
0,Avi Prager
0,Dylan Ringer
0,Ethan Ostrowski
0,Gannon Jefcoat
0,Grant Hietpas
0,Henry Dickinson
0,Jack Brisben
0,Jeremy Sanborn
0,Jiuyang Su
0,Lewis Garthwaite
0,Lukas Hoyt
0,Luke Golobitsh
0,Mason Overman 
0,Max Siqveland
0,Michael Davenport
0,Neil Roy
0,Jun Hao Cheh 
0,William Moen
7,Ty Sibinski
8,Eli Schmelzer
8,Ian Wang
10,Eli Hubbard
14,Konner Brickey
16,Peter Nuon
17,Shuaijia Duan
19,Ben Hunter
24,Jonathan Ip
37,Dev Patel
96,Gavriel Olson
b,r,e,a,k
Grinnell (B),24
teamInfo,Gphants,"Grinnell, Iowa",,,
0,Benjamin Albrecht
0,Chhayachhay Chhom
0,Collin Marshall
0,Deven Platt
0,Felix Benardo
0,Huckleberry Hannemann
0,Jack Broadmoore
0,Krishna Nayar
0,Sebastian  Mrotzek 
14,Nick Wilkerson
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Minnesota (B),Illinois State,13,7,"03/29/2025, 09:00",Pool A,Final
Colorado Mines,Illinois State,13,9,"03/29/2025, 10:40",Pool A,Final
Colorado Mines,Minnesota (B),12,11,"03/29/2025, 12:20",Pool A,Final
pool,Pool B
Wisconsin-Eau Claire,Winona State,12,9,"03/29/2025, 09:00",Pool B,Final
Iowa,Winona State,13,5,"03/29/2025, 10:40",Pool B,Final
Iowa,Wisconsin-Eau Claire,13,9,"03/29/2025, 12:20",Pool B,Final
pool,Pool C
Grinnell,St John's (Minnesota),13,9,"03/29/2025, 09:00",Pool C,Final
Wisconsin-Milwaukee,St John's (Minnesota),13,7,"03/29/2025, 10:40",Pool C,Final
Wisconsin-Milwaukee,Grinnell,13,8,"03/29/2025, 12:20",Pool C,Final
pool,Pool D
Minnesota-Duluth,Northern Iowa,13,11,"03/29/2025, 09:00",Pool D,Final
Wisconsin-La Crosse,Northern Iowa,11,12,"03/29/2025, 10:40",Pool D,Final
Wisconsin-La Crosse,Minnesota-Duluth,13,9,"03/29/2025, 12:20",Pool D,Final
pool,Pool E
DePaul,Iowa (B),14,4,"03/29/2025, 09:00",Pool E,Final
Luther,Iowa (B),13,4,"03/29/2025, 10:40",Pool E,Final
Luther,DePaul,12,13,"03/29/2025, 12:20",Pool E,Final
pool,Pool F
Washington University (B),Wisconsin-Milwaukee (B),12,5,"03/29/2025, 09:00",Pool F,Final
St Thomas,Wisconsin-Milwaukee (B),13,5,"03/29/2025, 10:40",Pool F,Final
St Thomas,Washington University (B),11,10,"03/29/2025, 12:20",Pool F,Final
pool,Pool G
Carthage,Iowa State (B),13,5,"03/29/2025, 09:00",Pool G,Final
Wisconsin-Platteville,Iowa State (B),13,2,"03/29/2025, 10:40",Pool G,Final
Wisconsin-Platteville,Carthage,13,3,"03/29/2025, 12:20",Pool G,Final
pool,Pool H
Minnesota (C),Grinnell (B),13,0,"03/29/2025, 09:00",Pool H,Final
Nebraska,Grinnell (B),13,0,"03/29/2025, 10:40",Pool H,Final
Nebraska,Minnesota (C),13,5,"03/29/2025, 12:20",Pool H,Final
b,r,e,a,k
brackets,Bracket
bracket,Championship Bracket
Wisconsin-Milwaukee,Minnesota (B),0,0,"03/30/2025, 09:00",Quarterfinals,Scheduled
Colorado Mines,DePaul,13,4,"03/29/2025, 14:00",Pre-Quarterfinals,Final
Grinnell,Minnesota-Duluth,0,0,"03/29/2025, 14:00",Pre-Quarterfinals,Scheduled
Wisconsin-Eau Claire,Illinois State,13,7,"03/29/2025, 14:00",Pre-Quarterfinals,Scheduled
Wisconsin-La Crosse,Nebraska,13,9,"03/29/2025, 14:00",Pre-Quarterfinals,Final
Wisconsin-Milwaukee,Wisconsin-Platteville,12,10,"03/29/2025, 14:00",Pre-Quarterfinals,Final
Minnesota (B),Winona State,13,3,"03/29/2025, 14:00",Pre-Quarterfinals,Final
Northern Iowa,St John's (Minnesota),13,10,"03/29/2025, 14:00",Pre-Quarterfinals,Scheduled
Iowa,St Thomas,13,8,"03/29/2025, 14:00",Pre-Quarterfinals,Final
bracket,3rd Place
bracket,5th Place Bracket
bracket,7th Place
bracket,9th Place Bracket
Wisconsin-Platteville,Winona State,0,0,"03/30/2025, 09:00",9th Place Quarters,Scheduled
bracket,11th Place
bracket,13th Place Bracket
bracket,15th Place
bracket,17th Place Bracket
Carthage,Iowa (B),0,0,"03/30/2025, 09:00",17th Place Quarters,Scheduled
Minnesota (C),Wisconsin-Milwaukee (B),0,0,"03/30/2025, 09:00",17th Place Quarters,Scheduled
bracket,19th Place
bracket,21st Place Bracket
bracket,23rd Place
b,r,e,a,k
clusters,Crossover
cluster,Crossover
Luther,Washington University (B),10,6,"03/29/2025, 14:00",,Final
Carthage,Minnesota (C),4,13,"03/29/2025, 14:00",,Final
Iowa (B),Wisconsin-Milwaukee (B),13,8,"03/29/2025, 14:00",,Final
Iowa State (B),Grinnell (B),0,0,"03/29/2025, 14:00",,Scheduled
b,r,e,a,k
