Midwest Throwdown 2025,College - Women ,1,3,2025
"Warrenton, Wentzville, Saint Louis",MO,2025-03-01,2025-03-02
https://play.usaultimate.org/events/Midwest-Throwdown-2025/schedule/Women/CollegeWomen/
Missouri,1
teamInfo,Terror Mizzou,"Columbia, Missouri",https://engage.missouri.edu/mizzouwomensclubultimatefrisbee/home/,http://www.facebook.com/MuWomensUltimate/,http://www.twitter.com/TerrorMizzou
coaches,Joel Williams
0,Alex Boyd
0,Allison Faerber
0,Ann Karpinski
0,Breyon Johnson
0,Demi White
0,Erika McIntyre
0,Gracie Stetzel
0,Hayley Morgan
0,Margret Peters
0,Olivia Heyne
0,Rachel Byerly
0,Samantha Hepburn
0,Savannah Richards
0,Madison Rost
5,Aubry Boulware
6,Catherine Anderson
8,Ellie Weien
9,Alyssa Anderson
12,Margaret O'Brien
16,Lydia Schultz
b,r,e,a,k
Washington University,2
teamInfo,Iron Horse,"St. Louis, Missouri",https://sites.wustl.edu/womensultimate/,https://www.facebook.com/twoWUs,https://twitter.com/wuwultimate
coaches,Anat Gross
0,Rachel Wolff
4,Lauren Smith
6,Maggie Coleman
13,Cassia Williams-Rogers
14,Erin Pollack
16,Caitlin Pedraja
19,Jiwei Wu
20,Samantha Blake
21,Talia Horn
22,Diya Diwakaran
23,Nina Laser
24,Vivien Marmerstein
25,Kenia Mendoza
27,Anna Cochran
28,Elise Gadson
29,Coco Zhan
33,Olivia Gerregano
44,Alexandra Rifkin
48,Talia Scott
53,Kaitlyn Torack
57,Piper Drebes
59,Shannon Quintana
77,Mary Orlando
85,Julia Victor
94,Anja Seifert
b,r,e,a,k
St Olaf,3
teamInfo,Vortex,"Northfield, Minnesota",http://vortexultimate.weebly.com/,https://www.facebook.com/VortexWomensUltimate/,https://twitter.com/STOWomensUlti
0,Julia Mockert
0,Rachel Katzovitz
0,Sarah Lester
3,Sophia Stender
4,Kayla Wengelewski
5,Antigone Van Slooten
7,Olive Loewer
9,Sadie Smith
10,Grace Milhaupt
11,Leina Goto
13,Sarah Heinecke
15,Carly Smithmier
16,Eliana  Idzikowski 
18,Kaisa Olson
20,Mary Polydorou
23,Maggie Walsh
25,Linnea Erickson
27,Alexia Swiglo
32,Emma Jansen
37,Char Batchelor
53,Weihsin Chuan
b,r,e,a,k
Northwestern,4
teamInfo,Claw,"Evanston, Illinois",,https://www.facebook.com/NUclaw,https://twitter.com/NUclaw_
coaches,Kenneth Allen,Adam Klaus,Hindeke Tewodros
0,Emilie Tueting
0,Faith Cramer
0,Grace Volchok
0,Hannah Zhou
0,Lauren Levinson
0,Lucy Madsen
0,Maggie Harrison
0,Margaret Pirozzolo
0,Natalie Gurganus
0,Sophie Hyman
0,Wengyin Ho
0,Yang Qian
0,Yaxi Chen 
0,Zora Warren
0,Addison Stover
0,Amalia Laguna
0,Danielle Nevett
0,Ella Waldman
20,Ellie Lind
b,r,e,a,k
Macalester,5
teamInfo,Pursesnatchers,"Saint Paul, Minnesota",https://www.instagram.com/pursesnatchers_ultimate?igsh=cGEyNTJudzNoZnpi,,https://x.com/pursesnatchers?s=20
0,Zayna Hopkins
2,Sokkeang Gendler
5,Lucy Manalang
11,Felicia Winfrey
12,Noa Watson
13,May Kinnamon
17,Bea Lloyd
20,Dorthea Trelstad Pi-Sunyer
24,Adi Megiddo
29,Leyden Streed
31,Else Gerber
32,Caeli Rieger
33,Sophie Carpenter
34,Kathryn Teske
44,Francesca LoPresti
70,Claire Lee
75,Dalia Davidson
83,Philomena Shuffelton-Sobe
b,r,e,a,k
Arkansas,12
teamInfo,SoCo,"Fayetteville, Arkansas",,https://www.facebook.com/UARKWomensUltimate/?ref=aymt_homepage_panel,
0,Hannah  Gammill
0,KyahR Crain
0,Lucy Smith
0,Amelie Wise
0,Georgina Brownlee
0,Margaret Parker
0,Rachel Tipton
0,Savannah Weidler
04,Hadley Ayers
65,Lydia Samoff
b,r,e,a,k
Wisconsin-Eau Claire,13
teamInfo,SOL,"Eau Claire, Wisconsin",http://uwecwomensultimate.wixsite.com/solultimatefrisbee,https://www.facebook.com/pages/UWEC-SOL-Ultimate/119434234738605,https://twitter.com/SOLultimate
coaches,Nora Mitchell
0,Layla Lemley
01,Taylor Bembnister
06,Sara Nolt
07,Reed Ziemer
09,Raschel Taylor
11,Megan Subera
14,Meghan Dahm
15,Anna Benishek
16,Ella Pratt
20,Alana Bauer
26,Cameron Van Dyke
28,Yana Hamilton
32,Makenna Samuels
34,Hannah Nelson
38,Brit Moll
42,Elise Harper
77,Elena Davis
99,Rachel Walters
b,r,e,a,k
Northwestern (B),20
teamInfo,Blaw,"Evanston, Illinois",,https://www.facebook.com/NUclaw,https://twitter.com/NUclaw_
coaches,Anri Brod,Emily Pardo
0,Alaina Parr
0,Alexandra Kahn
0,Asha mehta
0,Emily O'Connor
0,Gabrielle Jarrett
0,Katherine McDonnell
0,Madeleine Khristov-Weinrach
0,Margaret Sprigg-Dudley
0,Olivia Case
0,Rachel Xiao
0,Samantha Carpenter
42,Wylde Laden
b,r,e,a,k
Iowa State,6
teamInfo,Woman Scorned,"Ames, Iowa",,https://www.facebook.com/pages/Woman-Scorned-Ultimate/245315626189,https://twitter.com/ISUWomanScorned
01,Lauren Parker
03,Claire Breuer
06,Trinity Gygi
12,Rachel Leholm
13,Mia Jones
16,Kayla Frickenstein
22,Hope Kading
23,Ellie Wilkes
26,Emma Haynes
30,Jennifer Hua
31,Morgan Meaney
34,Kelly Hannon
35,McKenna Felton
40,Jenavieve Michalski
47,Abigail Minor
48,Savannah Peterson
61,Alijah Hardy
63,Josie Nichols
71,Lauren Rogers
96,Kaitlyn Gehrels
99,Eliza Barnum
b,r,e,a,k
Winona State,11
teamInfo,Bad Monaz,"Winona, Minnesota",,,
03,Greta  Baumgartner
04,Juliah Hahm
10,Kayleigh Boe
11,Emma Chuchna
13,Esther Poehlman
22,Madelyn Brockberg
23,Kirstyn  Sand
24,Kasey Schetnan
55,Abigail Gleason
69,Elizabeth Erickson
82,Victoria Jackson
b,r,e,a,k
Truman State,14
teamInfo,TSUnami Women's Ultimate,"Kirksville, Missouri",http://tsunamiultimate.weebly.com/,https://www.facebook.com/tsunamiultimate/,https://twitter.com/tsunamiultimate
coaches,Makayla Bindel,Bud Budzowski
0,Annelise Hahn
0,Caroline Fry
0,Cassia McCluskey
0,Claire Fitzgerald
0,Colleen O’Reilly
0,Ella-Jane  Miller 
0,Grace Reddekopp
0,Hope Wolfe
0,Jasmin Elwood
0,Jay Hwang
0,Julie-Emilia Pahl
0,Madi Hunter
0,Maryanne Ajilore
0,Micaiah Roth
0,Sarah Hanson
0,Sofia Kattentidt
0,Sophia Lee
0,Suparna Chintha
0,Adrienne Bacott
16,Alexandria Werner
b,r,e,a,k
Wisconsin (B),19
teamInfo,Atropa,"Madison, Wisconsin",https://win.wisc.edu/organization/womensultimate,https://www.facebook.com/groups/421591531301929/?bookmark_t=group,
0,Eveline Enthoven
0,Helena  Ikenberry
0,Isabel Nathan
0,Lydia Steger-Wilson
0,Mary Richards
0,Audrey Vogel
0,Cecilia Gustafson
0,Siena Bersch
0,Sophia Reiner
0,Yen Ly
6,Emma Saksa
12,Megan Berger
13,Alyssa Kosmicki
19,Rowan Trest
99,Kaitlyn Hoang
b,r,e,a,k
Iowa,7
teamInfo,Saucy Nancy,"Iowa City, Iowa",http://saucynancyultimate.weebly.com/,https://www.facebook.com/saucynancyultimate/?ref=hl,https://twitter.com/SaucyNancyIowa
0,Avery Provorse
0,Caitlyn Coyle
0,Cassie Elsberg
0,Cecilia Shearon
0,Emma Garfield
0,Kaili Decker
0,Leila Sennour
0,Addison Sparrow
0,Lucille Jewell
0,Piper Seals
0,Rosemary Timmer-Hackert
0,Sophia Van Daele
0,Tatum D'Emanuele
0,Tatum Long
8,Ava Lane
20,Lila Eggerling-Boeck
25,Ashley Streck
44,Anna Lane
48,Skylar Hoffman
95,Sarah Finny
b,r,e,a,k
Saint Louis,10
teamInfo,Anarchy,"St. Louis, Missouri",,,
coaches,John Henroid,Kathleen Horton
0,Avery Sharp
0,Cecilia Escudero
0,Larkin Bulbulkaya
0,Lauren Gilmartin
0,Lily Laramie
0,Lindsay Rehme
0,Madeline DuVall
0,Megan Bobnar
0,Julia Chapman
7,Emily Timm
10,Ella Yang
17,Sage Gatewood
23,Grace Engel
26,Emma Schafer
29,Darcy Taylor
40,Grace Cichanski
54,Grace Fogarty
60,Elizabeth Henderson
66,Kristen White
b,r,e,a,k
Wisconsin-La Crosse,15
teamInfo,Galaxy,"La Crosse, Wisconsin",,,
0,Alexandra Staver
0,Alexius Mancl
0,Anna Bowes
0,Karley Dahlman
0,Sadie Ferguson
2,Addison Boucher
3,Aubrey Rietmann
4,Rebecca Dray
11,Maddie Schneider
11,Caroline Kibler
18,Allison Petter
21,Megan Muench
22,Abby Sailer
23,Stefanie Sardina
27,Emma Knabe
44,Danielle Wollin
99,Kasey Hammill
b,r,e,a,k
Washington University (B),18
teamInfo,Locamotive,"St.Louis, Missouri",,https://www.facebook.com/twoWUs,https://twitter.com/wuwuisLOCA
0,Caitlin Alfaro
0,Catherine D'Orazio
0,Noa Shiloach
0,Soph Lin
2,Izzy Kohl
7,Bethany Bao
11,Lily Taylor
12,Maya Mathisson
17,April Springer
20,Ceci Rogers
26,Angelina Pitt
34,Abbie Sapira
35,Kaya Banerjee
37,Patricia Sutor
40,Beatrice Augustine
41,Leah Karush
45,Orlee Bracha
50,Trystan Ng
52,Hannah McWhan
56,Mihi Dormeville
60,Yaning Lu
61,Gabrielle Abato
67,Miah Emerson
81,Emily Seligson
b,r,e,a,k
Michigan Tech,8
teamInfo,Superior Ma's,"Houghton, Michigan",,,https://twitter.com/mtusupma
02,Haniya Frayer
04,Eleanor Bush
05,Adelyn Richard
07,Katy Krieger
09,Makenna Dawson
10,Harlo Plendl
11,Teresa Sanchez
15,Kayli Roe
24,Lauren Saulino
44,Tessa Meyer
80,Lucy Gibbs
99,Emma Elliot
b,r,e,a,k
Illinois,9
teamInfo,Menace,"Champaign-Urbana, Illinois",,,https://twitter.com/IllinoisMenaceU
00,Cece Dam
01,Yao Sun
05,Danielle Merrifield
06,Megan Yeung
07,Anna Li
08,Nora Schnulle
09,Maya Taylor
10,Liz Villagomez
11,Grace Cook
12,Ava Kolodziej
13,Claire Perkins
14,Kailey Frangella
16,Anne Cook
17,Vivian Chen
19,Valentina Flores
23,Nicole Tchorz
29,Claire Zhu
42,Katharine Weems
44,L Conour
66,Luyao Zhao
81,Eleanor Vandel
94,Janelle Marchan
b,r,e,a,k
Knox,16
teamInfo,Alley Cats,"Galesburg, Illinois",,https://www.facebook.com/Knox-College-Ultimate-170986939622/,https://twitter.com/Knox_ultimate?lang=en
0,Cassie Wefel
0,Cozette Mothershead
0,Mackenzie Herrlinger
0,Michiko Ueda
0,Rachel  Schonfeld
0,Samantha  Boyas
0,Trinity Durbin
0,Viola Boyd Brocker
2,Kali Christopher
4,Sarah Strauss
5,Madeline Hart
14,Nola Walston
25,SJ Danielson
42,Blue Weidemann
54,Brooke Bellmar
b,r,e,a,k
Vanderbilt,17
teamInfo,Surge,"Nashville, Tennessee",https://www.instagram.com/vandy.surge?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,,
0,Abigail Faulhaber
0,Alicia Ge
0,Angelina Ma
0,Brynn Rideout
0,Dara Soucheng  Lorn
0,Eliza Matthias
0,Emory Peck
0,Georgette Seeger
0,Kayla Kornfeld
0,Kayleigh Flaks
0,Lucy Cramer
0,Rebecca Carp
0,Rhea  Patney
0,Riley Miller
0,Sabrina Alperin
0,Syrah Sanders
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Power Pool
Missouri,Washington University,9,6,"03/01/2025, 08:30",Power Pool,Final
St Olaf,Northwestern,7,3,"03/01/2025, 08:30",Power Pool,Final
Missouri,St Olaf,6,5,"03/01/2025, 10:00",Power Pool,Final
Washington University,Northwestern,11,4,"03/01/2025, 10:00",Power Pool,Final
Washington University,St Olaf,10,3,"03/01/2025, 11:30",Power Pool,Final
Missouri,Northwestern,8,3,"03/01/2025, 14:30",Power Pool,Final
pool,Pool B
Wisconsin-Eau Claire,Northwestern (B),13,0,"03/01/2025, 08:30",Pool B,Final
Arkansas,Northwestern (B),13,0,"03/01/2025, 10:00",Pool B,Final
Macalester,Arkansas,12,5,"03/01/2025, 11:30",Pool B,Final
Macalester,Northwestern (B),12,0,"03/01/2025, 13:00",Pool B,Final
Arkansas,Wisconsin-Eau Claire,5,4,"03/01/2025, 13:00",Pool B,Final
Macalester,Wisconsin-Eau Claire,10,4,"03/01/2025, 14:30",Pool B,Final
pool,Pool C
Iowa State,Wisconsin (B),10,5,"03/01/2025, 08:30",Pool C,Final
Winona State,Truman State,6,3,"03/01/2025, 10:00",Pool C,Final
Iowa State,Winona State,6,4,"03/01/2025, 11:30",Pool C,Final
Truman State,Wisconsin (B),5,3,"03/01/2025, 11:30",Pool C,Final
Iowa State,Truman State,9,3,"03/01/2025, 13:00",Pool C,Final
Winona State,Wisconsin (B),7,1,"03/01/2025, 13:00",Pool C,Final
pool,Pool D
Iowa,Wisconsin-La Crosse,6,5,"03/01/2025, 08:30",Pool D,Final
Iowa,Washington University (B),12,2,"03/01/2025, 10:00",Pool D,Final
Saint Louis,Washington University (B),13,1,"03/01/2025, 11:30",Pool D,Final
Saint Louis,Wisconsin-La Crosse,10,9,"03/01/2025, 13:00",Pool D,Final
Iowa,Saint Louis,7,5,"03/01/2025, 14:30",Pool D,Final
Wisconsin-La Crosse,Washington University (B),11,2,"03/01/2025, 14:30",Pool D,Final
pool,Pool E
Michigan Tech,Illinois,7,5,"03/01/2025, 08:30",Pool E,Final
Michigan Tech,Knox,12,2,"03/01/2025, 10:00",Pool E,Final
Knox,Vanderbilt,7,4,"03/01/2025, 11:30",Pool E,Final
Illinois,Vanderbilt,13,1,"03/01/2025, 13:00",Pool E,Final
Michigan Tech,Vanderbilt,13,1,"03/01/2025, 14:30",Pool E,Final
Illinois,Knox,9,2,"03/01/2025, 14:30",Pool E,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship
Missouri,Michigan Tech,0,0,"03/02/2025, 08:00",Quarterfinals,Scheduled
Washington University,Iowa,0,0,"03/02/2025, 08:00",Quarterfinals,Scheduled
St Olaf,Iowa State,0,0,"03/02/2025, 08:00",Quarterfinals,Scheduled
Missouri,Knox,13,3,"03/01/2025, 16:00",Prequarterfinals,Final
Michigan Tech,Arkansas,9,8,"03/01/2025, 16:00",Prequarterfinals,Final
Northwestern,Wisconsin-Eau Claire,0,0,"03/01/2025, 16:00",Prequarterfinals,Scheduled
Macalester,Illinois,8,6,"03/01/2025, 16:00",Prequarterfinals,Final
Washington University,Truman State,13,5,"03/01/2025, 16:00",Prequarterfinals,Final
Iowa,Winona State,8,6,"03/01/2025, 16:00",Prequarterfinals,Final
St Olaf,Wisconsin-La Crosse,13,2,"03/01/2025, 16:00",Prequarterfinals,Final
Iowa State,Saint Louis,11,4,"03/01/2025, 16:00",Prequarterfinals,Final
bracket,3rd Place
bracket,5th Place
bracket,7th Place
bracket,Consolation
Knox,Arkansas,0,0,"03/02/2025, 08:00",R1,Scheduled
Truman State,Winona State,0,0,"03/02/2025, 08:00",R1,Scheduled
Wisconsin-La Crosse,Saint Louis,0,0,"03/02/2025, 08:00",R1,Scheduled
bracket,11th Place
bracket,13th Place
bracket,15th Place
b,r,e,a,k
pools,Consolation Round Robin
pool,Pool F
Northwestern (B),Washington University (B),0,0,"03/02/2025, 08:00",Pool F,Scheduled
Wisconsin (B),Vanderbilt,0,0,"03/02/2025, 08:00",Pool F,Scheduled
Northwestern (B),Vanderbilt,0,0,"03/02/2025, 09:30",Pool F,Scheduled
Wisconsin (B),Washington University (B),0,0,"03/02/2025, 09:30",Pool F,Scheduled
Northwestern (B),Wisconsin (B),0,0,"03/02/2025, 14:00",Pool F,Cancelled
Washington University (B),Vanderbilt,0,0,"03/02/2025, 14:00",Pool F,Scheduled
b,r,e,a,k
