Stanford Open-Women's,College - Women ,1,2,2025
Stanford,CA,2025-02-01,2025-02-02
https://play.usaultimate.org/events/Stanford-Open-Womens/schedule/Women/CollegeWomen/
British Columbia (B),13
teamInfo,Thunderwolves,"Vancouver, British Columbia CA",,,
coaches,Cody Hubbard
0,Angelina Yu
0,Audrey Andersen
0,Carisa Ng
0,Emi Benson
0,Juliana Chen
0,Kaitlyn  Chan
0,Kate  Feldstein
0,Kiyah Cho
0,Lydia Craemer
0,Madilyn Cantrel
0,Maya Khayrallah
0,Michelle Ma
0,Mika Sander
0,Mikaila Corilla
0,Phoebe Chu
0,Allison Gu
0,Samantha Quan
0,Stephanie Dai
0,Victoria Li
5,Grace DeVries
14,Kristen Tien
15,Rachel Hovestad
18,Emma Laskey
35,Mia Krezeski 
44,Amitis Iranmanesh
b,r,e,a,k
Seven Hills Gx,6
teamInfo,,"Seattle, Washington",,,
coaches,Dana Baker,Maxwell Sheffield
00,Anikka Faith Huliganga
00,Ava Furtado
00,Avellina Colacurcio
00,Daisy Williams
00,Delphine Wilton
00,Elena Kussmann-Carter
00,Elyzbeth Cabrera
00,Emi Yamada-Heidner
00,Jenny Giang
00,Johanna (Annie) Jerbi
00,Lia Shepler
00,Liliana Grunfeld
00,Lily DiGioia
00,Melissa Lee
00,Natalie  Trout
00,Ryan Wolf
00,Sabrina Kehl
00,Sadie Jessup
00,Sydney Belfiore
00,Veronica  Voeung
00,Violet Schreiber
00,Willa Lapin
b,r,e,a,k
Carleton College,1
teamInfo,Eclipse,"Northfield, Minnesota",http://carletoneclipse.weebly.com/,,https://twitter.com/eclipsethedisc
01,Sadie Begtrup
03,Laura Boyd
07,Lisa Li
08,Pilar Andruet
09,Elizabeth Swanson
10,Maddy Brown
11,Sadie Eskola
12,Zoe Marquis
15,Molly Horstman Olson
19,Eve Mullen
20,Grace Prince
22,Alyssa Alvarez
23,Kyla Christie
27,Sasha  Monks
29,Monarch Kelly
32,Amy McCormack
33,Frankie Saraniti
35,Rachel Poppleton
44,Rebecca Hazen
66,Alma Rucker
73,Minglu Zhang
b,r,e,a,k
Oregon State,7
teamInfo,Dinos,"Corvallis, Oregon",,,
0,Rachel Woods
0,Sydney Templin
2,Sylvi Barnes
3,Trisha Rajesh
6,Manon Bogaart
04,Cami Potter
05,Charlotte Robison
10,Haviva Kalenkowitz
12,Anika Lechner Armitage
13,Kiera Linder
14,Ava Peterson
15,Lily Bauer
17,Sydney Gould
22,Mahina Hardin
26,Ruby Russell
27,Lena Freebury
32,Molly Jenkins
69,Paige Edgar
93,Julia Wine
b,r,e,a,k
Cal Poly-SLO (B),12
teamInfo,Motion B,"San Luis Obispo, California",,,
01,Macie Sunseri
08,Annie Hoke
14,Vaila Heinemann
17,Hannah Brown
18,Alysa Klapper
20,Cassie Meyer
24,Bella Stone
27,Asia Sakura Elizabeth Marcos
30,Maleah Townsend
32,Athena Tran
37,Alison Poon
38,Lucy Fossa
44,Alexis Rampolla
47,Lillian Clark
53,Dustin Hendrix
73,Kiero Landegger
77,Charlotte Rosen
b,r,e,a,k
Santa Clara,5
teamInfo,Santa Clara RAGE,"Santa Clara, California",,,
0,Amelia Koenig
0,Angel Chiang
0,Anna Keenan
0,Ella Morey
0,Emily  Asperger
0,Hannah Johnson
0,Hannah Ziesche 
0,Katheryne Boardman
0,Olivia Vidal
0,Rosalie Wessels
0,Sarah Green
0,Shea Mulqueeney
0,Sophie Jacqmotte Parks
0,Lili Delaney
0,Maddy Burns
10,Nina Huaracayo
11,Diana Huang
16,Kayleigh Vu
b,r,e,a,k
Cali Roll,8
teamInfo,,"Berkeley, California",,,
0,Isa Shimomura
0,Mabel Athanasiou
0,Maya Swartzberg
0,Mia  Shimomura
0,Nora Draut
3,Samantha Wulkan
7,Ruby Chen
10,Lillian Husky
11,Analisa  Appleyard 
17,Alexandra Le-Khamnouane
18,Julia Segre
22,Lana Song
22,Cameron Do
