Smoky Mountain Invite 2025,College - Men ,1,3,2025
Knoxville,TN,2025-03-01,2025-03-02
https://play.usaultimate.org/events/Smoky-Mountain-Invite-2025/schedule/Men/CollegeMen/
Carleton College,1
teamInfo,CUT,"Northfield, Minnesota",https://www.carleton.edu/student/orgs/cut/,https://www.facebook.com/CUTrules,https://twitter.com/cutrules
coaches,Philip Bowen,Tim Schoch
0,Charles Bitler
0,Cullen Baker
0,Ellis Newhouse
0,Thomas Shope
0,Vivek Manchala
1,Ian Rock-Jones
2,Jonah Barry
3,Tej Murthy
4,Tiarnan Babcock O’Neill
5,Max Posner
6,Will Troop
7,Jasper Priest
10,Fin Fuhrmann
11,Ryan duSaire
13,Nathan Parker
15,Benjamin Scott-Lewis
17,Leo Cogan-Drew
22,Declan Miller
23,Bobby Eleveld
24,Sam Elliott
27,Adam Rothman
29,Daniel Chen
29,Axel Olson
31,Nathan De Morgan
35,Nobi (Masao) Lorenz
39,Nathan Kallin
44,George Lefkowicz
45,Quinn Lander
50,Colin Brown
64,Leo Xiao
68,Julian Walston
88,Alden Harcourt
b,r,e,a,k
Oregon State,8
teamInfo,Beavers,"Corvallis, Oregon",,https://www.facebook.com/osubeaversultimatedisc,https://twitter.com/OSU_ultimate
0,Akira Koenigsberg
0,Alesh Fremouw
0,Ben Lodahl
0,Ben Thoennes
0,Ben Brochard
0,Challis Holloway
0,Collin Kaperick
0,Felix Moren
0,Forrest Vargyas
0,Jack Weinberg
0,Leo Wolf
0,Leo Renzema
0,Logan Closson
0,Owen Poissant
0,Sam Anderson
0,Sam Jordan
2,Sayric Arias
3,Seiji Koenigsberg
13,Callahan Bosworth
18,Jackson Henry
27,Elliot Trimbur
27,Ethan Fodor
31,Henry Wayte
67,Matt Rix
82,Lucas Henry
b,r,e,a,k
Vermont,9
teamInfo,Chill,"Burlington, Vermont",,https://www.facebook.com/Team.Chill.33/,https://twitter.com/team_chill
0,Cale Ellingson
0,Forrest Williams
0,Jackson Leding
0,James Bell
0,Jovan Strange
0,Luke Tierney-Trevor
0,Max Hemeon
0,Maximilian Fontana
0,Seamus Dailey
2,Erik Arnold
3,Nico Gabby
4,Wyatt Smith
9,True Hanson
9,Dominic Chiodi
18,Casey Thornton
19,Beorn Morrow-Caron
21,Benjamin Wall
21,Luca Stuccio
22,Zachary Watson-Stevens
23,Kristof Rohaly-Medved
28,Leo Sarandos
37,Parker Lin-Butler
42,Ryan Bliss
43,Vance Mader
72,Jack Rice
82,Declan Kervick
b,r,e,a,k
Tennessee,16
teamInfo,Tennessee,"Knoxville, Tennessee",http://web.utk.edu/~ultimate/,http://facebook.com/TennUltimateM/,https://twitter.com/TennUltimateM
01,Dylan Catton
02,Jesse Butler
03,Luke Cornelius
